AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Loyola Chicago,San Francisco,1,133,N,1:00 PM,-0.7,5.7
Iowa,Wisconsin,-2,154,H,8:00 PM,0.3,0.8
Ohio St.,Indiana,-3,139,H,6:00 PM,4.4,1.2
SMU,Cincinnati,-2,136,H,8:30 PM,14.3,17.1
UAB,North Texas,-3,121,H,7:00 PM,-12.3,-10.9
USC,California,4,126,H,10:00 PM,-16.3,-13.9
Washington St.,Colorado,4,128,H,8:00 PM,7.3,2.9
Oral Roberts,St. Thomas,-1,161,H,7:00 PM,-7.7,-7.5
Middle Tennessee,Rice,-2,154,H,7:00 PM,7.2,12.4
Maryland,Illinois,-13,143,H,6:00 PM,-10.7,-14.5
Coastal Carolina,Troy,1,135,H,6:00 PM,9.5,1.0
Louisiana Tech,UTEP,4,136,H,9:00 PM,10.2,4.3
San Diego,Pepperdine,-2,130,H,9:00 PM,-18.0,-14.9
Montana,Eastern Washington,-2,140,H,8:00 PM,9.9,3.2
Arkansas St.,Louisiana Lafayette,-6,144,H,7:00 PM,-1.5,-0.8
Washington,Utah,-10,148,H,8:30 PM,12.3,6.6
SIU Edwardsville,Austin Peay,1,141,H,7:30 PM,18.9,17.5
McNeese St.,New Orleans,-3,157,N,1:30 PM,-0.1,10.3
Grand Canyon,UT Rio Grande Valley,5,141,H,7:00 PM,-11.2,-1.4
Radford,USC Upstate,-1,135,H,3:00 PM,1.7,-5.8
Illinois Chicago,Wright St.,-4,144,H,6:00 PM,-0.2,6.2
Long Beach St.,UCLA,-27,155,H,6:30 PM,4.2,2.6
Appalachian St.,South Alabama,-8,136,H,7:00 PM,-11.2,-9.4
UT Arlington,Georgia St.,-7,139,H,6:00 PM,24.9,14.9
St. Francis PA,St. Francis NY,-1,143,H,6:00 PM,-8.7,-9.3
New Hampshire,Vermont,-7,125,H,6:00 PM,10.2,3.4
Bryant,Wagner,-10,146,H,6:00 PM,-6.6,-3.6
Southern Miss,UTSA,-3,135,H,7:00 PM,-7.1,6.5
NJIT,UMass Lowell,-5,131,H,5:00 PM,6.4,-2.4
Portland,Loyola Marymount,-9,141,H,9:00 PM,6.8,8.1
Sacred Heart,Central Connecticut,2,140,H,6:00 PM,-5.5,4.9
Southeast Missouri St.,Belmont,-24,166,H,7:00 PM,-11.1,-1.7
Mount St. Mary's,LIU Brooklyn,-5,139,H,6:00 PM,-3.0,7.5
Pacific,BYU,-20,136,H,8:00 PM,-1.8,-4.6
Montana St.,Idaho,8,144,H,8:00 PM,-5.0,-10.5
Sam Houston St.,Tarleton St.,-7,123,H,7:00 PM,-8.2,3.4
UC San Diego,UC Riverside,-11,133,H,9:00 PM,-14.8,-8.9
Binghamton,Albany,-4,124,H,6:00 PM,-1.0,-7.5
Tennessee Martin,Tennessee St.,-6,146,H,6:00 PM,-0.3,8.9
Northwestern St.,Texas A&M Corpus Chris,-7,153,N,5:00 PM,-12.7,-8.1
Houston Baptist,Southeastern Louisiana,-4,146,N,11:00 AM,4.7,0.7
Little Rock,Louisiana Monroe,-11,157,H,6:30 PM,-8.9,6.6
North Dakota,Nebraska Omaha,-2,152,H,7:00 PM,-2.6,2.7
New Mexico St.,Lamar,11,139,H,7:00 PM,-1.2,0.9
Incarnate Word,Nicholls St.,-9,149,N,7:30 PM,7.2,-1.8
Seattle,Chicago St.,11,135,H,7:00 PM,6.6,-1.2
