AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Florida St.,Florida,-5,141,H,12:00 PM
South Dakota St.,Stephen F. Austin,1,155,H,02:00 PM
South Carolina,Western Kentucky,-2,144,N,
Minnesota,Princeton,4,132,N,
Texas St.,Vanderbilt,-8,134,H,07:00 PM
Penn,Bucknell,2,148,H,01:00 PM
Yale,Seton Hall,-12,138,H,11:00 AM
Lipscomb,Loyola MD,4,142,N,09:30 AM
Morgan St.,George Mason,-9,147,H,05:00 PM
East Tennessee St.,Tennessee,-15,133,H,11:00 AM
South Dakota,Drake,-13,145,H,02:00 PM
Prairie View A&M,Oklahoma St.,-16,140,H,02:00 PM
Fairfield,Boston College,-9,135,H,03:00 PM
Idaho St.,Seattle,-8,138,H,07:00 PM
UNC Asheville,Chattanooga,-11,145,H,01:00 PM
Canisius,St. Bonaventure,-21,139,H,04:00 PM
Drexel,Syracuse,-15,141,H,04:00 PM
Binghamton,Sacred Heart,-8,146,H,12:00 PM
Delaware St.,Rider,-12,158,H,04:00 PM
Texas A&M Corpus Chris,Texas A&M,-16,138,H,02:00 PM
Western Carolina,East Carolina,-15,141,H,03:00 PM
Central Connecticut,Brown,-9,141,H,03:00 PM
Arkansas Pine Bluff,Wyoming,-25,147,H,03:00 PM
