AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Loyola Chicago,Vanderbilt,2,130,H,07:00 PM,-4.0,5.1
Murray St.,Memphis,-9,145,H,07:00 PM,18.6,15.5
Vermont,Brown,-1,125,H,06:00 PM,-14.9,-22.1
DePaul,Louisville,-9,147,H,07:00 PM,1.9,4.5
Appalachian St.,Furman,-5,135,H,06:00 PM,11.8,9.7
Army,NJIT,-7,137,H,06:00 PM,-12.3,-15.9
Prairie View A&M,Boise St.,-16,136,H,08:00 PM,-3.0,-7.3
Milwaukee,Colorado,-12,130,H,08:30 PM,-5.4,2.2
High Point,South Carolina St.,9,141,N,06:00 PM,2.7,-3.0
Cal St. Northridge,North Dakota St.,-8,126,H,07:00 PM,12.6,4.6
Green Bay,UMKC,-9,131,H,07:00 PM,-0.0,-0.8
IUPUI,Tennessee St.,-11,131,H,06:00 PM,-7.7,-5.9
