AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Saint Mary's,Gonzaga,-8,140,N,8:00 PM,7.3,10.1
Wagner,Bryant,-1,151,H,6:00 PM,-2.5,5.4
Georgia Tech,Louisville,1,135,N,6:00 PM,3.8,11.5
North Carolina St.,Clemson,-4,146,N,3:30 PM,-2.1,-6.1
Wright St.,Northern Kentucky,-1,139,N,6:00 PM,-15.2,-7.8
Delaware,UNC Wilmington,3,141,N,6:00 PM,-5.3,3.7
North Dakota St.,South Dakota St.,-7,151,N,8:00 PM,2.1,6.4
Marshall,FIU,2,150,N,6:30 PM,7.1,5.9
Jacksonville,Bellarmine,-2,120,H,4:00 PM,19.5,7.1
Boston College,Pittsburgh,3,125,N,1:00 PM,17.9,6.8
Rider,Manhattan,2,140,N,4:00 PM,6.8,5.4
Quinnipiac,Marist,-3,145,N,8:00 PM,1.3,9.2
Canisius,Fairfield,-3,131,N,6:00 PM,7.6,10.4
Southern Miss,UTSA,-1,139,N,7:00 PM,-2.0,-3.8
Cal Poly,UC Davis,-6,126,N,10:30 PM,-2.6,3.3
UT Rio Grande Valley,Cal Baptist,-8,152,N,8:00 PM,-19.2,-14.7
Cal St. Bakersfield,Cal St. Northridge,3,131,N,8:00 PM,3.1,5.0
