AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Morehead St.,Belmont,-2,138,N,9:30 PM,15.3,13.9
Bradley,Loyola Chicago,-3,131,N,2:30 PM,-17.6,-11.1
Richmond,St. Bonaventure,-3,139,H,6:00 PM,-8.5,1.6
Southern Illinois,Drake,-2,124,N,8:30 PM,-9.4,-2.2
Buffalo,Kent St.,-5,143,H,5:00 PM,-15.1,-13.1
San Diego,Portland,-3,135,N,10:30 PM,-14.3,-6.9
Campbell,Gardner Webb,-3,123,N,7:30 PM,-1.7,0.3
High Point,Winthrop,-2,144,N,5:00 PM,-3.6,1.2
Illinois St.,Northern Iowa,-7,151,N,12:00 PM,-5.2,0.8
Ball St.,Western Michigan,1,145,H,5:00 PM,-11.8,-10.9
The Citadel,East Tennessee St.,-6,154,N,4:00 PM,4.1,4.7
Loyola Marymount,BYU,-9,145,N,8:00 PM,3.5,-3.2
Southeast Missouri St.,Murray St.,-13,151,N,7:00 PM,18.8,9.5
Valparaiso,Missouri St.,-10,144,N,6:00 PM,10.4,5.0
Ohio,Northern Illinois,7,135,H,7:00 PM,-21.8,-21.4
Bowling Green,Toledo,-18,170,H,5:30 PM,-5.4,-15.9
North Carolina A&T,Longwood,-7,141,N,11:00 AM,0.4,-8.4
Utah St.,San Jose St.,12,138,H,10:00 PM,-7.8,-2.7
Eastern Michigan,Miami OH,-6,148,H,6:00 PM,-13.7,-19.4
Western Carolina,Mercer,-7,143,N,6:45 PM,-3.6,-7.0
Charleston Southern,USC Upstate,-8,150,N,1:51 PM,12.1,-1.2
Central Michigan,Akron,-14,134,H,6:00 PM,-1.0,0.3
