AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Washington St.,Oregon,-2,132,H,08:00 PM,-5.0,1.5
Saint Louis,St. Bonaventure,2,138,H,04:00 PM,0.4,-8.4
Oklahoma St.,Kansas,-11,145,H,08:00 PM,11.3,7.9
West Virginia,Kansas St.,-4,130,H,06:00 PM,2.2,-3.8
Dayton,Rhode Island,4,120,H,08:00 PM,14.8,13.5
Drexel,College of Charleston,-3,151,H,06:00 PM,4.9,9.2
Cleveland St.,Fort Wayne,-1,141,H,06:00 PM,-0.9,7.5
Virginia,Virginia Tech,-6,120,H,06:00 PM,-2.0,2.5
Southern Utah,Northern Colorado,-4,158,H,07:00 PM,0.1,1.7
Southern,Texas Southern,-5,137,H,07:30 PM,-0.1,-1.6
Howard,Maryland Eastern Shore,2,138,H,06:00 PM,-4.6,-13.3
North Carolina Central,Coppin St.,-1,141,H,06:00 PM,13.0,4.6
Tulsa,UCF,-8,140,H,06:00 PM,5.1,4.3
South Carolina St.,Morgan St.,-1,149,H,06:30 PM,8.4,10.6
Georgetown,Creighton,-12,142,H,08:00 PM,6.4,2.1
James Madison,Delaware,-9,153,H,06:00 PM,-0.2,8.0
UMBC,New Hampshire,-2,136,H,03:00 PM,4.1,-3.0
Niagara,Marist,-6,128,H,06:00 PM,7.6,-4.1
Vermont,Hartford,10,146,H,06:00 PM,1.5,-3.8
Western Kentucky,Southern Miss,9,143,H,07:00 PM,-4.0,-2.1
Duquesne,Davidson,-15,141,H,06:00 PM,2.9,4.6
Grambling St.,Prairie View A&M,-9,149,H,07:30 PM,-11.2,-7.1
Canisius,Fairfield,-8,132,H,06:00 PM,6.0,1.4
Florida A&M,Alcorn St.,-6,132,H,07:30 PM,9.6,10.3
Bucknell,Lehigh,-6,150,H,06:00 PM,-4.8,2.7
Bethune Cookman,Jackson St.,-6,116,H,07:30 PM,2.7,5.1
American,Holy Cross,-3,133,H,06:00 PM,-4.5,-15.2
Lafayette,Colgate,-14,136,H,05:00 PM,-4.6,-0.8
William & Mary,UNC Wilmington,-14,140,H,01:00 PM,-1.9,-7.3
Arkansas Pine Bluff,Alabama A&M,-5,125,H,07:00 PM,9.3,7.1
Mississippi Valley St.,Alabama St.,-13,153,H,08:00 PM,1.9,11.5
Norfolk St.,Delaware St.,13,131,H,06:30 PM,-6.6,-8.4
Eastern Illinois,Austin Peay,-11,117,H,05:00 PM,0.4,6.6
