AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kansas,Texas Tech,3,141,H,03:00 PM
Texas,Oklahoma St.,3,121,H,01:00 PM
Tennessee,LSU,-5,129,H,05:00 PM
Connecticut,Seton Hall,-4,142,H,11:00 AM
Iowa St.,Oklahoma,-3,123,H,05:00 PM
Washington St.,Utah,1,141,H,05:00 PM
Colorado St.,San Diego St.,-3,135,H,03:00 PM
Clemson,North Carolina St.,1,149,H,11:00 AM
Florida,Auburn,-10,142,H,07:00 PM
Arkansas,Texas A&M,-3,147,H,12:00 PM
Baylor,TCU,9,141,H,04:00 PM
Mississippi St.,Mississippi,3,125,H,07:30 PM
Saint Mary's,BYU,-5,129,H,09:00 PM
Notre Dame,Georgia Tech,-1,133,H,05:00 PM
Louisville,Florida St.,-4,136,H,07:00 PM
Oral Roberts,Western Illinois,1,157,H,02:00 PM
Syracuse,Wake Forest,-7,161,H,01:00 PM
Iona,Saint Louis,-6,152,H,07:00 PM
Purdue,Penn St.,7,139,H,11:00 AM
UCLA,California,7,137,H,07:00 PM
Miami OH,Bowling Green,1,163,H,04:00 PM
St. John's,Providence,-8,150,H,11:00 AM
Utah St.,New Mexico,5,157,H,07:00 PM
Stephen F. Austin,Tarleton St.,-1,123,H,07:00 PM
Kansas St.,West Virginia,-6,126,H,01:00 PM
UC Irvine,UC Riverside,-3,123,H,07:00 PM
Miami FL,Duke,-16,162,H,07:00 PM
Wofford,East Tennessee St.,-2,140,H,03:00 PM
East Carolina,Temple,-2,136,H,01:00 PM
Rhode Island,Davidson,-7,137,H,01:00 PM
Eastern Kentucky,Bellarmine,-1,153,H,06:00 PM
South Carolina,Vanderbilt,-6,132,H,11:00 AM
Wichita St.,Houston,-17,131,H,11:00 AM
Villanova,DePaul,10,134,H,01:00 PM
Northern Iowa,Missouri St.,-6,142,H,05:00 PM
UAB,Rice,8,154,H,03:00 PM
Southern Illinois,Valparaiso,1,125,H,06:00 PM
Arkansas St.,Louisiana Monroe,-2,154,H,02:00 PM
Boston College,Pittsburgh,-1,125,H,03:00 PM
Virginia,North Carolina,-7,129,H,12:00 PM
Florida Atlantic,Marshall,-4,154,H,06:00 PM
Appalachian St.,Troy,-1,127,H,04:00 PM
Hawaii,Long Beach St.,-2,154,H,03:00 PM
Florida Gulf Coast,Jacksonville,-2,134,H,05:00 PM
Southern,Florida A&M,1,135,H,03:00 PM
