AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kansas St.,Nebraska,1,135,H,05:00 PM
SMU,New Mexico,3,161,H,02:00 PM
San Francisco,Arizona St.,3,125,H,05:00 PM
College of Charleston,Rhode Island,-6,146,N,01:00 PM
Fairfield,Massachusetts,-3,155,H,12:00 PM
UC Davis,Pacific,-2,132,H,02:00 PM
Stanford,Texas ABC,-11,125,N,02:00 PM
Mercer,Florida Gulf Coast,-5,145,H,01:00 PM
Colgate,Monmouth,-9,143,H,01:00 PM
Coastal Carolina,Middle Tennessee,-5,137,H,02:00 PM
Army,LIU Brooklyn,-5,143,H,01:00 PM
Duquesne,UC Irvine,-9,127,N,12:00 PM
Montana,Santa Clara,-12,142,H,04:00 PM
Sacred Heart,UMass Lowell,-6,142,H,12:00 PM
Air Force,Arkansas St.,-5,127,H,01:00 PM
Robert Morris,Bowling Green,-8,156,H,01:00 PM
UT Arlington,Oklahoma,-18,126,H,02:00 PM
Portland,Montana St.,-10,142,H,03:00 PM
Old Dominion,Richmond,-13,129,H,03:00 PM
Southern,Kent St.,-10,136,H,04:30 PM
Florida A&M,UC Santa Barbara,-11,133,H,09:00 PM
Southeastern Louisiana,Iowa St.,-21,131,H,12:00 PM
Sacramento St.,UC Riverside,-14,130,H,04:00 PM
Dartmouth,California,-12,120,H,03:00 PM
Tennessee Martin,Drake,-19,143,H,02:00 PM
Northern Illinois,Illinois Chicago,-9,125,H,01:00 PM
Bethune Cookman,FIU,-11,127,H,11:00 AM
Central Michigan,Detroit,-15,145,H,12:00 PM
Holy Cross,Harvard,-18,140,H,01:00 PM
