AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Saint Louis,Richmond,-1,145,H,6:00 PM,0.6,-4.0
Northwestern,Penn St.,-2,126,H,6:00 PM,-1.2,-4.8
Iowa,Nebraska,11,165,H,8:00 PM,9.3,13.9
Texas St.,Troy,-1,129,H,8:00 PM,10.9,7.7
Appalachian St.,Arkansas St.,-1,129,H,7:00 PM,10.0,9.0
Saint Peter's,Monmouth,-4,128,H,6:00 PM,10.8,-5.8
Louisiana Lafayette,Georgia St.,-6,140,H,6:00 PM,-23.6,-6.2
Niagara,Rider,-1,129,H,6:00 PM,-6.8,-2.7
Harvard,Princeton,-8,142,H,6:00 PM,-8.8,-10.5
Akron,Ohio,-7,129,H,5:00 PM,7.7,12.9
UT Arlington,South Alabama,-7,133,H,7:00 PM,-3.2,4.4
Louisiana Monroe,Georgia Southern,-4,136,H,6:00 PM,1.2,7.2
Manhattan,Marist,-8,144,H,6:00 PM,7.3,4.3
Coastal Carolina,Little Rock,7,139,H,6:30 PM,-0.8,5.8
Canisius,Iona,-17,147,H,6:00 PM,6.0,-7.0
