AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Florida,Oklahoma,1,129,H,07:00 PM,7.3,9.2
Michigan,North Carolina,1,147,H,08:15 PM,-7.0,-8.0
Texas Tech,Providence,-1,137,H,07:30 PM,1.8,3.9
Virginia Tech,Maryland,1,127,H,06:15 PM,12.4,7.8
Washington St.,Arizona St.,1,145,H,06:30 PM,13.0,7.8
Wisconsin,Georgia Tech,1,125,H,08:15 PM,12.0,15.0
Louisville,Michigan St.,-5,133,H,06:15 PM,4.6,7.7
Cincinnati,Miami OH,1,135,H,06:00 PM,3.5,2.3
UCF,Auburn,-7,139,H,07:00 PM,0.3,-6.8
Ohio,LSU,-8,144,H,07:00 PM,0.9,-2.1
Richmond,Wofford,2,146,H,06:00 PM,2.2,-2.2
Marshall,Akron,-2,148,H,06:00 PM,3.5,-0.3
Wichita St.,Oklahoma St.,-6,130,H,07:00 PM,-1.0,-1.8
South Carolina,Coastal Carolina,2,142,H,06:00 PM,2.5,-0.8
Rhode Island,Harvard,4,136,H,06:00 PM,-1.2,0.9
Pacific,UC Davis,-1,139,H,08:00 PM,-0.5,3.7
Nebraska,North Carolina St.,-5,143,H,06:15 PM,2.1,-0.4
Florida Gulf Coast,FIU,1,145,H,06:00 PM,0.7,-0.7
Miami FL,Penn St.,-5,137,H,08:15 PM,-2.9,-8.8
Utah,USC,-10,134,H,10:30 PM,3.6,-3.1
UC Riverside,Oregon,-7,129,H,09:00 PM,15.6,4.2
BYU,Utah Valley,8,136,H,08:00 PM,-5.3,-2.3
Northern Iowa,Bradley,4,140,H,07:00 PM,3.4,1.9
San Diego,Fresno St.,-4,126,H,09:00 PM,-1.3,-4.6
Ball St.,Western Illinois,-4,154,H,06:00 PM,5.9,7.3
Southern Illinois,Evansville,1,121,H,06:00 PM,-4.8,-13.3
Colorado,UCLA,-15,143,H,08:30 PM,-2.0,-7.8
Iona,Marist,3,133,H,06:00 PM,6.0,3.7
The Citadel,UNC Asheville,-2,154,H,05:30 PM,7.8,8.6
Memphis,Georgia,14,148,H,06:15 PM,-3.2,-7.3
Princeton,Hofstra,-5,145,H,06:00 PM,-3.4,-8.6
Mercer,Kennesaw St.,-1,139,H,06:00 PM,-7.8,-17.4
East Tennessee St.,UAB,-8,136,H,06:30 PM,8.3,10.2
UNLV,SMU,-7,137,H,07:00 PM,-0.3,1.2
Norfolk St.,UNC Wilmington,-2,138,H,06:00 PM,1.8,8.0
Missouri St.,Illinois St.,8,152,H,07:00 PM,7.7,4.8
Boston University,George Washington,3,133,H,06:00 PM,9.9,5.4
Bowling Green,Duquesne,-4,146,H,06:00 PM,-4.6,-3.0
Southern Miss,South Alabama,-6,136,H,07:00 PM,-11.6,-13.8
Villanova,Penn,15,137,H,06:00 PM,4.4,13.1
Georgia Southern,Morehead St.,-5,127,H,06:00 PM,4.2,5.1
Brown,UMass Lowell,-4,132,H,06:00 PM,-5.1,1.3
Wagner,Seton Hall,-15,137,H,06:00 PM,23.6,25.9
Texas Southern,Louisiana Tech,-10,144,H,06:30 PM,2.8,5.7
Texas A&M Corpus Chris,UT Rio Grande Valley,-5,147,H,07:00 PM,8.7,10.3
Bucknell,St. Francis PA,-4,152,H,06:00 PM,7.1,6.5
Indiana St.,Loyola Chicago,-17,137,H,07:00 PM,0.7,-16.0
La Salle,Temple,-7,135,H,06:00 PM,8.2,0.9
Stetson,Florida Atlantic,-7,139,H,06:00 PM,-6.6,-7.7
St. Francis NY,Fordham,-8,140,H,06:00 PM,0.8,-0.2
North Carolina Central,USC Upstate,-2,140,H,05:00 PM,3.4,2.0
Lehigh,Yale,-11,137,H,06:00 PM,-0.9,0.8
Coppin St.,St. Bonaventure,-21,135,H,06:00 PM,21.5,18.9
Binghamton,Saint Joseph's,-10,148,H,06:00 PM,-0.9,-2.4
Central Arkansas,Arkansas,-27,153,H,07:00 PM,2.9,3.3
Little Rock,Colorado St.,-21,149,H,08:00 PM,5.2,8.7
Albany,Kansas St.,-13,127,H,07:00 PM,2.5,-2.9
Hartford,Winthrop,-12,150,H,06:30 PM,-10.3,-12.5
McNeese St.,Seattle,-15,147,H,09:00 PM,-3.4,-2.0
Central Michigan,Xavier,-26,146,H,05:30 PM,-8.5,-8.0
Dartmouth,Vermont,-12,118,H,06:00 PM,10.5,5.7
American,Stony Brook,-13,141,H,05:30 PM,-19.1,-14.6
Alabama St.,Dayton,-15,135,H,06:00 PM,1.3,-5.0
William & Mary,Navy,-19,133,H,06:00 PM,-24.0,-29.0
Arkansas Pine Bluff,Iowa St.,-24,142,H,07:00 PM,-10.5,-11.4
Holy Cross,Central Connecticut,-6,138,H,06:00 PM,-17.8,-17.7
Eastern Illinois,Northern Illinois,-6,128,H,07:00 PM,-0.2,-7.6
Tennessee Martin,Middle Tennessee,-16,146,H,06:00 PM,-1.7,-4.7
Columbia,UMBC,-15,147,H,06:00 PM,-5.5,-15.0
Chicago St.,Loyola MD,-11,135,H,06:00 PM,4.6,2.3
Mississippi Valley St.,North Alabama,-15,143,H,08:00 PM,3.0,-1.4
