AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Wake Forest,Clemson,1,147,H,06:00 PM
Xavier,Providence,-3,141,H,06:00 PM
LSU,Kentucky,-10,142,H,08:00 PM
Mississippi St.,South Carolina,2,138,H,05:30 PM
Creighton,St. John's,-5,147,H,05:30 PM
Duke,Virginia,4,128,H,06:00 PM
Syracuse,Notre Dame ESPNN,-5,147,H,06:00 PM
Houston,Tulane,7,137,H,07:00 PM
Wisconsin,Minnesota,3,135,H,08:00 PM
Cincinnati,UCF,-4,140,H,08:00 PM
Wyoming,Colorado St.,-5,145,H,08:00 PM
Chattanooga,East Tennessee St.,1,139,H,06:00 PM
West Virginia,Iowa St.,-6,128,H,06:00 PM
Bradley,Missouri St.,-6,142,H,07:00 PM
Wofford,VMI,-2,148,H,06:00 PM
Northern Iowa,Indiana St.,3,145,H,06:00 PM
TCU,Texas,-8,122,H,06:00 PM
Rutgers,Michigan,-8,134,H,06:00 PM
Virginia Tech,Georgia Tech,5,131,H,08:00 PM
Mississippi,Auburn,-13,141,H,07:30 PM
Louisiana Lafayette,Georgia Southern,-1,135,H,06:00 PM
Texas St.,South Alabama,-3,135,H,07:00 PM
Furman,Samford,5,151,H,07:00 PM
Coastal Carolina,Arkansas St.,-2,136,H,07:00 PM
George Mason,VCU,-7,127,H,06:00 PM
Drake,Valparaiso,4,138,H,06:00 PM
Stony Brook,UMass Lowell,-1,147,H,06:00 PM
Boston College,North Carolina St.,-6,140,H,06:00 PM
Washington,Washington St.,-11,135,H,10:00 PM
UMBC,Hartford,-2,150,H,06:00 PM
Butler,Seton Hall,-9,131,H,07:30 PM
Tulsa,SMU,-12,144,H,07:00 PM
High Point,North Carolina A&T,-3,137,H,06:00 PM
Illinois St.,Southern Illinois,-6,132,H,07:00 PM
Central Arkansas,North Alabama,-4,146,H,06:00 PM
UT Arlington,Troy,-6,132,H,06:00 PM
Florida Gulf Coast,Liberty,-11,147,H,06:00 PM
La Salle,Fordham,-7,133,H,06:00 PM
James Madison,Towson,-12,144,H,06:00 PM
UNC Asheville,Gardner Webb,-8,132,H,06:00 PM
Massachusetts,Dayton,-16,144,H,06:00 PM
South Florida,East Carolina,-6,126,H,06:00 PM
Davidson,Duquesne,10,140,H,06:00 PM
New Hampshire,NJIT,2,124,H,06:00 PM
The Citadel,Mercer,-10,150,H,06:00 PM
North Florida,Jacksonville,-7,125,H,06:00 PM
Vermont,Binghamton,11,139,H,06:00 PM
Eastern Kentucky,Jacksonville St.,-11,149,H,06:00 PM
Louisiana Monroe,Georgia St.,-10,138,H,06:00 PM
Lipscomb,Bellarmine,-9,151,H,06:00 PM
Appalachian St.,Little Rock,7,131,H,06:30 PM
Campbell,Hampton,6,126,H,06:00 PM
Loyola MD,Navy,-8,118,H,06:00 PM
Bucknell,Army,-7,153,H,05:00 PM
Radford,Longwood,-11,133,H,06:00 PM
Western Carolina,UNC Greensboro,-10,130,H,06:00 PM
Stetson,Kennesaw St.,-9,137,H,06:00 PM
Lafayette,Boston University,-8,138,H,06:00 PM
Albany,Maine,4,126,H,06:00 PM
Evansville,Loyola Chicago,-19,123,H,07:00 PM
Grand Canyon,Chicago St.,13,135,H,07:00 PM
Colgate,Holy Cross,12,140,H,06:00 PM
American,Lehigh,-7,137,H,06:00 PM
