AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Clemson,St. Bonaventure,-2,120,N,01:30 PM,8.0,1.6
New Mexico St.,Utah St.,-1,133,N,11:00 AM,-11.5,-4.9
Arizona,Wichita St.,4,134,N,09:00 PM,21.7,22.1
Ohio,Kentucky,-7,145,H,06:00 PM,4.4,7.7
George Mason,James Madison,2,142,H,06:00 PM,5.2,2.7
Marquette,West Virginia,-5,143,N,06:00 PM,1.9,-4.0
Iona,Liberty,-1,133,N,04:00 PM,13.8,15.1
East Carolina,Old Dominion,1,137,N,06:30 PM,30.2,23.2
Colorado,Southern Illinois,5,133,N,07:00 PM,-7.5,-11.1
Rice,New Orleans,2,158,H,07:00 PM,-9.8,-8.5
Arkansas St.,Southeast Missouri St.,-1,151,H,06:30 PM,-6.9,-8.7
UTEP,Pacific,-3,133,H,09:00 PM,13.3,11.5
Boise St.,Temple,6,132,N,11:00 AM,17.2,13.5
Massachusetts,UNC Greensboro,3,131,N,02:00 PM,-2.0,-4.2
Georgia Tech,Georgia,5,137,H,08:00 PM,-4.1,-4.5
Western Kentucky,Memphis,-19,147,H,07:00 PM,-12.9,-8.8
Yale,Vermont,-7,135,H,03:00 PM,5.7,7.0
Michigan,UNLV,12,136,H,11:30 PM,-10.2,-14.1
Stetson,Lamar,1,145,H,07:00 PM,-8.2,-7.5
Oakland,Alabama,-17,149,H,07:00 PM,4.2,1.3
Davidson,Penn,5,135,N,01:30 PM,-6.8,-4.2
Duquesne,Northeastern,-5,123,N,04:45 PM,-11.7,-6.3
Bellarmine,Gonzaga,-32,158,H,08:00 PM,-4.0,-3.7
Indiana St.,Oklahoma,-10,130,N,04:00 PM,1.7,-1.4
UMass Lowell,George Washington,-3,141,H,06:00 PM,12.1,5.6
Youngstown St.,St. Thomas,-1,151,H,04:00 PM,-14.3,-15.6
Ball St.,Weber St.,-7,151,N,04:30 PM,8.5,11.3
Dixie St.,Texas St.,-6,138,N,01:00 PM,-1.9,-0.9
Elon,Mississippi,-8,132,N,08:00 PM,-6.8,-5.2
Towson,Pittsburgh,-4,132,H,05:00 PM,14.2,17.0
Cal St. Fullerton,San Diego,-10,152,H,09:00 PM,-5.4,-4.3
Eastern Washington,Cal St. Northridge,-2,150,H,04:00 PM,3.2,5.4
Bradley,Colorado St.,-12,142,N,12:00 PM,-7.5,-9.0
Belmont,Kennesaw St.,10,144,H,06:00 PM,-3.0,-6.9
Norfolk St.,Bowling Green,-5,143,H,04:30 PM,25.1,20.6
Middle Tennessee,Stephen F. Austin,-8,142,H,06:30 PM,12.5,11.4
Fort Wayne,Minnesota,-10,144,H,06:00 PM,-10.3,-10.7
Hofstra,Maryland,-13,137,H,05:30 PM,20.1,20.5
Southern,South Dakota,-8,148,H,07:00 PM,3.8,1.0
American,Longwood,-5,131,H,04:00 PM,-21.7,-10.3
Auburn,South Florida,16,130,N,06:00 PM,-0.4,-4.6
Manhattan,North Alabama,4,136,N,06:30 PM,8.2,13.3
Mount St. Mary's,Robert Morris,-4,134,H,06:00 PM,-3.4,-3.7
Lehigh,Merrimack,-7,125,H,06:00 PM,7.5,7.7
FIU,Green Bay,5,137,N,07:00 PM,6.2,5.5
Brown,Creighton,-12,134,N,02:15 PM,3.3,12.6
Idaho St.,Nebraska,-12,136,H,06:00 PM,-7.4,-9.9
Niagara,SIU Edwardsville,6,142,N,06:45 PM,1.4,6.3
Siena,Georgetown,-10,140,H,05:30 PM,9.9,15.7
North Dakota,Troy,-7,137,N,02:00 PM,0.5,-5.9
Lafayette,Duke,-29,151,H,07:00 PM,-2.6,1.5
Louisiana Tech,Northwestern St.,11,145,H,07:30 PM,7.3,6.7
UMBC,Western Carolina,7,147,N,06:30 PM,-11.8,-20.7
Cal Poly,Santa Clara,-17,145,H,08:00 PM,-14.3,-13.1
Radford,Furman,-14,136,H,06:00 PM,-8.5,-9.1
Coppin St.,Virginia,-16,128,H,06:00 PM,20.7,15.9
Hampton,Wofford,-15,143,H,06:30 PM,-10.6,-13.2
Tennessee Martin,Florida Atlantic,-21,147,H,05:00 PM,15.0,16.1
Maryland Eastern Shore,Fordham,-19,127,H,06:00 PM,10.9,6.4
