AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Tennessee St.,Charleston Southern,1,149,H,07:00 PM,10.4,7.3
College of Charleston,Stetson,5,153,H,06:00 PM,12.9,12.7
Appalachian St.,Duke,-17,137,H,06:00 PM,3.1,-0.7
UNC Greensboro,UMBC,-3,131,H,06:00 PM,-5.1,-4.5
UT Arlington,Oral Roberts,-7,141,H,07:00 PM,4.7,5.0
Jackson St.,Drake,-12,122,H,07:00 PM,14.3,10.4
Chicago St.,IUPUI,1,117,H,06:00 PM,9.3,16.1
McNeese St.,UTEP,-14,138,H,08:00 PM,1.7,-0.8
Dartmouth,Stanford,-14,128,H,09:00 PM,1.0,-2.5
Alcorn St.,Tulsa,-11,133,H,07:00 PM,1.0,0.2
Incarnate Word,Rice,-15,155,H,11:15 AM,9.6,8.4
