AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Tennessee,Mississippi St.,1,135,H,08:00 PM,-8.9,2.2
Xavier,Seton Hall,-1,145,H,06:00 PM,-8.4,-14.7
Alabama,Mississippi,1,145,H,07:30 PM,-18.8,-18.9
Texas Tech,Oklahoma,2,124,H,08:00 PM,12.8,10.8
Baylor,Kansas St.,4,136,H,07:00 PM,-13.6,-22.4
Loyola Chicago,Bradley,-1,131,H,08:00 PM,-6.6,-11.7
Missouri St.,Drake,1,141,H,07:00 PM,-8.1,-2.3
Wake Forest,North Carolina St.,3,151,H,06:00 PM,5.3,10.8
Houston,SMU,9,137,H,06:00 PM,1.5,13.6
Ohio St.,Rutgers,3,137,H,06:00 PM,1.4,-2.3
Tulane,Memphis,-6,150,H,07:00 PM,15.8,12.4
Minnesota,Nebraska,1,143,H,08:00 PM,-6.7,1.3
Richmond,George Mason,-3,135,H,06:00 PM,-7.0,1.7
Wofford,Samford,2,148,H,07:00 PM,-6.8,-3.4
Gardner Webb,Campbell,-1,125,H,06:00 PM,-0.3,-1.9
California,Oregon St.,1,135,H,10:00 PM,-8.2,7.2
Oakland,Youngstown St.,2,142,H,06:00 PM,-12.1,-10.7
Yale,Harvard,-3,137,H,06:00 PM,-1.8,-1.6
Bellarmine,North Florida,1,135,H,06:00 PM,-7.2,-17.3
Georgia Tech,Miami FL,-9,143,H,06:00 PM,-0.7,11.3
Detroit,Robert Morris,1,143,H,06:00 PM,-13.9,-6.7
Saint Joseph's,Davidson,-9,149,H,06:00 PM,2.6,5.1
Louisville,Notre Dame,-9,135,H,06:00 PM,-11.2,-12.5
Southern Illinois,Northern Iowa,-6,128,H,07:00 PM,-1.9,-2.4
Cincinnati,South Florida,5,117,H,06:00 PM,2.1,-5.0
High Point,Presbyterian,-1,125,H,06:00 PM,-3.2,4.6
Georgetown,DePaul,-10,152,H,08:00 PM,-8.7,-8.5
Georgia,Florida,-15,149,H,05:30 PM,5.1,9.5
Northern Kentucky,Milwaukee,1,133,H,07:00 PM,11.8,4.5
Indiana St.,Evansville,3,125,H,06:00 PM,-0.5,-14.6
Valparaiso,Illinois St.,-6,146,H,07:00 PM,-4.5,0.3
George Washington,Massachusetts,-7,157,H,06:00 PM,8.2,4.7
Eastern Kentucky,Jacksonville,-5,131,H,06:00 PM,-1.2,-4.1
Pittsburgh,Florida St.,-11,129,H,08:00 PM,-8.6,-4.6
Quinnipiac,Fairfield,-7,141,H,06:00 PM,-0.8,1.2
North Alabama,Florida Gulf Coast,-7,137,H,06:30 PM,-0.6,-3.8
Jacksonville St.,Stetson,6,134,H,06:30 PM,-1.1,-6.6
UMass Lowell,Stony Brook,-6,140,H,06:00 PM,9.1,4.5
Wright St.,Green Bay,6,140,H,07:00 PM,9.3,13.0
San Diego St.,San Jose St.,11,119,H,10:00 PM,4.0,-7.4
Duquesne,Dayton,-15,127,H,06:00 PM,-9.4,-4.1
Army,Boston University,-8,140,H,06:00 PM,2.1,-1.6
Radford,Winthrop,-9,137,H,06:00 PM,-0.0,-1.1
Central Arkansas,Kennesaw St.,-11,157,H,06:30 PM,8.9,4.1
Lehigh,Colgate,-12,146,H,06:00 PM,9.6,4.2
Hartford,UMBC,-10,150,H,06:00 PM,-2.5,-12.3
Western Carolina,Chattanooga,-18,142,H,06:00 PM,8.3,3.4
Binghamton,Vermont,-17,139,H,06:00 PM,1.1,1.9
Loyola MD,Holy Cross,6,132,H,06:00 PM,-9.9,-3.2
Hampton,UNC Asheville,-10,128,H,05:30 PM,7.8,10.3
American,Bucknell,-6,142,H,06:00 PM,4.8,-6.1
Columbia,Cornell,-21,163,H,04:00 PM,-2.4,-4.8
NJIT,New Hampshire,-9,129,H,06:00 PM,-2.9,1.3
Maryland Eastern Shore,Delaware St.,5,123,H,06:30 PM,-6.6,-3.4
Charleston Southern,North Carolina A&T,-12,144,H,06:00 PM,4.0,6.0
