AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Duke,Ohio St.,-1,149,H,8:30 PM,3.0,6.3
Indiana,Syracuse,3,143,H,6:00 PM,17.4,10.7
Northwestern,Wake Forest,-2,142,H,8:00 PM,-8.6,-3.2
Florida St.,Purdue,-9,141,H,6:30 PM,-7.9,-12.5
Clemson,Rutgers,1,123,H,8:00 PM,10.5,6.6
Davidson,Charlotte,-1,131,H,6:00 PM,-6.1,-2.1
Texas St.,Rice,-1,145,H,7:00 PM,10.6,11.4
Saint Louis,Boise St.,-5,131,H,8:00 PM,3.4,9.3
Tulane,College of Charleston,-2,148,H,6:30 PM,-11.4,-16.1
South Dakota,San Jose St.,-2,148,H,9:00 PM,-9.8,-9.9
Longwood,Georgetown,-4,134,H,6:00 PM,19.1,18.8
Furman,High Point,4,140,H,6:00 PM,-5.8,-0.4
Chattanooga,Tennessee Tech,4,134,H,6:00 PM,-1.7,-5.2
Minnesota,Pittsburgh,4,126,H,6:00 PM,11.5,17.5
LIU Brooklyn,Delaware,-8,154,H,6:00 PM,-2.3,5.1
North Dakota St.,Creighton,-8,132,H,8:00 PM,-7.1,5.0
Hawaii,Santa Clara,-13,151,H,8:00 PM,-2.2,1.4
Jackson St.,Marquette,-11,135,H,8:00 PM,3.1,9.7
Pepperdine,Nevada,-12,146,H,9:00 PM,1.3,-1.7
Howard,Mount St. Mary's,-2,136,H,6:00 PM,4.4,11.3
Prairie View A&M,South Dakota St.,-18,162,H,7:00 PM,-12.5,-4.6
New Mexico,New Mexico St.,-13,147,H,8:00 PM,5.2,-3.6
Old Dominion,East Carolina,-8,134,H,6:00 PM,-24.3,-12.0
New Orleans,Texas A&M,-13,141,H,6:00 PM,8.0,8.4
Sacred Heart,NJIT,-5,137,H,6:00 PM,-8.5,-3.8
Elon,UNC Greensboro,-6,130,H,6:00 PM,-6.8,-7.5
Rider,Mississippi,-12,130,H,6:30 PM,8.2,13.4
Bellarmine,West Virginia,-15,141,H,6:00 PM,3.8,4.3
Siena,Army,-5,133,H,6:00 PM,-13.7,-7.6
Presbyterian,Tennessee,-19,129,H,6:00 PM,7.5,13.2
Detroit,Northeastern,-10,134,H,6:00 PM,-8.8,-8.5
SIU Edwardsville,Nebraska Omaha,3,137,H,7:00 PM,21.1,27.2
Long Beach St.,San Diego St.,-19,137,H,9:00 PM,4.3,8.5
Fairleigh Dickinson,Manhattan,-9,143,H,6:00 PM,-6.9,-11.2
