AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Alabama,Memphis,1,157,H,8:00 PM,15.7,17.3
Monmouth,Yale,1,137,H,6:00 PM,18.4,12.7
Santa Clara,Boise St.,-5,137,H,8:00 PM,-1.1,-10.8
UC Santa Barbara,Pacific,-1,135,H,9:00 PM,-5.9,-3.3
Texas Southern,UT Rio Grande Valley,1,147,H,7:30 PM,-5.0,7.5
Jacksonville,Southern Miss,1,125,H,7:00 PM,17.1,26.8
Arizona St.,Creighton,-8,132,H,7:00 PM,-15.5,-11.9
Furman,North Carolina,-12,150,H,6:00 PM,-9.0,0.0
Miami OH,Clemson,-8,140,H,6:00 PM,0.2,0.7
DePaul,Illinois Chicago,6,144,H,7:00 PM,8.3,5.0
UC Davis,Oregon St.,-3,137,H,9:00 PM,10.4,13.3
Louisiana Lafayette,Houston,-22,140,H,7:00 PM,-15.1,-3.5
Georgia St.,Mississippi St.,-11,143,H,7:00 PM,-0.3,-2.0
Tarleton St.,South Alabama,-6,124,H,7:00 PM,-13.5,-19.5
St. Francis PA,Hartford,-2,152,H,6:00 PM,2.1,-4.2
VMI,Wake Forest,-15,149,H,6:00 PM,-1.3,-0.3
Little Rock,Central Arkansas,-2,150,H,7:00 PM,-3.8,-3.4
North Alabama,Auburn,-24,140,H,8:00 PM,5.1,-0.8
Arkansas St.,Texas Tech,-17,137,H,7:00 PM,-3.9,-6.5
Louisiana Monroe,Stephen F. Austin,-11,145,H,6:30 PM,2.3,-3.6
South Carolina St.,Duke,-32,154,H,7:00 PM,5.4,12.6
Jackson St.,Northern Iowa,-10,126,H,7:00 PM,3.0,5.5
UNC Asheville,Tennessee Martin,4,142,H,7:00 PM,-1.0,-3.0
UNC Greensboro,Towson,-9,121,H,6:00 PM,-15.1,-18.4
Austin Peay,South Florida,-4,124,H,6:00 PM,9.3,6.2
Sam Houston St.,North Texas,-10,120,H,7:00 PM,-11.5,-13.4
Texas A&M Corpus Chris,Minnesota,-18,138,H,7:00 PM,5.9,-0.9
North Carolina A&T,East Tennessee St.,-11,135,H,6:00 PM,-8.5,-2.7
Northwestern St.,LSU,-32,148,H,6:00 PM,-8.9,-6.0
Grambling St.,UAB,-19,141,H,6:30 PM,4.6,-2.6
USC Upstate,Tennessee,-27,139,H,6:00 PM,-1.4,-2.3
Southeastern Louisiana,Louisville,-22,138,H,5:00 PM,-2.0,8.2
Coppin St.,Drexel,-12,144,H,7:00 PM,8.2,3.7
Florida A&M,Cincinnati,-17,123,H,6:00 PM,-2.2,4.2
Alcorn St.,Wichita St.,-17,127,H,7:00 PM,5.7,4.0
Alabama A&M,Troy,-9,129,H,6:00 PM,4.9,6.7
Central Connecticut,Stony Brook,-15,137,H,5:30 PM,1.1,-3.5
