AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Tennessee,Villanova,-1,137,N,12:00 PM,-13.9,-13.7
North Carolina,Purdue,-9,147,N,3:00 PM,-15.4,-12.9
Boston College,Utah,-1,135,N,4:00 PM,-8.9,-8.7
Richmond,Drake,-5,143,H,12:00 PM,-14.5,-18.7
Monmouth,Saint Joseph's,-2,158,H,11:00 AM,11.3,13.1
Colgate,Syracuse,-6,150,H,4:00 PM,4.1,8.4
Rhode Island,Tulsa,4,128,N,6:30 PM,4.5,9.7
Stanford,Baylor,-12,138,H,12:00 PM,-10.3,-11.9
Chattanooga,VCU,-5,121,H,3:00 PM,12.6,14.0
Fairfield,Sacred Heart,-1,141,H,7:00 PM,9.3,7.0
Montana St.,New Mexico,-4,150,H,3:00 PM,-10.8,-9.2
Dixie St.,Cal St. Northridge,-1,149,H,2:00 PM,8.5,10.4
UC San Diego,Sacramento St.,1,145,H,9:00 PM,22.6,22.5
Morgan St.,Portland,-1,155,H,7:00 PM,-21.8,-21.8
UNC Wilmington,Delaware St.,-1,151,H,3:00 PM,-4.1,-4.8
VMI,Marist,-3,139,H,4:00 PM,-1.5,-3.0
Winthrop,Vanderbilt,-9,141,H,7:00 PM,-0.8,-1.5
Youngstown St.,SIU Edwardsville,-1,143,H,1:00 PM,1.0,1.6
High Point,Howard,-3,147,H,1:00 PM,-1.3,-3.6
Pepperdine,UC Irvine,-9,131,H,8:00 PM,-12.0,-16.9
UCF,Evansville,8,128,H,1:00 PM,8.8,7.3
Northern Arizona,UT Rio Grande Valley,-1,137,H,1:00 PM,11.5,7.2
North Carolina Central,Alabama St.,-1,141,H,7:00 PM,6.7,4.8
Mercer,Saint Louis,-10,138,H,4:00 PM,-4.3,-3.1
Bradley,Brown,4,130,N,2:15 PM,-10.2,-15.3
Western Illinois,DePaul,-12,150,H,7:00 PM,11.0,11.7
Colorado,Duquesne,9,129,N,4:45 PM,-8.5,-15.9
Army,La Salle,-6,138,H,3:00 PM,10.3,8.1
Oral Roberts,Central Arkansas,7,161,H,3:15 PM,-12.1,-15.4
Canisius,Cleveland St.,-10,144,H,1:00 PM,0.2,-1.3
UMBC,Longwood,-7,139,H,4:00 PM,-17.7,-11.2
Albany,Eastern Kentucky,-13,149,H,6:30 PM,-15.8,-17.9
Illinois Chicago,Loyola Chicago,-17,131,H,3:00 PM,-1.3,-1.9
Rider,Buffalo,-13,145,H,1:00 PM,-0.9,-2.1
San Jose St.,Texas,-22,138,H,5:00 PM,5.4,0.9
Eastern Michigan,Michigan St.,-20,138,H,4:00 PM,1.2,3.6
North Carolina A&T,Wake Forest,-14,142,H,3:00 PM,-11.7,-14.6
Navy,Radford,7,135,N,4:00 PM,18.5,25.6
American,Western Carolina,4,138,N,6:30 PM,-15.8,-19.8
Bucknell,Illinois St.,-8,144,H,6:00 PM,14.7,14.1
Eastern Washington,Texas St.,-8,134,N,10:00 PM,-7.2,-5.9
Detroit,Louisville,-18,142,H,1:00 PM,2.9,4.1
Liberty,Manhattan,10,122,N,5:00 PM,-17.9,-24.3
Fairleigh Dickinson,St. John's,-24,158,H,5:00 PM,-9.9,-6.8
Air Force,Holy Cross,2,126,N,1:30 PM,16.3,14.5
Binghamton,Connecticut,-24,138,H,11:00 AM,-8.5,-7.6
Niagara,St. Thomas,6,146,N,3:45 PM,-13.9,-10.9
Iona,North Alabama,13,137,N,7:30 PM,4.1,4.1
UT Arlington,San Diego St.,-17,125,H,9:00 PM,-6.6,-3.3
Georgia Southern,Hampton,8,134,N,4:00 PM,18.0,15.8
Georgia St.,William & Mary,14,146,N,4:00 PM,15.2,14.2
Incarnate Word,Texas Tech,-20,138,N,4:00 PM,11.1,12.3
North Dakota,Florida Atlantic,-10,140,H,5:00 PM,3.2,-0.2
Austin Peay,Dayton,-11,127,H,1:00 PM,26.4,24.3
Bethune Cookman,Bryant,-15,155,N,11:00 AM,7.2,3.3
Central Connecticut,Quinnipiac,-13,143,H,12:00 PM,3.5,1.5
Tennessee Martin,Troy,-13,143,N,2:00 PM,12.3,10.4
Chicago St.,UC Santa Barbara,-20,140,H,3:00 PM,16.1,14.8
Nebraska Omaha,Montana,-16,138,H,8:00 PM,3.5,2.2
