AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Tennessee,Arkansas,-1,139,H,3:00 PM,-9.0,0.6
Illinois,Michigan St.,-1,141,H,11:00 AM,0.5,-6.2
Texas Tech,Texas,-2,120,H,11:30 AM,-0.5,3.2
Iowa,Ohio St.,-4,158,H,1:30 PM,2.5,-4.8
Auburn,Florida,4,140,H,1:00 PM,-2.5,2.3
Kansas,West Virginia,4,146,H,7:00 PM,-2.8,1.4
Colorado St.,UNLV,-1,145,H,7:00 PM,-4.3,-4.2
Saint Louis,Davidson,-1,145,H,2:30 PM,9.7,8.5
Oklahoma,Iowa St.,-2,124,H,1:00 PM,10.7,9.1
Alabama,Kentucky,-12,160,H,12:00 PM,-0.3,6.3
North Texas,UAB,-2,126,H,3:00 PM,5.1,3.6
Xavier,Connecticut,-5,141,H,11:00 AM,-16.4,-7.6
Clemson,Louisville,1,141,H,2:00 PM,-2.0,-1.6
Northwestern,Minnesota,1,135,H,3:00 PM,12.9,12.6
San Diego St.,Fresno St.,-2,108,H,9:00 PM,0.9,8.5
LSU,South Carolina,4,132,H,2:30 PM,-11.3,-7.2
North Carolina,Virginia Tech,-6,148,H,3:00 PM,-15.2,-13.9
Santa Clara,Gonzaga,-23,169,H,8:00 PM,-0.1,0.3
Notre Dame,Wake Forest,-6,140,H,12:00 PM,1.5,1.6
Kansas St.,Oklahoma St.,-5,131,H,1:00 PM,-9.2,0.9
Oregon,Arizona,-14,152,H,9:00 PM,6.5,-4.4
Utah St.,Boise St.,-6,130,H,5:00 PM,-1.8,-12.1
Texas A&M,Vanderbilt,-4,132,H,5:00 PM,-11.4,-9.2
Towson,College of Charleston,3,147,H,3:00 PM,-3.8,13.0
TCU,Baylor,-11,137,H,11:00 AM,12.6,3.1
Colorado,Stanford,-2,132,H,9:00 PM,3.0,5.9
Virginia,Miami FL,-4,128,H,4:00 PM,10.1,5.3
Southern Illinois,Indiana St.,-1,125,H,12:00 PM,4.9,4.7
Middle Tennessee,Florida Atlantic,-2,140,H,3:00 PM,-5.0,-1.9
Montana St.,Southern Utah,-1,145,H,3:00 PM,2.8,-4.9
Princeton,Yale,-2,144,H,6:00 PM,0.5,14.6
Mississippi,Georgia,3,143,H,12:00 PM,1.8,-2.1
Dayton,Saint Joseph's,4,130,H,12:00 PM,6.0,6.8
Utah,California,-2,132,H,5:00 PM,10.9,0.6
BYU,Saint Mary's,-8,132,H,9:00 PM,-19.8,-16.3
South Alabama,Appalachian St.,-1,129,H,3:30 PM,0.7,9.9
New Mexico St.,Grand Canyon,-4,128,H,7:00 PM,-1.0,-2.1
Tulsa,South Florida,1,125,H,11:00 AM,2.2,3.9
Florida St.,Duke,-15,143,H,5:00 PM,-10.3,-9.3
Rhode Island,George Washington,2,130,H,5:00 PM,-16.2,-13.0
Cornell,Harvard,-3,149,H,6:00 PM,-5.6,-3.9
Florida Gulf Coast,North Florida,-1,149,H,4:00 PM,-10.3,-4.8
Charlotte,Marshall,-1,153,H,6:00 PM,-2.9,-3.8
DePaul,Seton Hall,-10,144,H,7:00 PM,1.4,-4.1
Drake,Loyola Chicago,-8,132,H,5:00 PM,4.6,11.1
Hawaii,UC Irvine,-2,122,H,3:00 PM,-0.5,7.5
Loyola Marymount,Pacific,1,135,H,9:00 PM,-9.4,-3.4
UNC Greensboro,Samford,-2,134,H,2:00 PM,-0.2,3.4
Georgia Tech,Pittsburgh,-3,125,H,6:00 PM,3.7,-21.7
East Tennessee St.,The Citadel,3,153,H,12:00 PM,1.0,2.2
Long Beach St.,UC Santa Barbara,-4,140,H,9:00 PM,-1.4,7.0
Georgia St.,Georgia Southern,2,128,H,2:00 PM,21.8,22.0
Rice,FIU,-1,143,H,6:00 PM,-5.4,-10.5
Ball St.,Bowling Green,-3,169,H,4:00 PM,6.7,5.9
Penn,Brown,-3,141,H,5:00 PM,13.7,15.5
Washington,UCLA,-17,141,H,9:00 PM,4.9,1.1
Norfolk St.,Coppin St.,1,145,H,3:00 PM,12.1,-2.9
Troy,Coastal Carolina,-4,132,H,3:00 PM,5.9,-1.2
