AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Duke,Notre Dame,4,144,H,06:00 PM,-9.9,-5.1
Iowa,Penn St.,3,137,H,06:00 PM,-8.4,6.6
Colorado St.,Wyoming,-3,147,H,07:00 PM,5.1,-6.2
TCU,Oklahoma,-5,125,H,08:00 PM,3.4,8.6
West Virginia,Baylor,-15,137,H,08:00 PM,-3.3,-1.1
Wofford,Mercer,1,139,H,06:00 PM,-2.6,10.0
Drexel,UNC Wilmington,-1,137,H,06:00 PM,-7.5,-4.5
Norfolk St.,North Carolina Central,1,137,H,08:00 PM,-5.3,-2.1
Liberty,Kennesaw St.,3,139,H,06:00 PM,6.1,6.1
Southern,Jackson St.,1,127,H,07:30 PM,7.0,7.6
Morehead St.,Tennessee Tech,3,135,H,06:00 PM,1.3,4.6
Eastern Washington,Weber St.,-7,157,H,08:00 PM,4.1,-1.6
New Mexico,San Diego St.,-13,133,H,09:00 PM,-1.5,5.1
SIU Edwardsville,Austin Peay,-3,137,H,06:00 PM,-0.7,-13.6
Northern Colorado,Portland St.,5,151,H,09:30 PM,1.1,-4.4
Howard,South Carolina St.,5,153,H,06:30 PM,-9.5,3.3
UMKC,Western Illinois,-8,138,H,06:00 PM,1.4,-8.8
Morgan St.,Maryland Eastern Shore,-2,138,H,06:30 PM,-0.5,-8.6
James Madison,Towson,-14,148,H,06:00 PM,-6.9,-3.5
Florida A&M,Alabama St.,-4,138,H,08:00 PM,0.9,3.9
Bethune Cookman,Alabama A&M,-1,115,H,07:00 PM,10.2,17.0
Pacific,Santa Clara,-16,146,H,08:00 PM,1.3,4.4
Colgate,Lafayette,6,136,H,05:00 PM,-0.3,-0.5
Albany,Vermont,-13,127,H,06:00 PM,8.3,17.4
South Dakota St.,North Dakota,20,168,H,07:00 PM,-1.0,3.1
Grambling St.,Alcorn St.,-10,140,H,07:30 PM,0.3,-1.3
Hartford,Maine,5,139,H,06:00 PM,-1.0,3.2
Northern Arizona,Southern Utah,-12,146,H,06:00 PM,-0.7,-1.0
Coppin St.,Delaware St.,9,141,H,06:30 PM,14.6,-4.9
