AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Saint Louis,Northern Iowa,-1,149,H,7:00 PM,-1.0,-1.2
Dayton,Toledo,1,141,H,6:00 PM,-1.7,3.2
Notre Dame,Rutgers,2,130,N,8:10 PM,3.2,-1.4
Mississippi St.,Virginia,-2,120,H,6:00 PM,-6.8,4.1
Bryant,Wright St.,1,157,N,5:40 PM,3.3,11.7
Towson,Wake Forest,-7,145,H,6:00 PM,0.6,-4.1
Iona,Florida,-8,144,H,8:00 PM,-5.0,-2.5
Princeton,VCU,-8,138,H,,7.4,3.1
Texas A&M Corpus Chris,Texas Southern,-3,133,N,11:00 PM,8.0,1.6
Long Beach St.,BYU,-12,150,H,8:00 PM,0.2,0.0
