AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
North Carolina,Georgia Tech,1,147,H,02:00 PM,7.2,11.9
Xavier,Oklahoma St.,-3,131,H,04:00 PM,8.9,7.9
Richmond,Northern Iowa,-1,151,H,01:00 PM,1.7,4.0
Northwestern,Maryland,-2,134,H,11:00 AM,6.9,3.6
Ohio St.,Penn St.,3,131,H,06:30 PM,0.9,0.8
Kansas St.,Wichita St.,-5,123,H,05:00 PM,4.5,5.4
Chattanooga,Lipscomb,2,138,H,04:00 PM,-1.2,6.7
Georgetown,South Carolina,-5,145,H,01:00 PM,-1.4,3.7
Minnesota,Mississippi St.,-8,124,H,01:00 PM,5.9,3.3
California,Utah,-7,133,H,04:00 PM,1.7,5.3
Arizona St.,Oregon,-9,135,H,06:00 PM,-5.3,-15.8
Arizona,Oregon St.,13,139,H,03:00 PM,31.5,29.2
NJIT,Lafayette,1,135,H,01:00 PM,2.2,6.5
Marist,Rider,-2,130,H,01:00 PM,-0.3,5.5
Belmont,Samford,11,155,H,02:00 PM,-2.7,2.3
Valparaiso,Western Michigan,2,138,H,01:00 PM,4.2,4.9
Detroit,Illinois Chicago,-3,143,H,01:00 PM,6.0,7.9
Monmouth,Canisius,6,148,H,12:00 PM,18.7,16.6
Fordham,St. John's,-11,141,H,06:00 PM,15.6,14.9
Fairfield,Niagara,-4,130,H,12:00 PM,-5.7,-3.7
UMBC,Delaware,-7,151,H,01:00 PM,2.1,8.4
VMI,Seattle,-8,144,H,03:00 PM,-5.6,-0.1
Bryant,Cincinnati,-15,141,H,06:00 PM,-9.0,-12.9
Quinnipiac,Manhattan,-6,140,H,01:00 PM,-13.9,-11.1
Kennesaw St.,Wofford,-9,139,H,01:00 PM,10.4,12.0
Hartford,St. Francis NY,-5,145,H,01:00 PM,-11.7,-4.9
Sacred Heart,Brown,-6,134,H,01:00 PM,-4.2,-6.3
Western Illinois,Central Michigan,8,152,H,01:00 PM,16.0,17.9
North Florida,Florida Atlantic,-9,145,H,01:00 PM,-1.9,-5.3
St. Thomas,Drake,-17,149,H,02:00 PM,20.1,10.3
Siena,Saint Peter's,-10,130,H,01:00 PM,0.7,-0.8
Southeastern Louisiana,Troy,-9,139,H,04:00 PM,1.0,6.0
Cal Poly,San Diego,-11,125,H,03:00 PM,6.6,10.9
Denver,Texas St.,-13,133,H,01:00 PM,3.1,6.5
Bethune Cookman,UCF,-23,139,H,01:00 PM,16.1,18.3
Charleston Southern,Tarleton St.,-14,132,H,07:00 PM,-12.5,-14.4
