AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Buffalo,North Texas,1,129,H,7:00 PM
Penn St.,Massachusetts,1,147,H,6:00 PM
Providence,Wisconsin,-4,124,H,8:00 PM
Illinois,Marquette,9,145,H,6:00 PM
Weber St.,Duquesne,1,147,H,6:00 PM
Oregon St.,Tulsa,-1,127,H,8:00 PM
San Diego,California,-3,135,H,8:00 PM
Liberty,LSU,-8,140,H,6:00 PM
North Dakota St.,UNLV,-2,130,H,9:00 PM
Furman,Belmont,-9,143,H,6:30 PM
UC Santa Barbara,Washington St.,-8,136,H,10:00 PM
The Citadel,Presbyterian,-1,149,H,6:00 PM
Utah Valley,Pepperdine,-5,143,H,9:00 PM
Southern Miss,TCU,-8,134,H,7:00 PM
Southern Utah,Saint Mary's,-10,134,H,9:00 PM
Bryant,Clemson,-12,144,H,6:00 PM
Navy,Louisville,-12,136,H,7:00 PM
Long Beach St.,UCLA,-29,155,H,10:00 PM
Texas Southern,Washington,-11,149,H,8:00 PM
Grambling St.,New Mexico,-6,148,H,8:00 PM
Bowling Green,Ohio St.,-18,148,H,5:30 PM
Nicholls St.,Baylor,-23,151,H,11:00 AM
North Carolina A&T,South Florida,-5,131,H,6:00 PM
Prairie View A&M,Texas Tech,-17,139,H,7:00 PM
UMKC,Missouri,-8,132,H,7:00 PM
Montana,North Dakota,5,135,H,7:00 PM
Central Michigan,Eastern Illinois,-2,148,H,7:00 PM
Denver,IUPUI,2,140,N,5:00 PM
Manhattan,Old Dominion,-10,132,H,6:00 PM
Robert Morris,Ohio,-19,149,H,6:00 PM
Samford,San Francisco,-21,147,H,8:00 PM
San Jose St.,Stanford,-14,142,H,10:00 PM
Sacramento St.,Cal Poly,-5,141,H,9:00 PM
North Florida,Arizona St.,-19,145,H,8:00 PM
Radford,Virginia Tech,-20,136,H,6:00 PM
Lamar,Georgia Tech,-18,138,H,6:30 PM
Northwestern St.,SMU,-18,152,H,7:00 PM
Coppin St.,UNC Greensboro,-14,144,H,6:00 PM
Maine,Colorado,-16,128,H,7:00 PM
St. Thomas,Fordham,-10,138,H,6:00 PM
Holy Cross,Quinnipiac,-13,145,H,6:00 PM
Bethune Cookman,Utah,-21,143,H,9:00 PM
Idaho,Fresno St.,-20,140,H,9:00 PM
