AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
LSU,Tennessee,-2,126,H,5:00 PM,-8.9,0.3
Kentucky,Auburn,-5,151,H,12:00 PM,3.4,2.1
Baylor,Oklahoma,3,139,H,2:00 PM,-5.2,-8.1
Seton Hall,St. John's,1,161,H,11:00 AM,-3.0,-2.3
North Carolina,Wake Forest,-4,152,H,7:00 PM,1.1,-11.2
UAB,Louisiana Tech,-1,147,H,3:00 PM,-7.2,0.9
Kansas,Kansas St.,6,142,H,3:00 PM,-6.2,-7.5
USC,Utah,2,140,H,5:30 PM,-7.1,-12.9
Notre Dame,Louisville,-1,135,H,3:00 PM,12.7,8.5
Boise St.,San Diego St.,-3,115,H,8:30 PM,2.6,-5.0
Dayton,George Mason,1,127,H,6:00 PM,18.8,11.9
Florida St.,Miami FL,-5,147,H,1:00 PM,-14.8,-21.5
Texas A&M,Arkansas,-6,144,H,7:30 PM,-1.1,-7.3
College of Charleston,James Madison,-1,161,H,3:00 PM,0.4,10.4
UCLA,Colorado,6,136,H,8:00 PM,-8.2,-8.3
Furman,Wofford,-3,141,H,6:00 PM,2.7,9.3
Missouri St.,Loyola Chicago,-6,138,H,2:30 PM,19.6,10.6
Syracuse,Duke,-13,161,H,11:00 AM,5.8,9.8
Oklahoma St.,Texas,-7,121,H,1:00 PM,-7.4,4.4
South Dakota St.,Western Illinois,5,169,H,2:00 PM,3.0,-0.9
Seattle,Tarleton St.,-1,131,H,7:00 PM,5.9,19.3
Chattanooga,VMI,3,149,H,12:00 PM,-8.7,-7.3
Grand Canyon,Sam Houston St.,2,128,H,2:00 PM,-7.0,-24.3
Texas St.,Arkansas St.,-1,137,H,2:00 PM,-9.8,3.2
Penn St.,Iowa,-8,142,H,3:30 PM,11.8,5.9
Coastal Carolina,Georgia St.,-1,143,H,1:00 PM,16.8,8.0
Virginia,North Carolina St.,-2,124,H,3:00 PM,-6.8,-1.6
West Virginia,Texas Tech,-9,123,H,11:00 AM,-6.9,-5.4
TCU,Iowa St.,-9,121,H,3:00 PM,-0.2,1.3
Tulane,UCF,-6,142,H,1:00 PM,16.5,13.9
Northern Colorado,Eastern Washington,-1,157,H,4:00 PM,1.5,0.1
Gardner Webb,Winthrop,-1,143,H,1:00 PM,6.4,-2.1
Drake,Northern Iowa,-4,142,H,5:00 PM,-13.6,-7.3
Yale,Penn,-1,145,H,3:00 PM,-7.6,5.8
Vanderbilt,Florida,-8,134,H,12:00 PM,3.2,-3.2
Rutgers,Minnesota,-5,125,H,11:00 AM,13.4,8.1
UT Rio Grande Valley,Dixie St.,-1,163,H,8:00 PM,7.8,1.6
Kennesaw St.,Lipscomb,-1,157,H,1:15 PM,9.1,9.4
New Mexico St.,Stephen F. Austin,-4,136,H,2:00 PM,-5.5,-20.2
UC Irvine,Long Beach St.,1,133,H,3:00 PM,-14.1,-24.1
Harvard,Cornell,-3,157,H,1:00 PM,-4.9,4.9
DePaul,Creighton,-10,146,H,4:30 PM,-14.0,-0.5
Appalachian St.,Georgia Southern,-1,125,H,2:00 PM,5.8,9.1
Virginia Tech,Boston College,6,128,H,11:00 AM,2.2,3.6
Saint Mary's,Loyola Marymount,5,125,H,9:00 PM,1.4,1.6
Davidson,Fordham,7,135,H,1:00 PM,1.2,4.2
Troy,Louisiana Lafayette,-5,137,H,7:00 PM,2.2,11.1
South Alabama,Louisiana Monroe,4,152,H,2:00 PM,-1.2,11.9
Stony Brook,Albany,1,131,H,6:00 PM,-6.2,-10.7
Campbell,North Carolina A&T,1,131,H,4:00 PM,-0.3,-2.4
East Carolina,Houston,-21,143,H,5:00 PM,-2.1,3.7
Saint Joseph's,VCU,-8,126,H,1:30 PM,3.4,3.5
Mississippi,Mississippi St.,-8,132,H,3:00 PM,3.4,-10.5
Princeton,Dartmouth,2,134,H,1:00 PM,-9.9,-0.5
Charlotte,Rice,-5,151,H,2:00 PM,-4.0,-6.1
Detroit,Milwaukee,1,139,H,2:00 PM,8.4,-11.1
Howard,Morgan St.,3,157,H,3:00 PM,-5.4,3.4
Southern Illinois,Bradley,-5,125,H,7:00 PM,-8.8,-9.6
Wright St.,Illinois Chicago,-2,150,H,7:00 PM,6.9,2.7
Arizona St.,Stanford,-6,130,H,10:00 PM,-6.6,3.0
Richmond,La Salle,6,142,H,3:30 PM,-2.2,-7.3
Western Kentucky,FIU,4,138,H,6:00 PM,11.2,-2.6
UNC Asheville,Radford,1,131,H,1:00 PM,3.0,-1.6
Hofstra,Northeastern,6,142,H,11:00 AM,3.8,7.1
San Diego,Pacific,2,126,H,7:30 PM,1.4,10.7
Cal Baptist,Abilene Christian,-8,142,H,3:00 PM,3.6,18.9
Villanova,Georgetown,16,138,H,11:00 AM,0.2,6.3
New Mexico,Wyoming,-13,153,H,6:30 PM,4.9,2.1
Georgia,South Carolina,-8,144,H,2:30 PM,4.6,6.8
San Francisco,Pepperdine,12,144,H,6:30 PM,-6.4,3.3
Montana St.,Portland St.,4,136,H,9:00 PM,2.8,-0.3
Sacramento St.,Idaho,1,151,H,4:00 PM,7.5,3.4
Missouri,Alabama,-20,150,H,5:00 PM,10.8,14.3
Valparaiso,Indiana St.,-7,137,H,12:00 PM,-5.4,-3.1
Colorado St.,Air Force,8,128,H,1:00 PM,-7.9,-9.3
Alcorn St.,Florida A&M,2,130,H,2:00 PM,6.0,3.3
UT Arlington,Little Rock,2,134,H,2:00 PM,14.9,5.5
Samford,UNC Greensboro,-4,130,H,4:00 PM,-1.3,-1.4
North Dakota St.,Oral Roberts,-9,149,H,7:00 PM,-7.8,2.0
Longwood,Presbyterian,3,123,H,2:00 PM,10.9,2.6
Bowling Green,Western Michigan,3,157,H,1:00 PM,2.5,-17.2
Florida Gulf Coast,Jacksonville St.,-8,146,H,3:00 PM,-1.0,1.3
Hawaii,Cal Poly,3,129,H,9:00 PM,9.2,7.0
Pittsburgh,Clemson,-9,133,H,5:00 PM,15.8,14.0
South Carolina St.,Maryland Eastern Shore,-1,137,H,3:00 PM,-4.8,-8.0
Marshall,Florida Atlantic,-9,155,H,3:00 PM,-16.5,-18.8
Alabama St.,Prairie View A&M,-5,155,H,5:30 PM,5.9,3.7
