AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Arizona,Tennessee,1,149,H,06:00 PM
Virginia Tech,Duke,-7,135,H,08:00 PM
Boise St.,Washington St.,-3,123,N,07:00 PM
Clemson,Virginia,-2,116,H,06:00 PM
Towson,Navy,-3,133,H,12:00 PM
Murray St.,Auburn,-11,143,H,05:00 PM
Stanford,Wyoming,-3,139,N,04:30 PM
Liberty,Northern Iowa,1,125,N,02:00 PM
College of Charleston,Old Dominion,1,141,H,06:00 PM
Hofstra,Monmouth,-6,144,H,06:00 PM
Wofford,Duquesne,1,135,H,02:00 PM
Missouri St.,Saint Mary's,-5,123,H,09:00 PM
Bradley,UTEP,2,126,N,07:00 PM
Vanderbilt,Hawaii,3,133,H,10:59 PM
East Tennessee St.,Georgia,-2,136,H,06:00 PM
San Diego,UNLV,-2,126,H,09:00 PM
Western Kentucky,Kentucky,-12,146,H,05:00 PM
Boston College,Wake Forest,-9,137,H,05:00 PM
Longwood,Abilene Christian,-6,132,H,07:00 PM
UMBC,Mount St. Mary's,1,137,H,06:00 PM
Oral Roberts,South Dakota St.,-13,169,H,07:00 PM
Texas St.,Houston,-18,128,H,07:00 PM
Colgate,Vermont,-6,136,H,01:00 PM
UMKC,South Dakota,-2,130,H,07:00 PM
Stony Brook,Florida,-14,138,H,01:00 PM
Dixie St.,Southern Utah,-8,154,H,08:00 PM
Middle Tennessee,Chattanooga,-9,137,H,06:00 PM
Lipscomb,LSU,-24,144,H,07:00 PM
Southern Illinois,San Francisco,-10,120,H,04:00 PM
North Carolina Central,Sam Houston St.,-3,139,N,05:00 PM
St. Thomas,Denver,3,143,H,03:00 PM
Illinois,Missouri,17,137,N,08:00 PM
Kennesaw St.,Nebraska,-8,148,H,06:30 PM
Florida Gulf Coast,Canisius,6,144,H,06:00 PM
Western Kentucky,Austin Peay,8,144,H,07:00 PM
Portland,UC Davis,-8,146,H,04:00 PM
Northern Kentucky,Indiana,-18,132,H,06:00 PM
Eastern Washington,Texas Tech,-19,139,H,01:00 PM
BYU,South Florida,14,120,N,08:30 PM
Youngstown St.,West Virginia,-14,130,H,05:00 PM
Prairie View A&M,Wichita St.,-16,142,H,06:00 PM
Robert Morris,St. Francis PA,-6,156,H,06:00 PM
Saint Peter's,Fairleigh Dickinson,6,136,H,02:00 PM
Texas A&M Corpus Chris,Notre Dame,-16,140,H,12:00 PM
Troy,Mercer,-8,134,H,05:00 PM
Army,South Carolina,-13,135,H,02:00 PM
UC San Diego,San Diego St.,-15,125,H,08:00 PM
North Alabama,UCF,-18,132,H,06:00 PM
Campbell,UNC Wilmington,6,128,H,11:00 AM
Bucknell,Richmond,-18,152,H,03:00 PM
Alabama St.,Texas,-28,132,H,01:00 PM
Pacific,California,-10,122,H,05:00 PM
Alcorn St.,Oklahoma,-22,132,H,07:00 PM
Western Carolina,Charlotte,-11,147,H,04:00 PM
Hartford,Sacred Heart,-8,148,H,10:00 AM
Green Bay,Minnesota,-19,129,H,04:00 PM
Western Illinois,Nebraska Omaha,14,148,H,07:00 PM
Maryland Eastern Shore,George Washington,-10,128,H,11:00 AM
Mississippi Valley St.,UAB,-34,156,H,06:30 PM
Idaho St.,UC Santa Barbara,-14,134,H,03:00 PM
Chicago St.,Drake,-21,135,H,05:00 PM
Bethune Cookman,Marist,-12,130,H,06:00 PM
North Dakota,North Dakota St.,-14,136,H,07:00 PM
William & Mary,Valparaiso,-15,129,H,12:00 PM
Delaware St.,Temple,-20,134,H,01:30 PM
