AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Purdue,Indiana,1,143,H,6:00 PM,-6.4,2.1
Boise St.,Utah St.,-1,131,H,8:00 PM,4.5,4.5
San Francisco,Gonzaga,-15,159,H,10:00 PM,-4.7,-6.4
USC,Colorado,1,135,H,6:30 PM,-14.2,-21.7
SMU,Memphis,-7,157,H,6:00 PM,8.7,4.3
Arizona,Stanford,10,152,H,10:00 PM,-4.1,1.3
UCLA,Utah,7,147,H,10:00 PM,4.0,-2.0
Grand Canyon,Stephen F. Austin,1,133,H,6:30 PM,3.5,23.5
Western Kentucky,Florida Atlantic,-1,147,H,6:00 PM,1.8,-13.6
South Alabama,Louisiana Lafayette,-2,148,H,7:00 PM,-8.0,-2.6
Monmouth,Fairfield,1,133,H,6:30 PM,-0.9,-7.7
Belmont,Morehead St.,4,140,H,6:00 PM,2.6,-2.0
Santa Clara,Saint Mary's,-7,137,H,8:00 PM,-4.3,-3.9
Washington,Oregon St.,-3,141,H,10:30 PM,1.9,2.3
Seattle,Abilene Christian,-5,141,H,7:00 PM,4.7,10.9
South Dakota St.,St. Thomas,6,170,H,7:00 PM,-16.4,-3.8
Coastal Carolina,Georgia Southern,-1,133,H,6:00 PM,9.1,-3.1
Troy,Louisiana Monroe,-1,145,H,6:30 PM,5.2,11.9
Hawaii,Cal St. Bakersfield,1,133,H,9:00 PM,9.7,14.4
Saint Louis,Massachusetts,8,158,H,6:00 PM,8.7,8.9
SIU Edwardsville,Tennessee Tech,-1,139,H,6:00 PM,6.6,8.5
New Mexico St.,Sam Houston St.,5,137,H,6:30 PM,-4.2,-4.8
Appalachian St.,Georgia St.,-2,134,H,6:00 PM,12.6,13.3
Marshall,FIU,-2,146,H,6:00 PM,-3.8,-6.1
Akron,Bowling Green,-4,152,H,6:00 PM,-8.7,-9.1
College of Charleston,Towson,-10,154,H,6:00 PM,-9.4,-6.9
North Dakota St.,UMKC,-1,129,H,7:00 PM,4.2,4.8
Montana,Portland St.,2,134,H,9:00 PM,13.1,1.2
Connecticut,Butler,8,124,H,8:00 PM,-6.9,8.5
Samford,VMI,-7,159,H,6:00 PM,-6.4,-0.2
Winthrop,Presbyterian,1,135,H,5:00 PM,4.3,-3.6
UNLV,Air Force,4,122,H,8:00 PM,3.3,7.4
Long Beach St.,UC San Diego,-3,141,H,9:00 PM,16.2,15.5
Tulsa,Cincinnati,-9,131,H,8:00 PM,7.5,-0.7
Chattanooga,UNC Greensboro,5,119,H,6:00 PM,-1.5,0.4
UC Davis,Cal St. Northridge,2,134,H,9:00 PM,-7.0,-3.9
Cal St. Fullerton,UC Irvine,-7,129,H,9:00 PM,7.3,13.4
Old Dominion,Rice,-6,140,H,7:00 PM,7.2,-3.3
San Diego,BYU,-14,130,H,8:00 PM,-2.6,5.3
Southeastern Louisiana,New Orleans,-5,151,H,7:00 PM,2.6,-2.0
UT Arlington,Arkansas St.,-6,132,H,7:00 PM,4.4,-2.7
Georgetown,Providence,-17,147,H,4:00 PM,-6.9,-9.1
Tennessee St.,Southeast Missouri St.,-3,163,H,7:00 PM,10.9,12.7
Cal Baptist,Tarleton St.,-6,126,H,7:00 PM,-4.0,10.0
Pepperdine,Loyola Marymount,-9,141,H,10:00 PM,5.5,-5.7
Northern Colorado,Idaho,7,167,H,8:00 PM,0.7,-5.9
Sacramento St.,Eastern Washington,-6,146,H,8:00 PM,8.3,9.1
UT Rio Grande Valley,Utah Valley,-14,150,H,7:00 PM,-0.5,4.8
Charlotte,North Texas,-12,124,H,6:00 PM,-7.7,-9.7
Texas St.,Little Rock,7,139,H,6:30 PM,-2.3,-0.3
Elon,Drexel,-8,140,H,6:00 PM,9.3,13.9
South Dakota,Western Illinois,-9,147,H,6:00 PM,2.1,5.1
Montana St.,Northern Arizona,6,132,H,7:00 PM,5.3,3.7
Oakland,Milwaukee,10,138,H,7:00 PM,6.5,0.4
UNC Wilmington,James Madison,-8,144,H,6:00 PM,4.1,24.6
McNeese St.,Texas A&M Corpus Chris,-9,147,H,7:30 PM,-1.9,-5.0
Northern Kentucky,Illinois Chicago,-5,137,H,7:00 PM,-3.2,-13.3
Detroit,Green Bay,4,134,H,7:00 PM,13.5,13.4
Austin Peay,Tennessee Martin,-7,145,H,6:00 PM,-15.9,-13.9
North Florida,Florida St.,-20,136,H,11:00 AM,-0.7,-0.7
Northwestern St.,Nicholls St.,-16,158,H,7:00 PM,-3.3,9.5
Lamar,Dixie St.,-9,149,H,8:00 PM,5.0,2.3
Houston Baptist,Incarnate Word,-3,137,H,7:30 PM,2.3,1.6
Columbia,Cornell,-18,164,H,,2.0,9.8
UTSA,UTEP,-14,132,H,8:00 PM,-2.3,-10.5
Eastern Illinois,Murray St.,-28,128,H,7:00 PM,-7.9,-9.3
North Dakota,Oral Roberts,-25,161,H,7:00 PM,-16.4,-10.6
William & Mary,Delaware,-21,145,H,6:00 PM,-0.5,-0.5
Idaho St.,Weber St.,-15,133,H,8:00 PM,4.4,1.6
