AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Wofford,UNC Greensboro,1,123,H,05:00 PM,-1.0,-4.6
Oregon,Oregon St.,5,141,H,09:00 PM,-0.5,-6.4
San Diego,Pepperdine,-2,138,H,09:00 PM,-19.1,-8.4
Campbell,Winthrop,-3,139,H,04:00 PM,2.7,1.1
North Dakota St.,Denver,1,137,H,08:00 PM,-2.4,-11.0
Alcorn St.,Alabama St.,-2,146,H,08:00 PM,0.1,-1.9
Morgan St.,South Carolina St.,-4,154,H,06:30 PM,-12.6,-11.8
Jackson St.,Alabama A&M,1,115,H,07:00 PM,-2.0,-6.5
Army,Colgate,-8,156,H,05:00 PM,4.0,20.2
Southern,Bethune Cookman,3,137,H,06:30 PM,-5.0,3.8
Grambling St.,Florida A&M,-4,136,H,06:30 PM,4.5,7.4
Navy,Lafayette,8,134,H,06:00 PM,-3.3,5.7
Bucknell,Loyola MD,-7,147,H,06:00 PM,-6.8,-6.3
Western Carolina,East Tennessee St.,-11,149,H,06:00 PM,1.9,1.6
Seattle,Chicago St.,9,141,H,03:00 PM,5.0,-4.9
South Dakota,North Dakota,4,150,H,07:00 PM,-2.1,3.9
New Mexico St.,Lamar,11,141,H,03:00 PM,-0.4,2.9
Boston University,American,7,135,H,06:00 PM,5.5,-4.0
Nebraska Omaha,UMKC,-13,143,H,07:00 PM,5.2,1.3
Arkansas Pine Bluff,Prairie View A&M,-13,161,H,07:30 PM,6.3,14.8
Holy Cross,Lehigh,-7,141,H,06:00 PM,12.0,10.1
Mississippi Valley St.,Texas Southern,-20,148,H,07:30 PM,8.2,11.9
