Seed,east,midwest,south,west
1,Houston,Duke,Florida,Auburn
16,Southern,Southeast Missouri St.,Bucknell,Bryant
8,Memphis,BYU,Connecticut,Gonzaga
9,Vanderbilt,West Virginia,Utah St.,Creighton
5,Clemson,Texas A&M,Maryland,Marquette
12,Drake,McNeese St.,Liberty,Xavier
4,Iowa St.,Purdue,Michigan,Missouri
13,Grand Canyon,Arkansas St.,Yale,High Point
6,Kansas,Oregon,Mississippi,UCLA
11,Ohio St.,UC San Diego,Baylor,North Carolina
3,Arizona,Wisconsin,St. John's,Kentucky
14,Lipscomb,UNC Wilmington,Chattanooga,Akron
7,Illinois,Louisville,Mississippi St.,Saint Mary's
10,Georgia,VCU,New Mexico,Arkansas
2,Michigan St.,Tennessee,Alabama,Texas Tech
15,Montana,Central Connecticut,North Dakota St.,Robert Morris
