,away_team,home_team,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME
0,Villanova Wildcats,Saint Joseph's Hawks,2024-11-12 16:00:00-06:00,3.0,,2.5,Villanova,Saint Joseph's
1,Cornell Big Red,La Salle Explorers,2024-11-12 17:30:00-06:00,-4.0,-4.5,-4.5,Cornell,La Salle
2,Hampton Pirates,Providence Friars,2024-11-12 17:30:00-06:00,-22.5,-22.5,-22.5,Hampton,Providence
3,Kansas Jayhawks,Michigan St Spartans,2024-11-12 17:30:32-06:00,6.0,6.5,6.5,Kansas,Michigan St.
4,American Eagles,Siena Saints,2024-11-12 18:00:00-06:00,1.0,1.5,1.5,American,Siena
5,Arkansas-Pine Bluff Golden Lions,South Florida Bulls,2024-11-12 18:00:00-06:00,-23.5,-23.5,-23.5,Arkansas Pine Bluff,South Florida
6,Bethune-Cookman Wildcats,Fort Wayne Mastodons,2024-11-12 18:00:00-06:00,-13.0,-13.5,-12.5,Bethune Cookman,Fort Wayne
7,Binghamton Bearcats,Fordham Rams,2024-11-12 18:00:00-06:00,-13.0,-13.5,-12.5,Binghamton,Fordham
8,Eastern Kentucky Colonels,Clemson Tigers,2024-11-12 18:00:00-06:00,-20.0,-20.5,-20.5,Eastern Kentucky,Clemson
9,Colgate Raiders,Syracuse Orange,2024-11-12 18:00:00-06:00,-11.5,-11.5,-11.5,Colgate,Syracuse
10,Lehigh Mountain Hawks,Columbia Lions,2024-11-12 18:00:00-06:00,-8.5,-8.5,-8.5,Lehigh,Columbia
11,Delaware Blue Hens,Iona Gaels,2024-11-12 18:00:00-06:00,-5.0,-5.5,-4.5,Delaware,Iona
12,Drexel Dragons,Temple Owls,2024-11-12 18:00:00-06:00,-7.0,-7.5,-7.5,Drexel,Temple
13,Fairfield Stags,New Hampshire Wildcats,2024-11-12 18:00:00-06:00,1.5,1.5,1.5,Fairfield,New Hampshire
14,Florida Atlantic Owls,UCF Knights,2024-11-12 18:00:00-06:00,-5.5,-5.5,-5.5,Florida Atlantic,UCF
