,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,80.91,61.41,46.43,36.35,23.16,15.3,5.5359477124183005
1,Duke,FinalFour,1,100.0,81.16,62.19,47.03,32.85,21.98,14.52,5.887052341597797
2,Arizona,FinalFour,9,100.0,78.14,54.81,41.59,27.52,17.64,9.6,9.416666666666668
3,Houston,EliteEight,16,100.0,78.07,55.16,36.21,20.38,12.26,7.41,12.49527665317139
4,Florida,FinalFour,8,100.0,79.39,55.17,36.31,23.49,12.9,6.86,13.577259475218659
5,Purdue,SweetSixteen,2,100.0,75.39,47.68,29.27,17.02,9.92,5.36,17.656716417910445
6,Illinois,EliteEight,13,100.0,70.21,43.75,27.39,15.31,9.26,4.57,20.88183807439825
7,Iowa St.,EliteEight,12,100.0,76.6,46.03,30.26,18.57,9.28,4.32,22.14814814814815
8,Connecticut,EliteEight,9,100.0,77.32,56.07,35.88,15.54,7.61,4.03,23.813895781637715
9,Gonzaga,SweetSixteen,3,100.0,70.3,43.02,26.22,13.14,6.32,2.55,38.21568627450981
10,Vanderbilt,SweetSixteen,13,100.0,65.79,36.92,19.23,11.69,4.88,2.21,44.248868778280546
11,Texas Tech,west,5,100.0,72.01,36.72,17.19,8.95,4.18,1.98,49.505050505050505
12,Arkansas,south,5,100.0,68.19,40.32,18.44,9.0,4.69,1.85,53.054054054054056
13,Michigan St.,SweetSixteen,8,100.0,67.79,40.47,19.43,8.22,3.85,1.77,55.49717514124294
14,Louisville,south,6,100.0,57.78,28.71,14.48,7.03,3.69,1.66,59.24096385542169
15,Tennessee,midwest,5,100.0,66.44,42.35,20.47,9.58,4.34,1.59,61.893081761006286
16,Virginia,SweetSixteen,4,100.0,64.37,37.56,19.17,8.7,3.48,1.59,61.893081761006286
17,Alabama,SweetSixteen,9,100.0,63.18,39.19,13.83,6.52,2.91,1.33,74.18796992481202
18,Nebraska,SweetSixteen,14,100.0,64.01,32.23,15.93,8.26,3.08,1.2,82.33333333333333
19,Kansas,SweetSixteen,15,100.0,62.58,33.17,15.23,6.94,3.08,0.98,101.0408163265306
20,Iowa,west,9,100.0,52.26,19.36,9.87,5.38,1.93,0.79,125.58227848101265
21,Wisconsin,east,5,100.0,57.7,30.86,11.62,5.65,1.99,0.73,135.986301369863
22,Ohio St.,west,8,100.0,47.74,15.34,7.4,3.76,1.57,0.67,148.25373134328356
23,Saint Mary's,midwest,7,100.0,51.18,24.77,11.4,5.39,2.37,0.64,155.25
24,St. John's,west,6,100.0,56.41,27.17,13.27,5.16,1.77,0.63,157.73015873015873
25,North Carolina,midwest,6,100.0,54.2,27.71,12.16,5.32,1.63,0.62,160.29032258064515
