,Seed,east,midwest,south,west,seedings
0,1,Michigan,Houston,Arizona,Duke,0
15,16,UMBC,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,N.C. State,Iowa,Villanova,Auburn,2
8,9,Indiana,Texas,SMU,Texas A&M,3
4,5,Arkansas,Tennessee,Louisville,Texas Tech,4
11,12,Tulsa,Liberty,Yale,Belmont,5
3,4,Virginia,Alabama,Vanderbilt,Michigan St.,6
12,13,Stephen F. Austin,Hawaii,UNC Wilmington,High Point,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,Saint Mary's,Missouri,TCU,Virginia Tech,9
2,3,Iowa St.,Florida,Kansas,Gonzaga,10
13,14,Portland St.,Austin Peay,Cal Baptist,Troy,11
6,7,Clemson,Wisconsin,Utah St.,Saint Louis,12
9,10,Miami FL,Georgia,UCF,UCLA,13
1,2,Purdue,Connecticut,Illinois,Nebraska,14
14,15,Wright St.,Navy,North Dakota St.,East Tennessee St.,15
