,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,84.25,69.0,54.21,41.31,28.44,18.13,4.515719801434088
1,Houston,FinalFour,8,100.0,77.29,52.79,39.43,27.27,16.94,10.53,8.49667616334283
2,Arizona,FinalFour,9,100.0,81.15,57.03,39.17,25.74,15.25,9.77,9.235414534288639
3,Duke,FinalFour,1,100.0,80.44,52.75,34.74,23.61,11.94,6.45,14.503875968992247
4,Florida,SweetSixteen,3,100.0,77.02,48.94,28.78,18.05,10.87,6.21,15.103059581320451
5,Illinois,EliteEight,13,100.0,73.63,47.29,31.83,17.51,10.41,5.99,15.69449081803005
6,Connecticut,EliteEight,12,100.0,77.62,49.5,30.04,16.01,9.08,4.62,20.645021645021643
7,Purdue,EliteEight,9,100.0,66.02,47.57,28.14,15.19,8.48,4.35,21.98850574712644
8,Iowa St.,SweetSixteen,4,100.0,67.89,40.32,24.65,10.89,6.43,3.31,29.211480362537763
9,Texas Tech,west,5,100.0,77.1,46.78,25.66,15.44,6.35,2.71,35.90036900369004
10,Vanderbilt,SweetSixteen,15,100.0,66.51,40.53,19.43,12.13,5.48,2.6,37.46153846153846
11,Kansas,SweetSixteen,2,100.0,73.77,46.8,26.41,11.97,5.1,2.4,40.666666666666664
12,Louisville,south,5,100.0,68.3,39.74,21.1,11.77,5.28,2.37,41.19409282700421
13,Gonzaga,SweetSixteen,8,100.0,69.89,40.39,22.8,11.05,4.79,2.19,44.662100456621005
14,Nebraska,EliteEight,16,100.0,67.91,40.74,22.23,10.38,4.66,1.84,53.347826086956516
15,Alabama,SweetSixteen,14,100.0,65.94,40.16,16.81,8.6,3.56,1.65,59.60606060606061
16,Tennessee,midwest,5,100.0,64.73,35.57,15.9,6.34,3.27,1.34,73.62686567164178
17,Iowa,midwest,8,100.0,63.35,30.47,17.0,8.22,3.22,1.24,79.64516129032259
18,Virginia,SweetSixteen,13,100.0,58.88,33.53,13.34,6.81,3.1,1.1,89.9090909090909
19,Arkansas,east,5,100.0,62.91,34.58,10.93,4.54,2.37,0.99,100.01010101010101
20,Saint Louis,west,7,100.0,63.05,33.77,18.6,7.92,3.12,0.97,102.09278350515464
21,St. John's,west,6,100.0,53.51,27.72,14.6,6.15,2.63,0.94,105.38297872340426
22,Michigan St.,SweetSixteen,9,100.0,65.28,30.47,14.21,7.94,3.26,0.9,110.1111111111111
23,Clemson,east,7,100.0,57.57,27.05,14.93,4.48,2.19,0.79,125.58227848101265
