muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Tm_TeamID,Opp_TeamID,TeamID,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,Team_Opp,TeamID_Opp,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,TeamID_y,Team_Standardized_Tm,Tm_y,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Team_Standardized_Opp,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team,home_team,date,teams,commence_time,DraftKings,BetMGM spreads,FanDuel,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
Bowling GreenMiami OH2-20,2026-02-20,MAC at MAC,142 Bowling Green at 80 Miami OH,"Miami OH -9.9, 82-72 (81%)",50.50277153598759,1,H,Bowling Green,02/20/2026,105.01244555439872,105.83361622393542,0.4776206375477501,0.189115608045041,72.35378009300567,Miami OH,119.92136027534468,106.48851021507294,0.7967638419766995,0.8108843919549589,82.29306547008098,70.8250992421094,,0,,,,,,,,,,,,,,,,,0.629977235963292,0.92996376523404,739667,,,,142,80,,,,Bowling Green,Miami OH,-9.939285377075308,154.64684556308663,-0.3,-6.6,-1.5,-1.2,71.2,101.4,20260220,1.9000000000000057,107.0,105.1,68.2,9.599999999999994,118.1,108.5,70.2,,,,,,81,467,81,1.9210000000000065,106.396,104.475,68.1506,Miami OH,467,10.491,118.382,107.891,70.2157,Bowling Green,69.51783598606026,3.315120075382934,3.1562662929134158,105.26618476287676,102.10991846996335,81,Bowling Green,Bowling Green,71.46710560236312,14.415410167913473,10.026072751543708,116.22902116979965,106.20294841825594,Miami OH,74.8463944228133,84.6315045706146,159.4778989934279,-9.78511014780129,67.24213483146067,73.96909649721492,84.28687019572975,158.25596669294467,-10.317773698514827,67.20845624185392,74.79348610768724,83.97362654889076,158.767112656578,-9.18014044120352,69.77863097842034,-9.872641826362624,69.77863097842034,-2.13676123782119,69.77863097842034,Bowling Green,Miami OH,02/20/2026,Bowling Green vs Miami OH,2026-02-20 19:30:00-06:00,-7.5,,-7.5,76.24747379730235,82.64557408521645,6.3981002879141045,-2.3726418263626243,-8.972641826362624,Miami OH,Miami OH,1
MaristManhattan2-20,2026-02-20,MAAC at MAAC,182 Marist at 329 Manhattan,"Marist -5.8, 73-67 (72%)",33.366356967633976,1,H,Marist,02/20/2026,99.09179564438548,103.01225520674974,0.3902610319092418,0.7227812103442967,73.12493803318192,Manhattan,106.54310169078305,120.38336043935408,0.1971006849885266,0.2772187896557033,67.27838866054661,67.02528522155018,,0,,,,,,,,,,,,,,,,,0.9645255454721964,0.9499206968621804,739667,,,,182,329,,,,Marist,Manhattan,5.846549372635309,140.40332669372853,-4.1,-14.6,-4.9,-0.7,71.2,101.4,20260220,-2.299999999999997,100.3,102.6,66.4,-15.599999999999994,105.9,121.5,68.2,,,,,,429,427,429,-1.2929999999999922,100.397,101.69,66.3501,Manhattan,427,-16.792999999999992,105.176,121.969,68.2518,Marist,67.7349803046011,-0.25432138553276423,-0.8805578306353483,99.07838586995844,99.95894370059376,429,Marist,Marist,69.52956688456223,-19.44907273757448,-15.840261630387014,104.04865245804478,119.88891408843179,Manhattan,74.31312870923755,70.07348810613034,144.3866168153679,4.239640603107205,63.602247191011244,74.67268565395474,68.97767470568506,143.65036035963982,5.695010948269683,63.60272128061798,75.33145632580687,69.75873755612147,145.09019388192834,5.572718769685395,66.14584049878184,11.02690773858663,66.14584049878184,-4.57835049596369,66.14584049878184,Marist,Manhattan,02/20/2026,Marist vs Manhattan,2026-02-20 18:00:00-06:00,,4.5,5.5,,14.681729321418258,,5.52690773858663,-9.07309226141337,Manhattan,Marist,0
CanisiusRider2-20,2026-02-20,MAAC at MAAC,347 Canisius at 357 Rider,"Rider -1.3, 65-64 (56%)",23.883768108410354,1,H,Canisius,02/20/2026,94.342562629512,116.40238121992004,0.0819316607554095,0.4409763411545936,63.81091407302808,Rider,99.2848386280492,119.99946583926976,0.1016352477431744,0.5590236588454064,65.14075428417271,61.62902605070351,,0,,,,,,,,,,,,,,,,,0.983332631279768,0.992702809429178,739667,,,,347,357,,,,Canisius,Rider,-1.329840211144635,128.9516683572008,-0.6,3.0,-7.8,-7.2,71.2,101.4,20260220,-19.900000000000006,95.3,115.2,64.2,-23.5,97.2,120.7,65.0,,,,,,123,682,123,-19.323800000000006,95.5852,114.909,64.04,Rider,682,-23.5693,98.0107,121.58,65.0205,Canisius,65.61041356209797,-21.310523216769006,-19.05193404378604,94.27884408413938,113.33077812792538,123,Canisius,Canisius,66.5387948448446,-25.461017990969715,-21.56472276097807,96.0645177866449,117.62924054762301,Rider,64.63748302042568,66.54648028044944,131.18396330087512,-1.9089972600237672,58.609550561797754,65.16138424365155,66.78626027254923,131.9476445162008,-1.624876028897674,58.48192162921348,65.19482582342127,67.68875792624283,132.8835837496641,-2.49393210282156,61.315138310306835,1.2295502312140343,61.315138310306835,-1.9559529120987804,61.315138310306835,Canisius,Rider,02/20/2026,Canisius vs Rider,2026-02-20 18:00:00-06:00,,-1.5,-1.5,,45.339039614362285,,2.7295502312140343,5.729550231214034,Rider,Canisius,0
VCUSaint Louis2-20,2026-02-20,A10 at A10,52 VCU at 22 Saint Louis,"Saint Louis -11.1, 90-79 (82%)",68.5170533638689,1,H,VCU,02/20/2026,118.23852647705544,106.95115746412476,0.7602070478500783,0.1793755497501427,78.7412444259866,Saint Louis,124.10572168493164,98.35440870500054,0.935498972879606,0.8206244502498573,89.87248017572013,74.03323957473684,VCU,0,,,,,,,,,,,,,,,,,0.3151631789589816,0.79294027082257,739667,,,,52,22,,,,VCU,Saint Louis,-11.131235749733534,168.61372460170674,3.9,12.7,0.5,-3.5,71.2,101.4,20260220,17.099999999999994,121.0,103.9,69.3,22.5,121.1,98.6,71.9,,,,,,940,708,940,14.217000000000013,119.796,105.579,69.4936,Saint Louis,708,22.863100000000003,122.513,99.6499,71.9779,VCU,70.7684772598054,13.608198437241244,13.440152859033207,117.47768906100075,104.03753620196755,940,VCU,VCU,73.17297105850756,26.31977820579696,22.04605947034686,120.21336589253092,98.1673064221841,Saint Louis,80.04980742901844,89.28526193693848,169.33506936595694,-9.23545450792004,69.9813202247191,80.40796065620455,92.14285448467602,172.55081514088056,-11.73489382847147,70.25285662134831,80.41715245227519,92.23405817710487,172.65121062938005,-11.816905724829681,72.72949070767402,-11.688044763258233,72.72949070767402,0.903300274589327,72.72949070767402,VCU,Saint Louis,02/20/2026,VCU vs Saint Louis,2026-02-20 18:00:00-06:00,-7.5,-7.5,-7.5,76.24747379730235,86.71773754187181,10.470263744569465,-4.188044763258233,8.511955236741766,Saint Louis,Saint Louis,1
Saint Peter'sIona2-20,2026-02-20,MAAC at MAAC,231 Saint Peter's at 252 Iona,"Iona -2.3, 73-70 (59%)",46.49807405072807,1,H,Saint Peter's,02/20/2026,103.62654521157872,111.37102541637324,0.3038888686758338,0.4087529238171687,70.42412612205815,Iona,105.61634362995662,109.9239914029908,0.3870512702571546,0.5912470761828312,72.72124481268388,67.59822275527628,,0,,,,,,,,,,,,,,,,,0.9135706163292148,0.9652900696700556,739667,,,,231,252,,,,Saint Peter's,Iona,-2.297118690625723,143.14537093474203,-3.5,11.7,-3.9,-0.4,71.2,101.4,20260220,-6.400000000000006,104.6,111.0,66.0,-7.700000000000003,104.8,112.5,68.8,,,,,,715,333,715,-4.950999999999993,104.991,109.942,65.9205,Iona,333,-7.111000000000004,104.261,111.372,69.2838,Saint Peter's,67.32088580252038,-5.770233387397632,-5.734274694457708,102.89037473112742,108.62464942558512,715,Saint Peter's,Saint Peter's,70.46977990836074,-7.14704112834857,-5.669060759854986,103.49419704917308,109.16325780902805,Iona,71.95358914154642,75.22714788674156,147.18073702828798,-3.273558745195146,63.775280898876396,71.91445016732803,74.55824430147639,146.47269446880443,-2.643794134148365,64.14638676825842,71.75296553759514,75.95477568633578,147.70774122393092,-4.201810148740634,66.63044951881317,-0.8277836666654466,66.63044951881317,-4.157606789074897,66.63044951881317,Saint Peter's,Iona,02/20/2026,Saint Peter's vs Iona,2026-02-20 18:00:00-06:00,,-1.5,-1.5,,53.14186799908086,,0.6722163333345534,12.372216333334553,Iona,Saint Peter's,0
AkronBall St.2-20,2026-02-20,MAC at MAC,69 Akron at 314 Ball St.,"Akron -12.9, 79-66 (89%)",33.189750253870564,1,H,Akron,02/20/2026,117.64728972422844,108.5640902617666,0.7158624195105513,0.886728835719265,79.00242349343061,Ball St.,99.81170139514715,110.15299041472636,0.2434742911048008,0.113271164280735,66.05867397228401,66.65604106885922,,0,,,,,,,,,,,,,,,,,0.9540005145760182,0.82814343108088,739667,,,,69,314,,,,Akron,Ball St.,12.9437495211466,145.06109746571462,-5.0,-0.6,-3.5,1.5,71.2,101.4,20260220,12.100000000000009,120.7,108.6,70.6,-15.399999999999991,97.7,113.1,63.7,,,,,,4,54,4,12.025999999999996,119.197,107.171,70.7344,Ball St.,54,-13.0732,98.5308,111.604,63.6687,Akron,71.92429905968085,12.989861604135603,11.867683675656865,118.65839550312246,106.79071182746559,4,Akron,Akron,65.22250844478873,-14.565423309444919,-12.535682987319735,97.05874597538185,109.59442896270158,Ball St.,82.67037157902189,67.95579283516516,150.62616441418703,14.714578743856734,63.16320224719101,80.67474905438506,67.72732298451506,148.40207203890012,12.947426069870005,63.252349624719095,82.14780560419223,69.24672754393478,151.394533148127,12.901078060257447,65.88600003940371,16.324800072117085,65.88600003940371,-5.120659923062448,65.88600003940371,Akron,Ball St.,02/20/2026,Akron vs Ball St.,2026-02-20 17:30:00-06:00,14.5,14.5,14.5,8.364680132758417,6.0003660805944765,-2.364314052163941,1.8248000721170854,1.2248000721170853,Akron,Akron,1
SienaMerrimack2-20,2026-02-20,MAAC at MAAC,197 Siena at 148 Merrimack,"Merrimack -5.7, 68-63 (73%)",40.10007248430208,1,H,Siena,02/20/2026,106.66638023969809,112.04600879172392,0.3621970647248389,0.2677604286936171,62.508488601032894,Merrimack,108.2696059592257,104.2037850043885,0.6083005312667461,0.7322395713063828,68.22301271725702,61.490109568680936,,0,,,,,,,,,,,,,,,,,0.8112472116442184,0.955314711297185,739667,,,,197,148,,,,Siena,Merrimack,-5.714524116224126,130.73150131828993,-16.6,-11.5,-0.6,16.0,71.2,101.4,20260220,-2.200000000000003,108.2,110.4,64.8,0.20000000000000284,107.0,106.8,63.9,,,,,,741,458,741,-2.537000000000006,108.071,110.608,64.8974,Merrimack,458,1.304000000000002,106.88,105.576,64.0169,Siena,66.32603602879789,-3.320614603510032,-1.9610916094774162,105.94122732401578,107.90231893349319,741,Siena,Siena,65.52415218714852,2.2426221119679615,-0.5802687692044065,104.51607321546341,105.09634198466782,Merrimack,64.43328280550058,69.66051429357303,134.0937970990736,-5.227231488072448,58.15617977528089,63.83108000852867,69.94600001873911,133.7770800272678,-6.11492001021044,58.35014559073035,65.15892851831381,69.80029801470322,134.95922653301704,-4.641369496389402,61.03872582473663,-5.095601228495795,61.03872582473663,-11.973112302877027,61.03872582473663,Siena,Merrimack,02/20/2026,Siena vs Merrimack,2026-02-20 19:00:00-06:00,,-3.5,-3.5,,68.62665750553528,,-1.595601228495795,-13.095601228495795,Merrimack,Merrimack,1
MilwaukeeDetroit Mercy2-20,2026-02-20,Horz at Horz,271 Milwaukee at 213 Detroit Mercy,"Detroit Mercy -7.8, 82-74 (76%)",35.83493116855061,1,H,Milwaukee,02/20/2026,104.3881728852182,116.44487828361316,0.2214961456943094,0.2395116325091973,73.96970012059661,Detroit,110.14545178917528,111.12297010243272,0.4746193523474771,0.7604883674908027,81.78726417024147,69.72299615427451,,0,,,,,,,,,,,,,,,,,0.8807885484756146,0.97710161633933,739667,,,,271,213,,,,Milwaukee,Detroit Mercy,-7.817564049644858,155.75696429083808,-13.0,-10.8,-7.4,5.6,71.2,101.4,20260220,-8.900000000000006,106.3,115.2,67.7,-6.599999999999994,107.5,114.1,69.1,,,,,,479,194,479,-9.187999999999988,105.763,114.951,67.9533,Detroit Mercy,194,-3.855000000000004,108.732,112.587,69.3238,Milwaukee,69.29588734027469,-10.308472977515706,-8.113682919642587,104.52161041348619,112.63529333312876,479,Milwaukee,Milwaukee,70.58864726740025,-1.1676409199911473,-4.217216106165511,106.7019906277166,110.9192067338821,Detroit,76.40495182883699,82.50601677573033,158.9109686045673,-6.101064946893345,65.70323033707865,75.53544676995443,83.85346326585373,159.38891003580818,-8.3180164958993,66.16265419297753,76.36441837647133,83.7234849023912,160.08790327886254,-7.3590665259198715,68.70088410876623,-8.093078509537534,68.70088410876623,-10.837427066389665,68.70088410876623,Milwaukee,Detroit,02/20/2026,Milwaukee vs Detroit Mercy,2026-02-20 18:00:00-06:00,-2.5,-2.5,-2.5,59.409638599828355,77.95781806786796,18.548179468039606,-5.593078509537534,-16.393078509537535,Detroit Mercy,Detroit Mercy,1
PrincetonBrown2-20,2026-02-20,Ivy at Ivy,253 Princeton at 279 Brown,"Brown -1.6, 64-62 (57%)",41.11009992145293,1,H,Princeton,02/20/2026,103.99127979031488,114.08720171037804,0.2562513368742388,0.4273682843822927,62.33733899935906,Brown,97.87847512488416,104.68329024828282,0.3158417904839218,0.5726317156177072,63.943748982194464,62.611094053069806,,0,,,,,,,,,,,,,,,,,0.9353091052149602,0.9724039856810456,739667,,,,253,279,,,,Princeton,Brown,-1.6064099828354017,126.28108798155353,-0.2,-11.6,-4.9,-4.7,71.2,101.4,20260220,-7.400000000000006,105.3,112.7,63.2,-9.700000000000003,97.5,107.2,66.2,,,,,,655,88,655,-7.2620000000000005,105.361,112.623,63.674,Brown,88,-9.439599999999999,96.6224,106.062,66.4364,Princeton,65.19025722087122,-8.067809341961462,-7.182670143695923,102.77544119232505,109.95811133602098,655,Princeton,Princeton,67.82252510827209,-9.60735900006494,-8.878713531274043,95.44170057559818,104.32041410687224,Brown,63.59663038345514,65.47289746955056,129.0695278530057,-1.8762670860954174,58.76179775280899,63.65665324661524,65.55881547663131,129.21546872324654,-1.9021622300160672,59.413923224719106,63.833871207825034,66.08152420820224,129.91539541602728,-2.2476530003772055,62.09786316260188,-0.6290501026323838,62.09786316260188,-1.7794763667875202,62.09786316260188,Princeton,Brown,02/20/2026,Princeton vs Brown,2026-02-20 18:00:00-06:00,-1.5,-1.5,-1.5,55.67984968164682,52.388615658324625,-3.291234023322197,0.8709498973676162,-10.729050102632383,Brown,Princeton,0
NiagaraMount St. Mary's2-20,2026-02-20,MAAC at MAAC,338 Niagara at 298 Mount St. Mary's,"Mount St. Mary's -7.0, 68-61 (78%)",19.124903984423185,1,H,Niagara,02/20/2026,98.47538247593704,118.79169317362825,0.1036792600472916,0.222830927557824,61.274467820952864,Mount St. Mary's,101.0148429090994,109.31158564798277,0.2874601475775112,0.777169072442176,68.30569945861937,62.23905614182536,,0,,,,,,,,,,,,,,,,,0.94300244217922,0.990562219063456,739667,,,,338,298,,,,Niagara,Mount St. Mary's,-7.031231637666508,129.58016727957224,8.9,0.3,8.4,-0.5,71.2,101.4,20260220,-18.400000000000006,99.5,117.9,61.6,-11.599999999999994,100.0,111.6,67.7,,,,,,548,513,548,-17.49459999999999,99.7724,117.267,61.802,Mount St. Mary's,513,-11.032499999999999,99.7185,110.751,68.0421,Niagara,63.40824928960531,-20.06655968037174,-17.912592220791783,97.67301648119795,115.58560870198967,548,Niagara,Niagara,69.34423877057769,-13.46573084630035,-11.002954998623023,98.44520426827015,109.44815926689314,Mount St. Mary's,62.35805165820011,70.02306997078652,132.38112162898665,-7.665018312586412,58.571910112359554,62.57115840099731,70.03090712797116,132.60206552896847,-7.459748726973849,59.060925058988765,63.295828813711324,71.25452309632065,134.55035191003196,-7.958694282609329,61.75557273543123,-5.515622875433586,61.75557273543123,3.6987882734159356,61.75557273543123,Niagara,Mount St. Mary's,02/20/2026,Niagara vs Mount St. Mary's,2026-02-20 18:00:00-06:00,,-7.5,-6.5,,70.03117735295655,,0.9843771245664144,1.2843771245664144,Mount St. Mary's,Niagara,0
