Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,,
Clemson Tigers,Clemson,2466,Clemson 5,Clemson 5,Clemson,Clemson,Clemson,Clemson,,1
Cleveland St Vikings,Cleveland St.,,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland State,Cleveland State,,1
Coastal Carolina Chanticleers,Coastal Carolina,,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,,1
Colgate Raiders,Colgate,,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate,,1
Colorado Buffaloes,Colorado,,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,,1
Colorado St Rams,Colorado St.,,Colorado St.,Colorado St.,Colorado St.,Colorado St.,Colorado State,Colorado State,,1
Columbia Lions,Columbia,,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,,1
Connecticut Huskies,Connecticut,,Connecticut,Connecticut,Connecticut,Connecticut,UConn,Connecticut,,0
Coppin St Eagles,Coppin St.,,Coppin St.,Coppin St.,Coppin St.,Coppin St.,Coppin State,Coppin State,,1
Cornell Big Red,Cornell,,Cornell,Cornell,Cornell,Cornell,Cornell,Cornell,,1
Creighton Bluejays,Creighton,2495,Creighton 8,Creighton 8,Creighton,Creighton,Creighton,Creighton,,1
CSU Northridge Matadors,Cal St. Northridge,,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal State Northridge,Cal State Northridge,,1
Dartmouth Big Green,Dartmouth,,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,,1
Davidson Wildcats,Davidson,,Davidson 12,Davidson 12,Davidson,Davidson,Davidson,Davidson,,1
Dayton Flyers,Dayton,,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,,1
delaware-blue-hens,Delaware,,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,,1
Delaware State Hornets,Delaware St.,,Delaware St.,Delaware St.,Delaware St.,Delaware St.,Delaware State,Delaware State,,1
Denver Pioneers,Denver,,Denver,Denver,Denver,Denver,Denver,Denver,,1
DePaul Blue Demons,DePaul,2182,DePaul,DePaul,DePaul,DePaul,DePaul,DePaul,,1
Detroit Mercy Titans,Detroit,,Detroit Mercy,Detroit,Detroit,Detroit,Detroit,Detroit Mercy,,0
Drake Bulldogs,Drake,,Drake,Drake,Drake,Drake,Drake,Drake,,1
Drexel Dragons,Drexel,,Drexel,Drexel,Drexel,Drexel,Drexel,Drexel,,1
Duke Blue Devils,Duke,2518,Duke 2,Duke 2,Duke,Duke,Duke,Duke,,1
Duquesne Dukes,Duquesne,,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,,1
East Carolina Pirates,East Carolina,2211,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,,1
East Tennessee St Buccaneers,East Tennessee St.,,East Tennessee St.,East Tennessee St.,East Tennessee St.,East Tennessee St.,ETSU,East Tennessee State,,0
Eastern Illinois Panthers,Eastern Illinois,,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,,1
Eastern Kentucky Colonels,Eastern Kentucky,,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,,1
Eastern Michigan Eagles,Eastern Michigan,,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,,1
Eastern Washington Eagles,Eastern Washington,,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,,1
Elon University Phoenix,Elon,,Elon,Elon,Elon,Elon,Elon,Elon,,1
Evansville Purple Aces,Evansville,,Evansville,Evansville,Evansville,Evansville,Evansville,Evansville,,1
Fairfield Stags,Fairfield,,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,,1
