,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,85.48,69.49,56.38,44.79,32.31,19.85,4.037783375314861
1,Illinois,EliteEight,13,100.0,80.31,58.38,43.88,30.71,20.65,12.83,6.79423226812159
2,Houston,EliteEight,12,100.0,77.1,57.04,38.37,26.18,15.86,9.15,9.92896174863388
3,Duke,FinalFour,1,100.0,76.62,53.99,38.01,26.57,13.82,7.89,11.67427122940431
4,Arizona,FinalFour,9,100.0,75.9,49.63,36.24,22.0,12.07,7.03,13.22475106685633
5,Florida,SweetSixteen,3,100.0,72.84,50.45,29.18,18.44,9.91,5.58,16.921146953405017
6,Purdue,SweetSixteen,4,100.0,81.79,52.87,35.48,17.1,10.54,5.07,18.723865877712033
7,Iowa St.,FinalFour,8,100.0,82.24,54.11,32.98,17.78,9.08,4.49,21.271714922048996
8,Connecticut,EliteEight,9,100.0,64.58,42.89,21.05,8.92,5.35,2.63,37.02281368821293
9,Texas Tech,SweetSixteen,9,100.0,71.52,39.47,20.01,11.95,4.91,2.22,44.04504504504504
10,Nebraska,SweetSixteen,8,100.0,67.26,42.54,25.29,12.16,4.84,2.14,45.72897196261682
11,Vanderbilt,midwest,5,100.0,68.05,43.65,24.35,10.12,5.09,1.94,50.54639175257732
12,Kansas,SweetSixteen,2,100.0,73.09,44.6,19.68,8.7,4.13,1.93,50.81347150259067
13,Gonzaga,EliteEight,16,100.0,71.8,44.27,26.89,11.3,4.03,1.53,64.359477124183
14,Virginia,SweetSixteen,15,100.0,61.03,32.32,16.95,7.66,3.76,1.5,65.66666666666667
15,Tennessee,west,5,100.0,58.14,34.27,15.32,8.86,3.87,1.45,67.96551724137932
16,Louisville,south,5,100.0,65.38,37.35,16.14,8.02,3.61,1.39,70.94244604316548
17,Alabama,SweetSixteen,13,100.0,64.19,37.12,12.09,6.63,3.22,1.33,74.18796992481202
18,Michigan St.,SweetSixteen,14,100.0,63.05,32.19,19.23,8.57,3.35,1.22,80.9672131147541
19,Arkansas,east,5,100.0,69.08,38.38,14.68,7.02,2.98,1.16,85.20689655172414
20,St. John's,west,6,100.0,64.59,37.13,16.76,7.4,2.21,0.87,113.94252873563218
21,Saint Louis,west,8,100.0,46.68,19.57,11.0,5.7,2.05,0.62,160.29032258064515
22,N.C. State,east,7,100.0,53.36,24.61,12.1,3.72,1.78,0.58,171.41379310344828
