,away_team,home_team,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME
0,LIU Sharks,Air Force Falcons,2024-11-11 15:00:00-06:00,-11.5,-11.5,-10.5,LIU Brooklyn,Air Force
1,Youngstown St Penguins,Ohio State Buckeyes,2024-11-11 17:00:00-06:00,-18.0,,-18.5,Youngstown St.,Ohio St.
2,Stetson Hatters,The Citadel Bulldogs,2024-11-11 17:00:00-06:00,1.0,1.5,1.5,Stetson,The Citadel
3,McNeese Cowboys,Alabama Crimson Tide,2024-11-11 18:00:00-06:00,-20.0,-20.5,-20.5,McNeese St.,Alabama
4,Buffalo Bulls,Notre Dame Fighting Irish,2024-11-11 18:00:00-06:00,-22.5,-22.5,-22.5,Buffalo,Notre Dame
5,Western Michigan Broncos,Butler Bulldogs,2024-11-11 18:00:00-06:00,-16.5,-16.5,-16.5,Western Michigan,Butler
6,Coppin St Eagles,Virginia Cavaliers,2024-11-11 18:00:00-06:00,-27.0,-27.5,-27.5,Coppin St.,Virginia
7,Eastern Washington Eagles,Missouri Tigers,2024-11-11 18:00:00-06:00,-18.5,-18.5,-19.5,Eastern Washington,Missouri
8,Florida A&M Rattlers,Maryland Terrapins,2024-11-11 18:00:00-06:00,-33.5,,-33.5,Florida A&M,Maryland
9,Grambling St Tigers,Florida Gators,2024-11-11 18:00:00-06:00,-23.5,-23.5,-23.5,Grambling St.,Florida
10,Jacksonville Dolphins,Furman Paladins,2024-11-11 18:00:00-06:00,-8.5,-8.5,-7.5,Jacksonville,Furman
11,Gardner-Webb Bulldogs,Pittsburgh Panthers,2024-11-11 18:00:00-06:00,-18.5,-18.5,-18.5,Gardner Webb,Pittsburgh
12,Stony Brook Seawolves,George Mason Patriots,2024-11-11 18:00:00-06:00,-15.0,-15.5,-14.5,Stony Brook,George Mason
13,Southern Indiana Screaming Eagles,Marshall Thundering Herd,2024-11-11 18:00:00-06:00,-9.0,-9.5,-9.5,Southern Indiana,Marshall
14,Tenn-Martin Skyhawks,North Alabama Lions,2024-11-11 18:00:00-06:00,-10.0,-10.5,-9.5,Tennessee Martin,North Alabama
15,Saint Peter's Peacocks,Rutgers Scarlet Knights,2024-11-11 18:00:00-06:00,-16.0,-15.5,-15.5,Saint Peter's,Rutgers
16,Winthrop Eagles,Virginia Tech Hokies,2024-11-11 18:00:00-06:00,-9.0,-9.5,-8.5,Winthrop,Virginia Tech
17,Alcorn St Braves,Tulane Green Wave,2024-11-11 18:30:00-06:00,-18.0,-18.5,-17.5,Alcorn St.,Tulane
18,Chattanooga Mocs,Austin Peay Governors,2024-11-11 19:00:00-06:00,2.0,2.5,2.5,Chattanooga,Austin Peay
19,UMKC Kangaroos,Iowa State Cyclones,2024-11-11 19:00:00-06:00,-28.0,-27.5,-27.5,UMKC,Iowa St.
20,Lamar Cardinals,Texas A&M Aggies,2024-11-11 19:00:00-06:00,-23.0,-23.5,-23.5,Lamar,Texas A&M
21,Northwestern St Demons,Oklahoma Sooners,2024-11-11 19:00:00-06:00,-25.5,-25.5,-25.5,Northwestern St.,Oklahoma
22,Yale Bulldogs,Purdue Boilermakers,2024-11-11 19:00:00-06:00,-16.0,-15.5,-16.5,Yale,Purdue
23,UNC Greensboro Spartans,SMU Mustangs,2024-11-11 19:00:00-06:00,-13.5,-13.5,-13.5,UNC Greensboro,SMU
24,Central Michigan Chippewas,Marquette Golden Eagles,2024-11-11 20:00:00-06:00,-27.5,-27.5,-27.5,Central Michigan,Marquette
25,Mercer Bears,DePaul Blue Demons,2024-11-11 20:00:00-06:00,-8.0,-8.5,-7.5,Mercer,DePaul
26,North Dakota St Bison,CSU Bakersfield Roadrunners,2024-11-11 20:30:00-06:00,-1.0,-1.5,-1.5,North Dakota St.,Cal St. Bakersfield
27,Idaho Vandals,Washington St Cougars,2024-11-11 20:30:00-06:00,-15.0,-15.5,-15.5,Idaho,Washington St.
28,Boston Univ. Terriers,UCLA Bruins,2024-11-11 21:00:00-06:00,-24.0,-23.5,-23.5,Boston University,UCLA
29,Pacific Tigers,Hawai'i Rainbow Warriors,2024-11-11 23:00:00-06:00,-4.0,-4.5,-4.5,Pacific,Hawaii
30,Kansas Jayhawks,Michigan St Spartans,2024-11-12 17:30:32-06:00,5.5,,6.5,Kansas,Michigan St.
31,Kentucky Wildcats,Duke Blue Devils,2024-11-12 20:00:12-06:00,-6.0,,-6.5,Kentucky,Duke
