,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,92.4,74.09,57.48,42.22,31.42,21.24,3.708097928436912
1,Illinois,EliteEight,13,100.0,76.51,51.81,37.09,22.65,14.28,8.45,10.834319526627219
2,Duke,FinalFour,1,100.0,78.21,55.72,38.24,25.63,13.69,7.96,11.56281407035176
3,Houston,EliteEight,12,100.0,77.09,53.43,34.77,21.13,13.07,7.65,12.0718954248366
4,Purdue,SweetSixteen,4,100.0,74.09,53.47,35.24,19.04,11.8,6.4,14.624999999999998
5,Arizona,FinalFour,9,100.0,76.31,50.13,33.3,20.73,11.47,5.79,16.271157167530223
6,Iowa St.,FinalFour,8,100.0,73.71,47.4,30.32,19.63,10.15,4.87,19.533880903490758
7,Florida,SweetSixteen,3,100.0,72.04,47.54,27.58,15.38,8.69,4.83,19.70393374741201
8,Connecticut,EliteEight,9,100.0,73.04,44.38,26.08,10.2,5.89,2.77,35.101083032490976
9,Louisville,south,5,100.0,68.72,39.95,21.78,11.9,6.59,2.76,35.231884057971016
10,Gonzaga,EliteEight,16,100.0,69.16,44.41,27.73,14.31,5.7,2.75,35.36363636363637
11,Vanderbilt,midwest,5,100.0,61.19,37.85,21.8,10.67,5.43,2.53,38.52569169960474
12,Kansas,SweetSixteen,2,100.0,73.27,47.62,22.54,11.94,5.34,2.37,41.19409282700421
13,Tennessee,west,5,100.0,60.94,33.51,18.5,11.35,4.62,1.95,50.282051282051285
14,Michigan St.,SweetSixteen,14,100.0,59.83,37.35,19.4,9.89,4.75,1.84,53.347826086956516
15,Alabama,SweetSixteen,13,100.0,66.52,37.31,14.63,7.39,4.0,1.81,54.248618784530386
16,Nebraska,SweetSixteen,8,100.0,64.82,38.97,22.11,10.98,3.76,1.58,62.291139240506325
17,Virginia,SweetSixteen,15,100.0,53.88,31.88,15.81,6.61,3.07,1.35,73.07407407407408
18,Arkansas,east,5,100.0,54.88,32.57,12.63,6.4,3.21,1.3,75.92307692307692
19,Texas Tech,SweetSixteen,9,100.0,65.39,38.48,15.21,8.28,2.6,1.07,92.45794392523365
20,St. John's,west,6,100.0,62.35,34.43,17.3,8.27,2.39,0.86,115.27906976744187
21,Clemson,east,8,100.0,53.84,15.86,8.26,3.53,1.81,0.69,143.92753623188406
22,Indiana,south,10,100.0,53.34,23.52,13.29,5.33,1.87,0.66,150.5151515151515
23,Villanova,south,8,100.0,52.8,21.57,12.72,4.85,2.03,0.62,160.29032258064515
24,Utah St.,south,7,100.0,46.66,19.32,9.31,4.3,2.05,0.6,165.66666666666669
25,Iowa,midwest,7,100.0,54.04,21.8,11.19,3.81,1.77,0.56,177.57142857142856
26,North Carolina,midwest,6,100.0,52.84,22.88,9.22,4.33,1.53,0.45,221.2222222222222
27,N.C. State,east,7,100.0,61.34,30.93,13.94,4.0,1.53,0.44,226.27272727272728
28,Saint Mary's,midwest,10,100.0,45.96,17.4,6.54,2.95,1.2,0.41,242.90243902439028
29,Wisconsin,west,7,100.0,46.28,22.99,11.09,4.46,1.35,0.38,262.15789473684214
30,Saint Louis,west,8,100.0,42.9,16.31,8.57,3.92,1.4,0.37,269.27027027027026
31,SMU,south,9,100.0,47.2,21.93,8.65,3.5,1.24,0.35,284.7142857142857
32,BYU,south,6,100.0,50.4,21.08,8.81,3.56,1.3,0.33,302.030303030303
33,UCLA,midwest,11,100.0,47.16,19.47,7.64,2.9,0.87,0.31,321.5806451612903
34,Georgia,midwest,9,100.0,53.39,25.67,10.76,3.74,1.2,0.27,369.3703703703704
35,Texas A&M,west,9,100.0,57.1,21.11,10.35,4.24,0.83,0.23,433.78260869565213
36,Missouri,west,10,100.0,53.72,22.6,8.7,3.38,0.81,0.2,498.99999999999994
37,Kentucky,east,6,100.0,48.25,20.66,7.6,2.03,0.7,0.14,713.2857142857142
38,Texas,midwest,8,100.0,46.61,19.72,7.95,2.4,0.6,0.13,768.2307692307693
39,Ohio St.,east,11,100.0,51.75,17.81,7.66,1.82,0.54,0.12,832.3333333333334
40,TCU,south,11,100.0,49.6,22.08,5.6,1.94,0.45,0.11,908.0909090909091
41,Virginia Tech,west,11,100.0,37.65,20.38,8.47,2.23,0.37,0.07,1427.5714285714284
42,Utah Valley,west,13,100.0,34.61,13.42,3.37,0.85,0.38,0.06,1665.6666666666667
43,Portland St.,south,15,100.0,23.49,5.35,1.53,0.54,0.15,0.06,1665.6666666666667
44,Miami FL,east,9,100.0,46.16,7.65,2.2,0.36,0.13,0.06,1665.6666666666667
45,High Point,midwest,13,100.0,40.17,13.72,5.47,1.56,0.3,0.04,2499.0
46,Southeast Missouri St.,midwest,16,100.0,26.29,7.21,1.7,0.44,0.13,0.04,2499.0
47,UNC Wilmington,east,13,100.0,33.48,10.02,0.83,0.14,0.04,0.03,3332.3333333333335
48,UCF,east,10,100.0,38.66,15.15,6.28,1.34,0.46,0.02,4999.0
49,Yale,south,13,100.0,46.12,17.01,4.65,0.93,0.15,0.02,4999.0
50,Stephen F. Austin,east,12,100.0,45.12,20.1,3.78,0.82,0.12,0.02,4999.0
51,Miami OH,south,12,100.0,31.28,11.16,2.49,0.45,0.07,0.02,4999.0
52,Wright St.,east,15,100.0,26.96,9.54,1.41,0.19,0.07,0.02,4999.0
53,Troy,west,14,100.0,35.18,6.22,1.57,0.61,0.12,0.01,9999.0
54,Liberty,midwest,12,100.0,38.81,11.08,2.6,0.82,0.1,0.01,9999.0
55,Austin Peay,south,14,100.0,26.73,9.22,1.83,0.69,0.07,0.01,9999.0
56,Bethune Cookman,west,16,100.0,21.79,6.86,1.61,0.07,0.03,0.01,9999.0
57,Belmont,west,12,100.0,39.06,14.59,4.15,1.15,0.16,0.0,0.0
58,North Dakota St.,east,14,100.0,25.91,8.06,1.79,0.46,0.06,0.0,0.0
59,UC Irvine,midwest,14,100.0,27.96,10.11,2.1,0.33,0.06,0.0,0.0
60,Merrimack,south,16,100.0,23.69,6.37,0.6,0.08,0.01,0.0,0.0
61,UMBC,east,16,100.0,7.6,2.4,0.19,0.06,0.01,0.0,0.0
62,Navy,midwest,15,100.0,22.91,7.37,0.96,0.02,0.01,0.0,0.0
63,East Tennessee St.,west,15,100.0,30.84,10.0,3.03,0.27,0.0,0.0,0.0
