Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Middle Tennessee St Blue Raiders,Middle Tennessee,,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee Blue Raiders,Middle Tennessee,174
Minnesota Golden Gophers,Minnesota,2412,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota,175
Mississippi Rebels,Mississippi,,Mississippi,Mississippi,Mississippi,Mississippi,Ole Miss,Mississippi,Ole Miss Rebels,Mississippi,176
Mississippi State Bulldogs,Mississippi St.,,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi State,Mississippi State,Mississippi St Bulldogs,Mississippi State,177
Mississippi Valley State Delta Devils,Mississippi Valley St.,,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley State,Mississippi Valley State,Miss Valley St Delta Devils,Mississippi Valley St.,178
Missouri Tigers,Missouri,,Missouri,Missouri 8,Missouri,Missouri,Missouri,Missouri,Missouri Tigers,Missouri,179
Missouri St Bears,Missouri St.,,Missouri St.,Missouri St.,Missouri St.,Missouri St.,Missouri State,Missouri State,Missouri St Bears,Missouri St.,180
Monmouth-NJ Hawks,Monmouth,,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth Hawks,Monmouth,181
Montana Grizzlies,Montana,,Montana,Montana 14,Montana,Montana,Montana,Montana,Montana Grizzlies,Montana,182
Montana St Bobcats,Montana St.,,Montana St.,Montana St.,Montana St.,Montana St.,Montana State,Montana State,Montana St Bobcats,Montana St.,183
Morehead St Eagles,Morehead St.,,Morehead St.,Morehead St.,Morehead St.,Morehead St.,Morehead State,Morehead State,Morehead St Eagles,Morehead State,184
Morgan St Bears,Morgan St.,,Morgan St.,Morgan St.,Morgan St.,Morgan St.,Morgan State,Morgan State,Morgan St Bears,Morgan St.,185
Mount St Marys Mountaineers,Mount St. Mary%27s,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mt. St. Mary's Mountaineers,Mount St. Mary's,186
Murray St Racers,Murray St.,,Murray St.,Murray St. 12,Murray St.,Murray St.,Murray State,Murray State,Murray St Racers,Murray St.,187
Navy Midshipmen,Navy,,Navy,Navy,Navy,Navy,Navy,Navy,Navy Midshipmen,Navy,188
NC State Wolfpack,North Carolina St.,,N.C. State,N.C. State,N.C. State,N.C. State,NC State,NC State,NC State Wolfpack,North Carolina St.,189
UNC Asheville Bulldogs,UNC Asheville,,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville Bulldogs,UNC Asheville,190
UNC Greensboro Spartans,UNC Greensboro,,UNC Greensboro,UNC Greensboro 13,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro Spartans,UNC Greensboro,191
UNC Wilmington Seahawks,UNC Wilmington,,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington Seahawks,NC-Wilmington,192
Nebraska Cornhuskers,Nebraska,,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska,193
Nebraska Omaha Mavericks,Nebraska Omaha,2546,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Omaha,Omaha,Omaha Mavericks,Nebraska Omaha,194
Nevada Wolf Pack,Nevada,,Nevada,Nevada 7,Nevada,Nevada,Nevada,Nevada,Nevada Wolf Pack,Nevada,195
New Hampshire Wildcats,New Hampshire,2286,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire Wildcats,New Hampshire,196
NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT Highlanders,NJIT,197
New Mexico Lobos,New Mexico,,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico Lobos,New Mexico,198
New Mexico St Aggies,New Mexico St.,,New Mexico St.,New Mexico St. 12,New Mexico St.,New Mexico St.,New Mexico State,New Mexico State,New Mexico St Aggies,New Mexico St.,199
New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans Privateers,New Orleans,200
Niagara Purple Eagles,Niagara,,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara Purple Eagles,Niagara,201
Nicholls State Colonels,Nicholls St.,,Nicholls,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls State,Nicholls State,Nicholls St Colonels,Nicholls St.,202
North Carolina AT Aggies,North Carolina A%26T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T Aggies,North Carolina A&T,203
Norfolk State Spartans,Norfolk St.,,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk State,Norfolk State,Norfolk St Spartans,Norfolk State,204
North Alabama Lions,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama Lions,North Alabama,205
North Carolina Tar Heels,North Carolina,2266,North Carolina,North Carolina 2,North Carolina,North Carolina,UNC,North Carolina,North Carolina Tar Heels,North Carolina,206
North Carolina Central Eagles,North Carolina Central,,North Carolina Central,North Carolina Central 16,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central Eagles,North Carolina Central,207
North Dakota Fighting Hawks,North Dakota,,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota Fighting Hawks,North Dakota,208
North Dakota State Bison,North Dakota St.,,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota State,North Dakota State,North Dakota St Bison,North Dakota St.,209
North Florida Ospreys,North Florida,,North Florida,North Florida,North Florida,North Florida,North Florida,North Florida,North Florida Ospreys,North Florida,210
North Texas Mean Green,North Texas,,North Texas,North Texas,North Texas,North Texas,North Texas,North Texas,North Texas Mean Green,North Texas,211
Northeastern Huskies,Northeastern,,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern Huskies,Northeastern,212
Northern Arizona Lumberjacks,Northern Arizona,,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona Lumberjacks,Northern Arizona,213
Northern Colorado Bears,Northern Colorado,,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,N Colorado Bears,Northern Colorado,214
Northern Illinois Huskies,Northern Illinois,,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois,215
Northern Iowa Panthers,Northern Iowa,,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa Panthers,Northern Iowa,216
Northern Kentucky Norse,Northern Kentucky,,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky Norse,Northern Kentucky,217
Northwestern Wildcats,Northwestern,,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern Wildcats,Northwestern,218
Northwestern St Demons,Northwestern St.,2216,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern State,Northwestern State,Northwestern St Demons,Northwestern St.,219
Notre Dame Fighting Irish,Notre Dame,2285,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame,220
Oakland Golden Grizzlies,Oakland,,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland Golden Grizzlies,Oakland,221
Ohio Bobcats,Ohio,,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio Bobcats,Ohio,222
Ohio St Buckeyes,Ohio St.,2500,Ohio St.,Ohio St. 5,Ohio St.,Ohio St.,Ohio State,Ohio State,Ohio State Buckeyes,Ohio State,223
Oklahoma Sooners,Oklahoma,2178,Oklahoma,Oklahoma 10,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma,224
Oklahoma State Cowboys,Oklahoma St.,2243,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma St Cowboys,Oklahoma State,225
Old Dominion Monarchs,Old Dominion,,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion,226
Oral Roberts Golden Eagles,Oral Roberts,,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts Golden Eagles,Oral Roberts,227
Oregon Ducks,Oregon,,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon Ducks,Oregon,228
Oregon St Beavers,Oregon St.,,Oregon St.,Oregon St.,Oregon St.,Oregon St.,Oregon State,Oregon State,Oregon St Beavers,Oregon St.,229
Pacific Tigers,Pacific,,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific Tigers,Pacific,230
Penn St Nittany Lions,Penn St.,2501,Penn St.,Penn St.,Penn St.,Penn St.,Penn State,Penn State,Penn State Nittany Lions,Penn St.,231
Pennsylvania Quakers,Penn,,Penn,Penn 16,Penn,Penn,Penn,Pennsylvania,Pennsylvania Quakers,Penn,232
Pepperdine Waves,Pepperdine,,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine Waves,Pepperdine,233
Pittsburgh Panthers,Pittsburgh,2279,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pitt,Pittsburgh,Pittsburgh Panthers,Pittsburgh,234
Portland Pilots,Portland,,Portland,Portland,Portland,Portland,Portland,Portland,Portland Pilots,Portland,235
Portland St Vikings,Portland St.,,Portland St.,Portland St.,Portland St.,Portland St.,Portland State,Portland State,Portland St Vikings,Portland State,236
Prairie View AM Panthers,Prairie View A%26M,,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View,Prairie View,Prairie View Panthers,Prairie View A&M,237
Presbyterian Blue Hose,Presbyterian,,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian Blue Hose,Presbyterian,238
Princeton Tigers,Princeton,,Princeton,Princeton,Princeton,Princeton,Princeton,Princeton,Princeton Tigers,Princeton,239
Providence Friars,Providence,2301,Providence,Providence 10,Providence,Providence,Providence,Providence,Providence Friars,Providence,240
Purdue Boilermakers,Purdue,2294,Purdue,Purdue 2,Purdue,Purdue,Purdue,Purdue,Purdue Boilermakers,Purdue,241
Queens university of charlotte royals,Queens,,Queens,Queens,Queens,Queens,Queens (NC),Queens (NC),Queens University Royals,Queens,242
Quinnipiac Bobcats,Quinnipiac,,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac Bobcats,Quinnipiac,243
Radford Highlanders,Radford,,Radford,Radford 16,Radford,Radford,Radford,Radford,Radford Highlanders,Radford,244
Rhode Island Rams,Rhode Island,,Rhode Island,Rhode Island 7,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island Rams,Rhode Island,245
Rice Owls,Rice,,Rice,Rice,Rice,Rice,Rice,Rice,Rice Owls,Rice,246
Richmond Spiders,Richmond,,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond Spiders,Richmond,247
Rider Broncs,Rider,,Rider,Rider,Rider,Rider,Rider,Rider,Rider Broncs,Rider,248
Robert Morris Colonials,Robert Morris,,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris Colonials,Robert Morris,249
Rutgers Scarlet Knights,Rutgers,2210,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers Scarlet Knights,Rutgers,250
Sacramento State Hornets,Sacramento St.,,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento State,Sacramento State,Sacramento St Hornets,Sacramento St.,251
Sacred Heart Pioneers,Sacred Heart,,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart Pioneers,Sacred Heart,252
Saint Louis Billikens,Saint Louis,,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis Billikens,Saint Louis,253
Sam Houston St Bearkats,Sam Houston St.,,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston State,Sam Houston State,Sam Houston St Bearkats,Sam Houston St.,254
Samford Bulldogs,Samford,,Samford,Samford,Samford,Samford,Samford,Samford,Samford Bulldogs,Samford,255
San Diego Toreros,San Diego,,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego Toreros,San Diego,256
San Diego St Aztecs,San Diego St.,,San Diego St.,San Diego St. 11,San Diego St.,San Diego St.,San Diego State,San Diego State,San Diego St Aztecs,San Diego State,257
San Francisco Dons,San Francisco,,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco Dons,San Francisco,258
San Jose St Spartans,San Jose St.,,San Jose St.,San Jose St.,San Jose St.,San Jose St.,San Jose State,San Jose State,San José St Spartans,San Jose St.,259
Santa Clara Broncos,Santa Clara,,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara Broncos,Santa Clara,260
SE Missouri St Redhawks,Southeast Missouri St.,,Southeast Missouri,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri State,Southeast Missouri State,SE Missouri St Redhawks,Southeast Missouri St.,261
Seattle Redhawks,Seattle,,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle Redhawks,Seattle,262
Seton Hall Pirates,Seton Hall,2300,Seton Hall,Seton Hall 8,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall Pirates,Seton Hall,263
Siena Saints,Siena,,Siena,Siena,Siena,Siena,Siena,Siena,Siena Saints,Siena,264
SIU Edwardsville Cougars,SIU Edwardsville,,SIUE,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,SIU-Edwardsville,SIU Edwardsville,SIU-Edwardsville Cougars,SIU Edwardsville,265
South Alabama Jaguars,South Alabama,,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama Jaguars,South Alabama,266
South Carolina Gamecocks,South Carolina,,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina,267
South Carolina State Bulldogs,South Carolina St.,,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina State,South Carolina State,South Carolina St Bulldogs,South Carolina St.,268
South Carolina Upstate Spartans,USC Upstate,,USC Upstate,USC Upstate,USC Upstate,USC Upstate,USC Upstate,South Carolina Upstate,South Carolina Upstate Spartans,USC Upstate,269
South Dakota Coyotes,South Dakota,,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota Coyotes,South Dakota,270
South Dakota State Jackrabbits,South Dakota St.,,South Dakota St.,South Dakota St. 12,South Dakota St.,South Dakota St.,South Dakota State,South Dakota State,South Dakota St Jackrabbits,South Dakota State,271
South Florida Bulls,South Florida,2510,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida Bulls,South Florida,272
Southeastern Louisiana Lions,Southeastern Louisiana,,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,SE Louisiana Lions,Southeastern Louisiana,273
Southern Jaguars,Southern,,Southern,Southern,Southern,Southern,Southern,Southern,Southern Jaguars,Southern,274
Southern California Trojans,USC,,USC,USC,USC,USC,USC,Southern California,USC Trojans,USC,275
Southern Illinois Salukis,Southern Illinois,,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois Salukis,Southern Illinois,276
Southern Indiana Screaming Eagles,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana Screaming Eagles,Southern Indiana,277
Southern Methodist Mustangs,SMU,2349,SMU,SMU,SMU,SMU,SMU,Southern Methodist,SMU Mustangs,SMU,278
Southern Miss Golden Eagles,Southern Miss,,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Mississippi,Southern Miss Golden Eagles,Southern Miss,279
Southern Utah Thunderbirds,Southern Utah,,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah Thunderbirds,Southern Utah,280
St Bonaventure Bonnies,St. Bonaventure,,St. Bonaventure,St. Bonaventure 11,St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure Bonnies,St. Bonaventure,281
St Francis PA Red Flash,St. Francis PA,,Saint Francis,St. Francis PA,Saint Francis,Saint Francis,Saint Francis (PA),Saint Francis (PA),St. Francis (PA) Red Flash,St. Francis PA,282
St Thomas Mn Tommies,St. Thomas,,St. Thomas,St. Thomas,St. Thomas,St. Thomas,St. Thomas (MN),St. Thomas (MN),St. Thomas (MN) Tommies,St. Thomas,283
St Johns Red Storm,St. John%27s,2442,St. John's,St. John's,St. John's,St. John's,St. John's (NY),St. John's (NY),St. John's Red Storm,St. John's,284
Saint Josephs Hawks,Saint Joseph%27s,,Saint Joseph's,Saint Joseph's,Saint Joseph's,Saint Joseph's,St. Joseph's,Saint Joseph's,Saint Joseph's Hawks,Saint Joseph's,285
Saint Marys Gaels,Saint Mary%27s,,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's (CA),Saint Mary's Gaels,Saint Mary's,286
Saint Peters Peacocks,Saint Peter%27s,,Saint Peter's,Saint Peter's,Saint Peter's,Saint Peter's,St. Peter's,Saint Peter's,Saint Peter's Peacocks,Saint Peter's,287
Stanford Cardinal,Stanford,,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford Cardinal,Stanford,288
Stephen F Austin Lumberjacks,Stephen F. Austin,,Stephen F. Austin,Stephen F. Austin 14,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin Lumberjacks,Stephen F. Austin,289
Stetson Hatters,Stetson,,Stetson,Stetson,Stetson,Stetson,Stetson,Stetson,Stetson Hatters,Stetson,290
Stonehill Skyhawks,Stonehill,,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill Skyhawks,Stonehill,291
Stony Brook Seawolves,Stony Brook,2443,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook Seawolves,Stony Brook,292
Syracuse Orange,Syracuse,2186,Syracuse,Syracuse 11,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse Orange,Syracuse,293
tarleton state texans,Tarleton St.,,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton State,Tarleton State,Tarleton State Texans,Tarleton St.,294
Temple Owls,Temple,2177,Temple,Temple,Temple,Temple,Temple,Temple,Temple Owls,Temple,295
Tenn-Martin Skyhawks,Tennessee Martin,,Tennessee Martin,Tennessee Martin,Tennessee Martin,Tennessee Martin,UT-Martin,Tennessee-Martin,Tenn-Martin Skyhawks,Tennessee Martin,296
Tennessee Volunteers,Tennessee,,Tennessee,Tennessee 3,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee Volunteers,Tennessee,297
Tennessee St Tigers,Tennessee St.,,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee State,Tennessee State,Tennessee St Tigers,Tennessee St.,298
Tennessee Tech Golden Eagles,Tennessee Tech,,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech Golden Eagles,Tennessee Tech,299
Texas Longhorns,Texas,2380,Texas,Texas 10,Texas,Texas,Texas,Texas,Texas Longhorns,Texas,300
Texas AM Aggies,Texas A%26M,,Texas A&M,Texas A&M 7,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M Aggies,Texas A&M,301
Texas AM CC Islanders,Texas A%26M Corpus Chris,,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,Texas A&M-CC Islanders,Texas A&M Corpus Chris,302
texas christian horned frogs,TCU,2291,TCU,TCU 6,TCU,TCU,TCU,TCU,TCU Horned Frogs,TCU,303
Texas Rio Grande Valley Vaqueros,UT Rio Grande Valley,,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,Texas-Rio Grande Valley,Texas-Rio Grande Valley,UT Rio Grande Valley Vaqueros,UT Rio Grande Valley,304
Texas Southern Tigers,Texas Southern,,Texas Southern,Texas Southern 16,Texas Southern,Texas Southern,Texas Southern,Texas Southern,Texas Southern Tigers,Texas Southern,305
Texas State Bobcats,Texas St.,,Texas St.,Texas St.,Texas St.,Texas St.,Texas State,Texas State,Texas State Bobcats,Texas St.,306
Texas Tech Red Raiders,Texas Tech,2319,Texas Tech,Texas Tech 3,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech,307
Texas Arlington Mavericks,UT Arlington,,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT-Arlington Mavericks,UT Arlington,308
Texas El Paso Miners,UTEP,,UTEP,UTEP,UTEP,UTEP,UTEP,UTEP,UTEP Miners,UTEP,309
Texas San Antonio Roadrunners,UTSA,,UTSA,UTSA,UTSA,UTSA,UTSA,UTSA,UTSA Roadrunners,UTSA,310
The Citadel Bulldogs,The Citadel,,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel Bulldogs,The Citadel,311
Toledo Rockets,Toledo,,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo Rockets,Toledo,312
Towson Tigers,Towson,,Towson,Towson,Towson,Towson,Towson,Towson,Towson Tigers,Towson,313
Troy Trojans,Troy,,Troy,Troy,Troy,Troy,Troy,Troy,Troy Trojans,Troy,314
Tulane Green Wave,Tulane,2367,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane Green Wave,Tulane,315
Tulsa Golden Hurricane,Tulsa,2512,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa Golden Hurricane,Tulsa,316
UAB Blazers,UAB,,UAB,UAB,UAB,UAB,UAB,UAB,UAB Blazers,UAB,317
UC Davis Aggies,UC Davis,,UC Davis,UC Davis,UC Davis,UC Davis,UC-Davis,UC Davis,UC Davis Aggies,UC Davis,318
UC Irvine Anteaters,UC Irvine,,UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC-Irvine,UC Irvine,UC Irvine Anteaters,UC Irvine,319
UC San Diego tritons,UC San Diego,,UC San Diego,UC San Diego,UC San Diego,UC San Diego,UC-San Diego,UC San Diego,UC San Diego Tritons,UC San Diego,320
UC Riverside Highlanders,UC Riverside,,UC Riverside,UC Riverside,UC Riverside,UC Riverside,UC-Riverside,UC Riverside,UC Riverside Highlanders,UC Riverside,321
UC Santa Barbara Gauchos,UC Santa Barbara,,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UCSB,UC Santa Barbara,UC Santa Barbara Gauchos,UC Santa Barbara,322
UCLA Bruins,UCLA,,UCLA,UCLA 11,UCLA,UCLA,UCLA,UCLA,UCLA Bruins,UCLA,323
Kansas City roos,UMKC,,Kansas City,UMKC,UMKC,UMKC,Kansas City,Kansas City,UMKC Kangaroos,UMKC,324
UNLV Rebels,UNLV,,UNLV,UNLV,UNLV,UNLV,UNLV,Nevada-Las Vegas,UNLV Rebels,UNLV,325
Utah Utes,Utah,,Utah,Utah,Utah,Utah,Utah,Utah,Utah Utes,Utah,326
Utah St Aggies,Utah St.,,Utah St.,Utah St.,Utah St.,Utah St.,Utah State,Utah State,Utah State Aggies,Utah State,327
Utah Tech Trailblazers,Utah Tech,,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech Trailblazers,Utah Tech,328
Utah Valley Wolverines,Utah Valley,,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley Wolverines,Utah Valley,329
Valparaiso Beacons,Valparaiso,,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso Beacons,Valparaiso,330
Vanderbilt Commodores,Vanderbilt,,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt,331
VCU Rams,VCU,,VCU,VCU,VCU,VCU,VCU,Virginia Commonwealth,VCU Rams,VCU,332
Vermont Catamounts,Vermont,2314,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont Catamounts,Vermont,333
Villanova Wildcats,Villanova,2561,Villanova,Villanova 1,Villanova,Villanova,Villanova,Villanova,Villanova Wildcats,Villanova,334
Virginia Cavaliers,Virginia,2315,Virginia,Virginia 1,Virginia,Virginia,Virginia,Virginia,Virginia Cavaliers,Virginia,335
Virginia Tech Hokies,Virginia Tech,2414,Virginia Tech,Virginia Tech 8,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech Hokies,Virginia Tech,336
VMI Keydets,VMI,,VMI,VMI,VMI,VMI,VMI,VMI,VMI Keydets,VMI,337
Wagner Seahawks,Wagner,,Wagner,Wagner,Wagner,Wagner,Wagner,Wagner,Wagner Seahawks,Wagner,338
Wake Forest Demon Deacons,Wake Forest,2188,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest Demon Deacons,Wake Forest,339
Washington Huskies,Washington,,Washington,Washington,Washington,Washington,Washington,Washington,Washington Huskies,Washington,340
Washington St Cougars,Washington St.,,Washington St.,Washington St.,Washington St.,Washington St.,Washington State,Washington State,Washington St Cougars,Washington St.,341
Weber St Wildcats,Weber St.,,Weber St.,Weber St.,Weber St.,Weber St.,Weber State,Weber State,Weber State Wildcats,Weber St.,342
West Virginia Mountaineers,West Virginia,2283,West Virginia,West Virginia 5,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia,343
Western Carolina Catamounts,Western Carolina,,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina Catamounts,Western Carolina,344
Western Illinois Leathernecks,Western Illinois,,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois Leathernecks,Western Illinois,345
Western Kentucky Hilltoppers,Western Kentucky,,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky,346
Western Michigan Broncos,Western Michigan,,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan Broncos,Western Michigan,347
Wichita St Shockers,Wichita St.,2374,Wichita St.,Wichita St. 4,Wichita St.,Wichita St.,Wichita State,Wichita State,Wichita St Shockers,Wichita St.,348
William- Mary Tribe,William %26 Mary,,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary Tribe,William & Mary,349
