Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Central Michigan Chippewas,Central Michigan,,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan Chippewas,Central Michigan,45
Charleston Cougars,College of Charleston,,Charleston,Charleston,Charleston,Charleston,College of Charleston,College of Charleston,Charleston Cougars,College of Charleston,46
Charleston Southern Buccaneers,Charleston Southern,,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern Buccaneers,Charleston Southern,47
Charlotte 49ers,Charlotte,,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte 49ers,Charlotte,48
Chattanooga Mocs,Chattanooga,,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga Mocs,Chattanooga,49
Chicago St Cougars,Chicago St.,,Chicago St.,Chicago St.,Chicago St.,Chicago St.,Chicago State,Chicago State,Chicago St Cougars,Chicago St.,50
Cincinnati Bearcats,Cincinnati,2244,Cincinnati,Cincinnati 2,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati,51
Clemson Tigers,Clemson,2466,Clemson,Clemson 5,Clemson,Clemson,Clemson,Clemson,Clemson Tigers,Clemson,52
Cleveland St Vikings,Cleveland St.,,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland State,Cleveland State,Cleveland St Vikings,Cleveland St.,53
Coastal Carolina Chanticleers,Coastal Carolina,,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,Coastal Carolina,54
Colgate Raiders,Colgate,,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate Raiders,Colgate,55
Colorado Buffaloes,Colorado,,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado Buffaloes,Colorado,56
Colorado St Rams,Colorado St.,,Colorado St.,Colorado St.,Colorado St.,Colorado St.,Colorado State,Colorado State,Colorado St Rams,Colorado State,57
Columbia Lions,Columbia,,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia Lions,Columbia,58
Connecticut Huskies,Connecticut,,Connecticut,Connecticut,Connecticut,Connecticut,UConn,Connecticut,UConn Huskies,Connecticut,59
Coppin St Eagles,Coppin St.,,Coppin St.,Coppin St.,Coppin St.,Coppin St.,Coppin State,Coppin State,Coppin St Eagles,Coppin St.,60
Cornell Big Red,Cornell,,Cornell,Cornell,Cornell,Cornell,Cornell,Cornell,Cornell Big Red,Cornell,61
Creighton Bluejays,Creighton,2495,Creighton,Creighton 8,Creighton,Creighton,Creighton,Creighton,Creighton Bluejays,Creighton,62
CSU Northridge Matadors,Cal St. Northridge,,CSUN,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal State Northridge,Cal State Northridge,CSU Northridge Matadors,Cal St. Northridge,63
Dartmouth Big Green,Dartmouth,,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth Big Green,Dartmouth,64
Davidson Wildcats,Davidson,,Davidson,Davidson 12,Davidson,Davidson,Davidson,Davidson,Davidson Wildcats,Davidson,65
Dayton Flyers,Dayton,,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton Flyers,Dayton,66
Delaware Blue Hens,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware Blue Hens,Delaware,67
Delaware State Hornets,Delaware St.,,Delaware St.,Delaware St.,Delaware St.,Delaware St.,Delaware State,Delaware State,Delaware St Hornets,Delaware St.,68
Denver Pioneers,Denver,,Denver,Denver,Denver,Denver,Denver,Denver,Denver Pioneers,Denver,69
DePaul Blue Demons,DePaul,2182,DePaul,DePaul,DePaul,DePaul,DePaul,DePaul,DePaul Blue Demons,DePaul,70
Detroit Mercy Titans,Detroit,,Detroit Mercy,Detroit,Detroit Mercy,Detroit Mercy,Detroit,Detroit Mercy,Detroit Mercy Titans,Detroit,71
Drake Bulldogs,Drake,,Drake,Drake,Drake,Drake,Drake,Drake,Drake Bulldogs,Drake,72
Drexel Dragons,Drexel,,Drexel,Drexel,Drexel,Drexel,Drexel,Drexel,Drexel Dragons,Drexel,73
Duke Blue Devils,Duke,2518,Duke,Duke 2,Duke,Duke,Duke,Duke,Duke Blue Devils,Duke,74
Duquesne Dukes,Duquesne,,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne Dukes,Duquesne,75
East Carolina Pirates,East Carolina,2211,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina Pirates,East Carolina,76
East Tennessee St Buccaneers,East Tennessee St.,,East Tennessee St.,East Tennessee St.,East Tennessee St.,East Tennessee St.,ETSU,East Tennessee State,East Tennessee St Buccaneers,East Tennessee St.,77
Eastern Illinois Panthers,Eastern Illinois,,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois Panthers,Eastern Illinois,78
Eastern Kentucky Colonels,Eastern Kentucky,,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky Colonels,Eastern Kentucky,79
Eastern Michigan Eagles,Eastern Michigan,,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan Eagles,Eastern Michigan,80
Eastern Washington Eagles,Eastern Washington,,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington Eagles,Eastern Washington,81
Elon University Phoenix,Elon,,Elon,Elon,Elon,Elon,Elon,Elon,Elon Phoenix,Elon,82
Evansville Purple Aces,Evansville,,Evansville,Evansville,Evansville,Evansville,Evansville,Evansville,Evansville Purple Aces,Evansville,83
Fairfield Stags,Fairfield,,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield Stags,Fairfield,84
Fairleigh Dickinson Knights,Fairleigh Dickinson,,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,Fairleigh Dickinson,85
Florida Gators,Florida,,Florida,Florida,Florida,Florida,Florida,Florida,Florida Gators,Florida,86
Florida AM Rattlers,Florida A%26M,,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M Rattlers,Florida A&M,87
Florida Atlantic Owls,Florida Atlantic,,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,Florida Atlantic,88
Florida Gulf Coast Eagles,Florida Gulf Coast,,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast Eagles,Florida Gulf Coast,89
Florida International Panthers,FIU,,FIU,FIU,FIU,FIU,Florida International,Florida International,Florida Int'l Golden Panthers,FIU,90
Florida State Seminoles,Florida St.,2261,Florida St.,Florida St. 9,Florida St.,Florida St.,Florida State,Florida State,Florida St Seminoles,Florida State,91
Fordham Rams,Fordham,,Fordham,Fordham,Fordham,Fordham,Fordham,Fordham,Fordham Rams,Fordham,92
Fresno St Bulldogs,Fresno St.,,Fresno St.,Fresno St.,Fresno St.,Fresno St.,Fresno State,Fresno State,Fresno St Bulldogs,Fresno St.,93
Furman Paladins,Furman,,Furman,Furman,Furman,Furman,Furman,Furman,Furman Paladins,Furman,94
Gardner Webb Runnin Bulldogs,Gardner Webb,,Gardner Webb,Gardner Webb,Gardner Webb,Gardner Webb,Gardner-Webb,Gardner-Webb,Gardner-Webb Bulldogs,Gardner Webb,95
George Mason Patriots,George Mason,,George Mason,George Mason,George Mason,George Mason,George Mason,George Mason,George Mason Patriots,George Mason,96
George Washington Revolutionaries,George Washington,,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington,GW Revolutionaries,George Washington,97
Georgetown Hoyas,Georgetown,2316,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown Hoyas,Georgetown,98
Georgia Bulldogs,Georgia,,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia Bulldogs,Georgia,99
Georgia Southern Eagles,Georgia Southern,,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern Eagles,Georgia Southern,100
Georgia St Panthers,Georgia St.,,Georgia St.,Georgia St. 15,Georgia St.,Georgia St.,Georgia State,Georgia State,Georgia St Panthers,Georgia St.,101
Georgia Tech Yellow Jackets,Georgia Tech,2259,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech,102
