Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,
Canisius Golden Griffins,Canisius,,Canisius,Canisius,Canisius,Canisius,Canisius,Canisius,Canisius Golden Griffins,Canisius,1
Central Arkansas Bears,Central Arkansas,,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas Bears,Central Arkansas,1
Central Conn St Blue Devils,Central Connecticut,,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut State,Central Connecticut St Blue Devils,Central Connecticut,0
Central Florida Knights,UCF,2339,UCF,UCF,UCF,UCF,UCF,Central Florida,UCF Knights,UCF,0
Central Michigan Chippewas,Central Michigan,,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan Chippewas,Central Michigan,1
Charleston Cougars,College of Charleston,,Charleston,College of Charleston,Charleston,College of Charleston,College of Charleston,College of Charleston,Charleston Cougars,College of Charleston,1
Charleston Southern Buccaneers,Charleston Southern,,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern Buccaneers,Charleston Southern,1
Charlotte 49ers,Charlotte,,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte 49ers,Charlotte,1
Chattanooga Mocs,Chattanooga,,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga Mocs,Chattanooga,1
Chicago St Cougars,Chicago St.,,Chicago St.,Chicago St.,Chicago St.,Chicago St.,Chicago State,Chicago State,Chicago St Cougars,Chicago St.,1
Cincinnati Bearcats,Cincinnati,2244,Cincinnati,Cincinnati 2,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati,1
Clemson Tigers,Clemson,2466,Clemson,Clemson 5,Clemson,Clemson,Clemson,Clemson,Clemson Tigers,Clemson,1
Cleveland St Vikings,Cleveland St.,,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland State,Cleveland State,Cleveland St Vikings,Cleveland St.,1
Coastal Carolina Chanticleers,Coastal Carolina,,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,Coastal Carolina,1
Colgate Raiders,Colgate,,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate Raiders,Colgate,1
Colorado Buffaloes,Colorado,,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado Buffaloes,Colorado,1
Colorado St Rams,Colorado St.,,Colorado St.,Colorado St.,Colorado St.,Colorado St.,Colorado State,Colorado State,Colorado St Rams,Colorado State,1
Columbia Lions,Columbia,,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia Lions,Columbia,1
Connecticut Huskies,Connecticut,,Connecticut,Connecticut,Connecticut,Connecticut,UConn,Connecticut,UConn Huskies,Connecticut,0
Coppin St Eagles,Coppin St.,,Coppin St.,Coppin St.,Coppin St.,Coppin St.,Coppin State,Coppin State,Coppin St Eagles,Coppin St.,1
Cornell Big Red,Cornell,,Cornell,Cornell,Cornell,Cornell,Cornell,Cornell,Cornell Big Red,Cornell,1
Creighton Bluejays,Creighton,2495,Creighton,Creighton 8,Creighton,Creighton,Creighton,Creighton,Creighton Bluejays,Creighton,1
CSU Northridge Matadors,Cal St. Northridge,,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal State Northridge,Cal State Northridge,CSU Northridge Matadors,Cal St. Northridge,1
Dartmouth Big Green,Dartmouth,,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth Big Green,Dartmouth,1
Davidson Wildcats,Davidson,,Davidson,Davidson 12,Davidson,Davidson,Davidson,Davidson,Davidson Wildcats,Davidson,1
Dayton Flyers,Dayton,,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,Dayton Flyers,Dayton,1
Delaware Blue Hens,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware Blue Hens,Delaware,1
Delaware State Hornets,Delaware St.,,Delaware St.,Delaware St.,Delaware St.,Delaware St.,Delaware State,Delaware State,Delaware St Hornets,Delaware St.,1
Denver Pioneers,Denver,,Denver,Denver,Denver,Denver,Denver,Denver,Denver Pioneers,Denver,1
DePaul Blue Demons,DePaul,2182,DePaul,DePaul,DePaul,DePaul,DePaul,DePaul,DePaul Blue Demons,DePaul,1
Detroit Mercy Titans,Detroit,,Detroit Mercy,Detroit,Detroit Mercy,Detroit,Detroit,Detroit Mercy,Detroit Mercy Titans,Detroit,0
Drake Bulldogs,Drake,,Drake,Drake,Drake,Drake,Drake,Drake,Drake Bulldogs,Drake,1
Drexel Dragons,Drexel,,Drexel,Drexel,Drexel,Drexel,Drexel,Drexel,Drexel Dragons,Drexel,1
Duke Blue Devils,Duke,2518,Duke,Duke 2,Duke,Duke,Duke,Duke,Duke Blue Devils,Duke,1
Duquesne Dukes,Duquesne,,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne Dukes,Duquesne,1
East Carolina Pirates,East Carolina,2211,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,East Carolina Pirates,East Carolina,1
East Tennessee St Buccaneers,East Tennessee St.,,East Tennessee St.,East Tennessee St.,East Tennessee St.,East Tennessee St.,ETSU,East Tennessee State,East Tennessee St Buccaneers,East Tennessee St.,0
Eastern Illinois Panthers,Eastern Illinois,,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois Panthers,Eastern Illinois,1
Eastern Kentucky Colonels,Eastern Kentucky,,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky Colonels,Eastern Kentucky,1
Eastern Michigan Eagles,Eastern Michigan,,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan Eagles,Eastern Michigan,1
Eastern Washington Eagles,Eastern Washington,,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington Eagles,Eastern Washington,1
Elon University Phoenix,Elon,,Elon,Elon,Elon,Elon,Elon,Elon,Elon Phoenix,Elon,1
Evansville Purple Aces,Evansville,,Evansville,Evansville,Evansville,Evansville,Evansville,Evansville,Evansville Purple Aces,Evansville,1
Fairfield Stags,Fairfield,,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield Stags,Fairfield,1
Fairleigh Dickinson Knights,Fairleigh Dickinson,,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,Fairleigh Dickinson,1
Florida Gators,Florida,,Florida,Florida,Florida,Florida,Florida,Florida,Florida Gators,Florida,1
Florida AM Rattlers,Florida A%26M,,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M Rattlers,Florida A&M,1
Florida Atlantic Owls,Florida Atlantic,,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,Florida Atlantic,1
Florida Gulf Coast Eagles,Florida Gulf Coast,,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast Eagles,Florida Gulf Coast,1
Florida International Panthers,FIU,,FIU,FIU,FIU,FIU,Florida International,Florida International,Florida Int'l Golden Panthers,FIU,1
Florida State Seminoles,Florida St.,2261,Florida St.,Florida St. 9,Florida St.,Florida St.,Florida State,Florida State,Florida St Seminoles,Florida State,1
Fordham Rams,Fordham,,Fordham,Fordham,Fordham,Fordham,Fordham,Fordham,Fordham Rams,Fordham,1
Fresno St Bulldogs,Fresno St.,,Fresno St.,Fresno St.,Fresno St.,Fresno St.,Fresno State,Fresno State,Fresno St Bulldogs,Fresno St.,1
Furman Paladins,Furman,,Furman,Furman,Furman,Furman,Furman,Furman,Furman Paladins,Furman,1
Gardner Webb Runnin Bulldogs,Gardner Webb,,Gardner Webb,Gardner Webb,Gardner Webb,Gardner Webb,Gardner-Webb,Gardner-Webb,Gardner-Webb Bulldogs,Gardner Webb,1
George Mason Patriots,George Mason,,George Mason,George Mason,George Mason,George Mason,George Mason,George Mason,George Mason Patriots,George Mason,1
George Washington Revolutionaries,George Washington,,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington Colonials,George Washington,1
Georgetown Hoyas,Georgetown,2316,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown Hoyas,Georgetown,1
Georgia Bulldogs,Georgia,,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia Bulldogs,Georgia,1
Georgia Southern Eagles,Georgia Southern,,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern Eagles,Georgia Southern,1
Georgia St Panthers,Georgia St.,,Georgia St.,Georgia St. 15,Georgia St.,Georgia St.,Georgia State,Georgia State,Georgia St Panthers,Georgia St.,1
Georgia Tech Yellow Jackets,Georgia Tech,2259,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech,1
Gonzaga Bulldogs,Gonzaga,,Gonzaga,Gonzaga 4,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga Bulldogs,Gonzaga,1
Grambling State Tigers,Grambling St.,,Grambling St.,Grambling St.,Grambling St.,Grambling St.,Grambling,Grambling,Grambling St Tigers,Grambling St.,1
Grand Canyon Lopes,Grand Canyon,,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon Antelopes,Grand Canyon,1
Green Bay Phoenix,Green Bay,,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Green Bay Phoenix,Green Bay,1
Hampton Pirates,Hampton,,Hampton,Hampton,Hampton,Hampton,Hampton,Hampton,Hampton Pirates,Hampton,1
Harvard Crimson,Harvard,,Harvard,Harvard,Harvard,Harvard,Harvard,Harvard,Harvard Crimson,Harvard,1
Hawaii Rainbow Warriors,Hawaii,,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawai'i Rainbow Warriors,Hawaii,1
High Point Panthers,High Point,,High Point,High Point,High Point,High Point,High Point,High Point,High Point Panthers,High Point,1
Hofstra Pride,Hofstra,,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra Pride,Hofstra,1
Holy Cross Crusaders,Holy Cross,,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross Crusaders,Holy Cross,1
Houston Cougars,Houston,2515,Houston,Houston 6,Houston,Houston,Houston,Houston,Houston Cougars,Houston,1
Houston Christian Huskies,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Christian,Houston Baptist Huskies,Houston Christian,1
Howard Bison,Howard,,Howard,Howard,Howard,Howard,Howard,Howard,Howard Bison,Howard,1
Idaho Vandals,Idaho,,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho Vandals,Idaho,1
Idaho State Bengals,Idaho St.,,Idaho St.,Idaho St.,Idaho St.,Idaho St.,Idaho State,Idaho State,Idaho State Bengals,Idaho St.,1
Illinois Fighting Illini,Illinois,2264,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois Fighting Illini,Illinois,1
Illinois St Redbirds,Illinois St.,,Illinois St.,Illinois St.,Illinois St.,Illinois St.,Illinois State,Illinois State,Illinois St Redbirds,Illinois St.,1
Illinois-Chicago Flames,Illinois Chicago,,Illinois Chicago,Illinois Chicago,Illinois Chicago,Illinois Chicago,UIC,Illinois-Chicago,UIC Flames,Illinois Chicago,0
Incarnate Word Cardinals,Incarnate Word,,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word Cardinals,Incarnate Word,1
Indiana Hoosiers,Indiana,2481,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana Hoosiers,Indiana,1
IU Indy Jaguars,IUPUI,,IU Indy,IUPUI,IU Indy,IUPUI,IUPUI,IUPUI,IUPUI Jaguars,IUPUI,1
Indiana St Sycamores,Indiana St.,,Indiana St.,Indiana St.,Indiana St.,Indiana St.,Indiana State,Indiana State,Indiana St Sycamores,Indiana State,1
Iona Gaels,Iona,,Iona,Iona 15,Iona,Iona,Iona,Iona,Iona Gaels,Iona,1
Iowa Hawkeyes,Iowa,2196,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa Hawkeyes,Iowa,1
Iowa State Cyclones,Iowa St.,2513,Iowa St.,Iowa St.,Iowa St.,Iowa St.,Iowa State,Iowa State,Iowa State Cyclones,Iowa State,1
Purdue Fort Wayne Mastodons,Fort Wayne,,Purdue Fort Wayne,Fort Wayne,Purdue Fort Wayne,Fort Wayne,Purdue-Fort Wayne,Purdue-Fort Wayne,Fort Wayne Mastodons,Purdue-Fort Wayne,1
Jackson State Tigers,Jackson St.,,Jackson St.,Jackson St.,Jackson St.,Jackson St.,Jackson State,Jackson State,Jackson St Tigers,Jackson St.,1
Jacksonville Dolphins,Jacksonville,,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville Dolphins,Jacksonville,1
Jacksonville St Gamecocks,Jacksonville St.,,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville State,Jacksonville State,Jacksonville St Gamecocks,Jacksonville St.,1
James Madison Dukes,James Madison,,James Madison,James Madison,James Madison,James Madison,James Madison,James Madison,James Madison Dukes,James Madison,1
Kansas Jayhawks,Kansas,2507,Kansas,Kansas 1,Kansas,Kansas,Kansas,Kansas,Kansas Jayhawks,Kansas,1
Kansas State Wildcats,Kansas St.,2311,Kansas St.,Kansas St. 9,Kansas St.,Kansas St.,Kansas State,Kansas State,Kansas St Wildcats,Kansas State,1
Kennesaw St Owls,Kennesaw St.,,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw State,Kennesaw State,Kennesaw St Owls,Kennesaw St.,1
Kent St Golden Flashes,Kent St.,,Kent St.,Kent St.,Kent St.,Kent St.,Kent State,Kent State,Kent State Golden Flashes,Kent St.,1
Kentucky Wildcats,Kentucky,,Kentucky,Kentucky 5,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky Wildcats,Kentucky,1
La Salle Explorers,La Salle,,La Salle,La Salle,La Salle,La Salle,La Salle,La Salle,La Salle Explorers,La Salle,1
Lafayette Leopards,Lafayette,,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette Leopards,Lafayette,1
Lamar Cardinals,Lamar,,Lamar,Lamar,Lamar,Lamar,Lamar,Lamar,Lamar Cardinals,Lamar,1
Lehigh Mountain Hawks,Lehigh,,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh Mountain Hawks,Lehigh,1
Liberty Flames,Liberty,,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty Flames,Liberty,1
Lindenwood Lions,Lindenwood,,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood Lions,Lindenwood,
Lipscomb Bisons,Lipscomb,,Lipscomb,Lipscomb 15,Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb Bisons,Lipscomb,1
Little Rock Trojans,Little Rock,,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Arkansas-Little Rock Trojans,Little Rock,1
LIU Sharks,LIU Brooklyn,,LIU,LIU Brooklyn 16,LIU,LIU Brooklyn,LIU,Long Island University,LIU Sharks,LIU Brooklyn,0
Long Beach St Beach,Long Beach St.,,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach State,Long Beach State,Long Beach St 49ers,Long Beach St.,0
Longwood Lancers,Longwood,,Longwood,Longwood,Longwood,Longwood,Longwood,Longwood,Longwood Lancers,Longwood,1
UL Monroe Warhawks,Louisiana Monroe,,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana-Monroe,Louisiana-Monroe,UL Monroe Warhawks,Louisiana Monroe,1
Louisiana State Tigers,LSU,,LSU,LSU,LSU,LSU,LSU,Louisiana State,LSU Tigers,LSU,0
Louisiana Tech Bulldogs,Louisiana Tech,,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech Bulldogs,Louisiana Tech,1
Louisville Cardinals,Louisville,2496,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville Cardinals,Louisville,1
Loyola Marymount Lions,Loyola Marymount,,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount Lions,Loyola Marymount,1
Loyola Chicago Ramblers,Loyola Chicago,,Loyola Chicago,Loyola Chicago 11,Loyola Chicago,Loyola Chicago,Loyola (IL),Loyola (IL),Loyola (Chi) Ramblers,Loyola Chicago,1
Loyola Md Greyhounds,Loyola MD,,Loyola MD,Loyola MD,Loyola MD,Loyola MD,Loyola (MD),Loyola (MD),Loyola (MD) Greyhounds,Loyola MD,1
Maine Black Bears,Maine,2185,Maine,Maine,Maine,Maine,Maine,Maine,Maine Black Bears,Maine,1
Manhattan Jaspers,Manhattan,,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan Jaspers,Manhattan,1
Marist Red Foxes,Marist,,Marist,Marist,Marist,Marist,Marist,Marist,Marist Red Foxes,Marist,1
Marquette Golden Eagles,Marquette,2406,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette Golden Eagles,Marquette,1
Marshall Thundering Herd,Marshall,,Marshall,Marshall 13,Marshall,Marshall,Marshall,Marshall,Marshall Thundering Herd,Marshall,1
Maryland Terrapins,Maryland,,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland Terrapins,Maryland,1
Maryland Eastern Shore Hawks,Maryland Eastern Shore,2174,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland-Eastern Shore,Maryland-Eastern Shore,Maryland-Eastern Shore Hawks,Maryland Eastern Shore,1
Massachusetts Minutemen,Massachusetts,,Massachusetts,Massachusetts,Massachusetts,Massachusetts,UMass,Massachusetts,Massachusetts Minutemen,Massachusetts,0
Massachusetts Lowell River Hawks,UMass Lowell,665710,UMass Lowell,UMass Lowell,UMass Lowell,UMass Lowell,UMass-Lowell,Massachusetts-Lowell,UMass Lowell River Hawks,UMass Lowell,0
McNeese St Cowboys,McNeese St.,,McNeese,McNeese St.,McNeese St.,McNeese St.,McNeese State,McNeese State,McNeese Cowboys,McNeese State,1
UMBC Retrievers,UMBC,2411,UMBC,UMBC 16,UMBC,UMBC,UMBC,Maryland-Baltimore County,UMBC Retrievers,UMBC,0
Memphis Tigers,Memphis,2204,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis Tigers,Memphis,1
Merrimack Warriors,Merrimack,,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack Warriors,Merrimack,1
Mercer Bears,Mercer,,Mercer,Mercer,Mercer,Mercer,Mercer,Mercer,Mercer Bears,Mercer,1
Miami OH RedHawks,Miami OH,,Miami OH,Miami OH,Miami OH,Miami OH,Miami (OH),Miami (OH),Miami (OH) RedHawks,Miami OH,1
Miami Hurricanes,Miami FL,2494,Miami FL,Miami FL 6,Miami FL,Miami FL,Miami (FL),Miami (FL),Miami Hurricanes,Miami (FLA.),1
Michigan Wolverines,Michigan,2323,Michigan,Michigan 3,Michigan,Michigan,Michigan,Michigan,Michigan Wolverines,Michigan,1
Michigan St Spartans,Michigan St.,2180,Michigan St.,Michigan St. 3,Michigan St.,Michigan St.,Michigan State,Michigan State,Michigan St Spartans,Michigan State,1
Middle Tennessee St Blue Raiders,Middle Tennessee,,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee Blue Raiders,Middle Tennessee,1
Minnesota Golden Gophers,Minnesota,2412,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota,1
Mississippi Rebels,Mississippi,,Mississippi,Mississippi,Mississippi,Mississippi,Ole Miss,Mississippi,Ole Miss Rebels,Mississippi,0
Mississippi State Bulldogs,Mississippi St.,,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi State,Mississippi State,Mississippi St Bulldogs,Mississippi State,1
Mississippi Valley State Delta Devils,Mississippi Valley St.,,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley State,Mississippi Valley State,Miss Valley St Delta Devils,Mississippi Valley St.,1
Missouri Tigers,Missouri,,Missouri,Missouri 8,Missouri,Missouri,Missouri,Missouri,Missouri Tigers,Missouri,1
Missouri St Bears,Missouri St.,,Missouri St.,Missouri St.,Missouri St.,Missouri St.,Missouri State,Missouri State,Missouri St Bears,Missouri St.,1
