Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+31.19,121.9,1,90.7,18,77.5,1,1,+32.11,123.7,1,91.5
2,Baylor,B12,+30.89,119.1,3,88.2,5,70.3,170,2,+31.80,119.3,4,87.5
3,Villanova,BE,+26.84,118.8,4,92.0,30,64.7,351,5,+26.75,119.7,3,93.0
4,Iowa,B10,+25.17,121.9,2,96.7,94,71.9,89,3,+27.42,123.5,2,96.0
5,Wisconsin,B10,+25.03,113.5,9,88.5,8,66.8,329,11,+23.88,113.9,11,90.0
6,Illinois,B10,+23.97,116.5,5,92.5,36,72.8,52,8,+24.67,116.0,10,91.4
7,Kansas,B12,+23.95,112.4,13,88.5,7,69.7,214,13,+22.47,112.6,22,90.1
8,Tennessee,SEC,+23.11,110.3,33,87.2,3,67.5,308,6,+24.72,111.9,29,87.2
9,Texas,B12,+22.93,111.0,25,88.1,4,69.1,242,7,+24.71,113.8,12,89.1
10,Houston,Amer,+22.60,112.2,15,89.6,13,67.2,320,9,+24.09,112.7,20,88.6
11,Texas Tech,B12,+22.37,107.9,63,85.5,1,67.2,322,12,+23.03,112.1,27,89.0
12,West Virginia,B12,+21.85,111.6,20,89.8,14,68.6,272,15,+21.29,113.0,15,91.7
13,Duke,ACC,+21.67,111.7,19,90.0,15,70.6,148,26,+19.21,112.4,24,93.2
14,Creighton,BE,+21.46,114.4,7,92.9,38,72.3,72,10,+23.97,116.5,7,92.5
15,Michigan,B10,+21.41,113.4,10,92.0,29,69.3,230,4,+27.11,117.4,6,90.3
16,Ohio St.,B10,+20.53,113.9,8,93.4,44,67.3,317,18,+21.18,116.2,8,95.0
17,Clemson,ACC,+20.50,106.7,74,86.2,2,68.6,269,19,+20.86,107.7,72,86.8
18,Rutgers,B10,+20.30,111.9,17,91.6,26,70.8,138,39,+17.17,110.5,45,93.4
19,Oregon,P12,+20.18,111.7,18,91.5,25,70.0,188,20,+20.52,112.9,16,92.4
20,Virginia,ACC,+20.12,109.4,49,89.3,11,60.8,357,16,+21.23,111.8,33,90.6
21,North Carolina,ACC,+19.55,109.9,40,90.3,16,72.1,83,35,+17.97,108.9,59,91.0
22,Florida,SEC,+19.30,110.3,32,91.0,21,71.3,113,38,+17.49,111.8,32,94.3
23,Indiana,B10,+19.16,108.3,57,89.1,10,68.0,289,37,+17.82,109.6,56,91.8
24,San Diego St.,MWC,+18.96,109.6,44,90.6,17,66.8,327,41,+16.55,108.4,66,91.8
