Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+34.63,125.2,1,90.6,12,74.8,7,1,+34.63,125.0,1,90.4
2,Baylor,B12,+34.59,121.8,3,87.3,1,69.5,152,2,+34.61,121.7,3,87.1
3,Michigan,B10,+28.12,117.4,7,89.2,5,68.3,211,3,+28.20,117.2,7,89.0
4,Iowa,B10,+27.18,125.1,2,98.0,100,71.1,67,4,+27.09,124.9,2,97.8
5,Houston,Amer,+26.85,114.8,17,88.0,3,66.3,301,5,+26.89,114.6,17,87.8
6,Villanova,BE,+26.10,119.8,4,93.7,39,64.9,335,6,+26.09,119.6,4,93.5
7,Virginia,ACC,+25.70,116.4,10,90.7,16,60.2,357,7,+25.71,116.3,10,90.5
8,Illinois,B10,+24.92,117.1,8,92.2,23,70.9,80,8,+25.52,117.2,8,91.6
9,Alabama,SEC,+24.81,115.0,15,90.2,8,74.6,9,9,+24.76,114.8,15,90.0
10,Texas,B12,+24.24,114.7,18,90.4,10,69.8,130,10,+24.20,114.5,18,90.3
11,Wisconsin,B10,+23.76,113.0,27,89.3,6,65.0,331,11,+23.79,112.9,27,89.1
12,Ohio St.,B10,+22.96,119.6,5,96.6,74,66.9,278,12,+23.04,119.4,5,96.4
13,Texas Tech,B12,+22.95,113.6,23,90.7,14,67.1,272,13,+22.95,113.5,24,90.5
14,Florida St.,ACC,+22.95,116.3,11,93.4,35,69.7,145,14,+22.89,116.1,11,93.2
15,Creighton,BE,+22.66,117.1,9,94.4,46,70.2,114,15,+22.61,116.8,9,94.2
16,West Virginia,B12,+22.02,114.9,16,92.8,31,68.9,172,16,+22.01,114.7,16,92.7
17,Colorado,P12,+21.99,115.4,14,93.4,36,67.1,270,17,+21.98,115.2,14,93.2
18,Kansas,B12,+21.75,112.3,33,90.5,11,68.4,207,18,+21.68,112.0,33,90.3
19,Tennessee,SEC,+21.25,108.9,69,87.6,2,66.3,303,19,+21.16,108.7,70,87.5
20,Oklahoma,B12,+20.46,114.2,19,93.7,40,69.2,162,21,+20.43,114.0,19,93.6
21,USC,P12,+20.43,112.4,29,92.0,22,68.6,190,20,+20.46,112.3,29,91.9
22,Loyola Chicago,MVC,+20.13,110.8,50,90.6,13,66.0,312,22,+20.13,110.6,50,90.4
23,Indiana,B10,+19.34,111.8,37,92.5,25,66.6,290,23,+19.39,111.7,37,92.3
24,San Diego St.,MWC,+19.02,110.4,55,91.4,19,66.6,288,24,+19.01,110.3,56,91.3
25,Florida,SEC,+19.00,113.6,24,94.6,47,70.4,105,25,+18.97,113.4,25,94.4
26,Connecticut,BE,+18.87,111.2,43,92.3,24,64.3,343,26,+18.86,111.0,43,92.2
27,UCLA,P12,+18.81,116.1,12,97.3,85,64.3,341,27,+18.80,116.0,12,97.2
28,Rutgers,B10,+18.65,110.4,56,91.7,21,68.6,189,28,+18.72,110.2,57,91.5
29,Oregon,P12,+18.40,112.0,35,93.6,37,69.7,139,30,+18.38,111.8,35,93.5
30,Purdue,B10,+18.34,110.9,48,92.5,26,67.0,275,29,+18.45,110.8,46,92.3
31,Arkansas,SEC,+18.27,112.0,36,93.7,38,72.9,27,34,+18.19,111.7,36,93.5
32,Minnesota,B10,+18.25,111.2,42,93.0,32,71.0,73,31,+18.31,111.0,42,92.7
33,Oklahoma St.,B12,+18.22,110.9,46,92.7,30,71.1,69,32,+18.19,110.7,47,92.5
34,North Carolina,ACC,+18.22,110.9,49,92.6,29,70.7,87,33,+18.19,110.7,48,92.5
35,Missouri,SEC,+17.86,110.5,54,92.6,28,69.8,129,35,+17.84,110.3,55,92.5
36,Arizona,P12,+17.83,113.8,21,95.9,59,69.7,135,36,+17.78,113.5,22,95.7
37,LSU,SEC,+17.62,118.3,6,100.7,139,70.9,81,38,+17.59,118.1,6,100.5
38,Duke,ACC,+17.53,112.1,34,94.6,48,69.7,138,37,+17.61,111.9,34,94.3
39,Louisville,ACC,+16.93,110.7,52,93.8,41,66.3,300,39,+16.92,110.5,52,93.6
40,Virginia Tech,ACC,+16.87,110.1,57,93.2,33,66.7,287,40,+16.89,109.9,58,93.0
41,Stanford,P12,+16.83,107.2,84,90.4,9,70.8,83,42,+16.74,106.9,85,90.2
42,Saint Louis,A10,+16.71,111.1,44,94.4,45,69.5,155,43,+16.70,110.9,44,94.2
43,Penn St.,B10,+16.68,113.7,22,97.0,80,69.8,127,41,+16.77,113.6,21,96.8
44,Maryland,B10,+16.46,112.4,32,95.9,60,66.3,299,44,+16.48,112.2,30,95.8
45,Syracuse,ACC,+16.43,112.4,31,96.0,63,70.2,113,45,+16.39,112.2,31,95.8
46,Seton Hall,BE,+16.38,114.1,20,97.7,95,67.8,236,46,+16.37,114.0,20,97.6
47,Utah St.,MWC,+15.60,105.7,103,90.1,7,70.2,116,49,+15.55,105.5,104,90.0
48,Clemson,ACC,+15.58,106.7,94,91.1,18,66.0,311,48,+15.57,106.5,92,90.9
49,BYU,WCC,+15.49,109.3,63,93.8,42,68.8,177,47,+15.57,109.1,63,93.6
50,SMU,Amer,+15.31,113.0,28,97.7,93,69.2,164,51,+15.30,112.8,28,97.5
51,Xavier,BE,+15.28,111.3,41,96.0,64,68.8,178,50,+15.36,111.1,40,95.8
52,St. Bonaventure,A10,+15.09,109.0,65,93.9,43,66.8,284,52,+15.07,108.8,66,93.8
53,Drake,MVC,+14.89,111.1,45,96.2,67,67.5,248,53,+14.98,110.9,45,95.9
54,Kentucky,SEC,+14.86,105.7,104,90.9,17,66.9,279,54,+14.84,105.5,103,90.7
55,Auburn,SEC,+14.82,111.3,40,96.5,70,72.6,31,56,+14.77,111.1,41,96.4
56,Richmond,A10,+14.80,113.3,26,98.5,107,69.7,146,55,+14.79,113.2,26,98.4
57,Memphis,Amer,+14.57,103.7,140,89.1,4,71.0,72,57,+14.58,103.5,140,88.9
58,Georgia Tech,ACC,+14.29,111.6,39,97.3,86,67.0,274,59,+14.29,111.5,38,97.2
59,Providence,BE,+14.10,110.6,53,96.5,72,66.8,282,61,+14.09,110.5,54,96.4
60,VCU,A10,+14.05,104.7,125,90.7,15,71.4,61,62,+14.04,104.5,125,90.5
61,Michigan St.,B10,+14.03,109.0,66,95.0,52,69.8,134,60,+14.15,108.9,65,94.7
62,Mississippi,SEC,+13.84,105.5,109,91.7,20,66.6,289,63,+13.80,105.3,108,91.5
