Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+34.06,124.4,2,90.4,12,75.2,8,1,+34.12,124.3,2,90.2
2,Baylor,B12,+33.74,120.7,3,87.0,1,69.1,170,2,+33.74,120.6,3,86.8
3,Michigan,B10,+28.07,116.9,7,88.8,6,68.6,206,3,+28.09,116.8,7,88.7
4,Iowa,B10,+27.12,124.6,1,97.5,98,71.3,69,4,+27.04,124.4,1,97.4
5,Villanova,BE,+26.28,119.3,4,93.0,32,65.0,334,5,+26.25,119.2,4,93.0
6,Houston,Amer,+26.12,113.7,18,87.5,2,66.5,296,6,+26.13,113.5,19,87.3
7,Illinois,B10,+24.72,116.6,8,91.9,25,71.3,70,8,+24.72,116.5,8,91.7
8,Texas,B12,+24.69,114.3,15,89.6,8,69.6,153,9,+24.67,114.1,16,89.4
9,Virginia,ACC,+24.54,115.4,11,90.8,18,59.6,357,7,+25.76,115.7,9,89.9
10,Alabama,SEC,+24.25,114.6,13,90.3,11,74.8,9,10,+24.29,114.6,13,90.3
11,Wisconsin,B10,+23.60,112.9,24,89.3,7,65.0,333,11,+23.60,112.8,25,89.2
12,Ohio St.,B10,+22.90,118.4,5,95.5,60,66.9,283,12,+22.90,118.3,5,95.4
13,Texas Tech,B12,+22.83,111.5,36,88.7,5,67.1,277,13,+22.84,113.0,21,90.2
14,Creighton,BE,+22.37,115.5,10,93.1,36,70.3,115,14,+22.38,115.4,11,93.0
15,Florida St.,ACC,+22.25,115.3,12,93.0,33,69.8,141,15,+22.27,115.1,12,92.9
16,West Virginia,B12,+22.09,112.9,25,90.8,17,68.8,188,17,+21.97,114.2,15,92.2
17,Kansas,B12,+21.99,113.3,19,91.4,19,68.4,216,16,+22.06,113.2,20,91.1
18,Tennessee,SEC,+21.83,110.0,57,88.1,3,66.3,306,19,+21.83,109.8,58,88.0
19,Colorado,P12,+21.82,114.5,14,92.6,30,67.6,252,18,+21.84,114.4,14,92.5
20,USC,P12,+20.33,111.9,33,91.5,20,68.6,203,20,+20.32,111.8,32,91.5
21,Loyola Chicago,MVC,+19.88,110.5,49,90.6,14,65.8,314,21,+20.00,110.1,54,90.1
22,Oklahoma,B12,+19.73,113.0,22,93.3,41,69.1,172,22,+19.75,112.7,26,93.0
23,Florida,SEC,+19.59,113.1,20,93.5,44,70.7,98,23,+19.60,113.0,23,93.4
24,Indiana,B10,+19.16,111.2,39,92.0,27,66.8,286,24,+19.16,111.0,39,91.9
25,UCLA,P12,+18.79,115.6,9,96.8,82,64.6,340,26,+18.76,115.5,10,96.7
26,Connecticut,BE,+18.54,110.8,42,92.3,28,64.6,341,27,+18.55,110.7,42,92.2
27,Arizona,P12,+18.46,114.1,16,95.6,63,69.9,138,25,+18.84,113.8,18,95.0
28,Oregon,P12,+18.39,111.6,35,93.2,39,69.9,135,29,+18.33,111.5,36,93.2
29,Minnesota,B10,+18.33,110.8,43,92.4,29,71.1,78,28,+18.46,110.7,43,92.2
30,Purdue,B10,+18.32,110.3,53,92.0,26,67.1,278,30,+18.32,110.2,52,91.8
31,San Diego St.,MWC,+18.26,109.8,59,91.5,21,66.4,302,33,+18.13,109.8,59,91.7
32,Missouri,SEC,+18.15,109.9,58,91.8,22,69.1,171,32,+18.16,109.8,57,91.7
33,Duke,ACC,+17.88,111.9,32,94.0,48,69.3,162,34,+17.89,111.8,34,93.9
34,Saint Louis,A10,+17.80,111.0,40,93.2,38,68.6,204,35,+17.78,110.9,40,93.1
35,North Carolina,ACC,+17.61,109.4,63,91.8,23,71.6,61,36,+17.60,109.4,61,91.8
36,Syracuse,ACC,+17.46,112.7,28,95.3,57,69.3,161,43,+16.43,111.8,33,95.4
37,Louisville,ACC,+17.23,111.3,38,94.1,49,66.5,300,37,+17.26,111.2,38,94.0
38,Oklahoma St.,B12,+17.22,110.4,52,93.2,37,71.1,75,31,+18.28,110.2,51,91.9
39,Arkansas,SEC,+17.19,110.6,48,93.4,43,73.8,19,38,+17.16,110.5,48,93.3
40,LSU,SEC,+17.10,117.1,6,100.0,133,71.1,79,39,+17.10,117.0,6,99.9
41,Rutgers,B10,+16.88,110.1,55,93.3,40,69.2,166,40,+16.82,110.0,55,93.2
42,Maryland,B10,+16.61,112.5,30,95.9,68,66.4,304,41,+16.62,112.4,30,95.8
43,Seton Hall,BE,+16.51,112.8,27,96.3,73,68.0,237,42,+16.51,112.7,27,96.2
44,Michigan St.,B10,+16.30,110.7,45,94.4,50,70.5,107,44,+16.32,110.6,45,94.3
45,Virginia Tech,ACC,+16.21,110.6,46,94.4,51,66.6,293,45,+16.19,110.5,46,94.3
46,Penn St.,B10,+16.08,112.5,29,96.4,76,69.6,152,46,+16.08,112.4,29,96.3
47,BYU,WCC,+15.94,109.0,66,93.1,34,68.9,185,47,+15.84,108.9,65,93.1
48,Stanford,P12,+15.79,106.6,86,90.8,16,71.0,83,48,+15.81,106.5,86,90.7
49,Utah St.,MWC,+15.45,105.8,102,90.3,10,69.9,132,55,+14.83,103.9,126,89.0
50,Xavier,BE,+15.26,110.9,41,95.6,64,69.1,173,49,+15.27,110.8,41,95.6
51,SMU,Amer,+15.21,111.8,34,96.5,79,70.4,110,51,+15.22,111.7,35,96.4
52,Clemson,ACC,+15.09,106.9,84,91.8,24,66.4,301,50,+15.23,106.9,82,91.6
53,Kentucky,SEC,+15.02,105.8,101,90.8,15,67.1,273,52,+15.05,105.7,100,90.6
54,St. Bonaventure,A10,+14.97,108.5,70,93.6,46,67.1,274,53,+14.97,108.4,69,93.5
55,Mississippi,SEC,+14.86,105.4,104,90.5,13,67.1,272,54,+14.87,105.3,102,90.4
56,Boise St.,MWC,+14.82,110.5,50,95.7,65,69.7,147,56,+14.81,110.3,50,95.5
57,Memphis,Amer,+14.60,102.9,142,88.3,4,72.1,45,57,+14.61,102.8,143,88.2
58,Auburn,SEC,+14.28,110.5,51,96.2,72,71.8,54,59,+14.29,110.4,49,96.1
59,Georgia Tech,ACC,+14.21,111.3,37,97.1,90,66.7,289,58,+14.30,111.3,37,97.0
60,VCU,A10,+14.01,104.3,122,90.3,9,71.6,62,60,+13.97,104.2,121,90.2
61,Richmond,A10,+13.90,112.8,26,98.9,118,70.2,122,61,+13.90,112.6,28,98.7
62,Providence,BE,+13.80,110.6,47,96.8,83,67.1,275,62,+13.81,110.5,47,96.7
63,Davidson,A10,+13.48,113.1,21,99.6,128,64.0,349,63,+13.44,113.0,22,99.6
64,Drake,MVC,+13.36,110.7,44,97.4,94,67.0,280,64,+13.36,110.6,44,97.2
65,Pittsburgh,ACC,+13.18,106.6,90,93.4,42,71.0,86,66,+13.06,106.4,91,93.3
66,Marquette,BE,+13.12,110.2,54,97.1,87,67.6,254,65,+13.15,110.1,53,97.0
67,Rhode Island,A10,+12.68,105.8,100,93.1,35,70.5,109,67,+12.64,105.7,99,93.0
68,N.C. State,ACC,+12.51,109.7,60,97.2,91,69.8,146,68,+12.52,109.6,60,97.1
69,Toledo,MAC,+12.06,114.0,17,101.9,169,67.9,241,69,+12.08,113.9,17,101.8
