Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
132,East Carolina,Amer,+3.23,100.4,199,97.2,90,68.2,222,132,+3.22,100.3,199,97.1
133,Eastern Washington,BSky,+3.13,104.1,128,101.0,150,72.5,37,133,+3.14,104.0,129,100.9
134,UC Riverside,BW,+2.98,100.8,189,97.8,99,65.5,317,134,+2.99,100.7,189,97.7
135,Ball St.,MAC,+2.92,103.0,141,100.1,139,70.4,115,135,+2.93,102.9,142,100.0
136,Siena,MAAC,+2.73,104.3,122,101.6,160,67.8,240,136,+2.74,104.2,124,101.5
137,Vanderbilt,SEC,+2.58,104.7,110,102.1,171,69.9,136,137,+2.66,104.7,110,102.0
138,Temple,Amer,+2.56,100.6,191,98.1,105,68.9,190,138,+2.56,100.5,191,98.0
139,Murray St.,OVC,+2.43,101.6,170,99.1,124,67.6,255,139,+2.44,101.5,167,99.0
140,Cal St. Bakersfield,BW,+2.29,101.0,183,98.7,116,64.4,345,140,+2.29,100.9,183,98.6
141,Grand Canyon,WAC,+2.23,103.2,138,101.0,152,65.2,329,141,+2.18,103.2,139,101.0
142,Pepperdine,WCC,+2.09,104.4,115,102.3,175,70.7,96,143,+2.08,104.4,116,102.3
143,Akron,MAC,+2.09,104.7,111,102.6,182,69.1,173,142,+2.09,104.6,112,102.5
144,Washington,P12,+2.00,101.9,164,99.9,135,70.9,87,144,+2.00,101.8,164,99.8
145,California,P12,+1.88,103.8,133,101.9,168,66.1,305,146,+1.88,103.7,134,101.8
146,George Mason,A10,+1.86,100.6,195,98.7,118,68.2,225,145,+1.88,100.4,196,98.5
147,Princeton,Ivy,+1.85,104.4,119,102.5,179,67.6,252,148,+1.86,104.3,118,102.4
148,Texas St.,SB,+1.84,100.8,187,99.0,121,64.1,347,147,+1.86,100.8,188,98.9
149,Northeastern,CAA,+1.68,100.2,203,98.6,114,67.6,247,149,+1.69,100.2,202,98.5
150,Indiana St.,MVC,+1.57,101.5,171,100.0,137,69.6,153,150,+1.56,101.4,171,99.9
151,Old Dominion,CUSA,+1.52,100.9,186,99.4,127,67.8,241,151,+1.52,100.8,187,99.3
152,Northern Iowa,MVC,+1.35,104.7,112,103.3,198,71.0,85,152,+1.33,104.6,113,103.2
153,Oregon St.,P12,+1.24,105.5,99,104.3,217,64.9,334,153,+1.33,105.5,98,104.1
154,Coastal Carolina,SB,+1.15,104.0,131,102.8,183,70.2,126,154,+1.15,103.9,132,102.7
155,Kansas St.,B12,+0.69,103.0,142,102.3,174,64.7,340,155,+0.68,103.0,140,102.3
156,North Dakota St.,Sum,+0.56,101.6,168,101.0,153,65.2,327,156,+0.57,101.4,169,100.9
157,Harvard,Ivy,+0.51,102.2,156,101.7,164,69.0,178,157,+0.52,102.2,157,101.6
158,Stephen F. Austin,Slnd,+0.34,100.5,197,100.2,142,71.0,80,159,+0.36,100.4,195,100.1
