Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+32.95,123.9,2,91.0,13,75.1,8,1,+34.04,124.4,2,90.4
2,Baylor,B12,+32.78,119.9,4,87.2,1,69.4,158,2,+33.72,120.7,3,87.0
3,Michigan,B10,+28.19,116.8,7,88.6,4,68.4,210,3,+28.05,116.8,7,88.8
4,Iowa,B10,+27.07,124.5,1,97.5,95,71.1,74,4,+27.12,124.6,1,97.5
5,Villanova,BE,+26.14,120.1,3,93.9,46,64.1,349,5,+26.29,119.3,4,93.0
6,Houston,Amer,+25.67,114.1,17,88.4,3,66.5,291,6,+26.12,113.6,18,87.5
7,Virginia,ACC,+24.96,115.3,10,90.3,9,59.2,357,9,+24.41,115.3,12,90.8
8,Wisconsin,B10,+24.94,113.8,19,88.9,6,64.5,341,11,+23.55,112.9,23,89.3
9,Texas,B12,+24.76,114.3,15,89.6,8,69.6,148,8,+24.70,114.3,15,89.6
10,Illinois,B10,+24.49,116.5,8,92.0,26,71.1,73,7,+24.70,116.6,8,91.9
11,Alabama,SEC,+24.17,114.7,13,90.5,11,74.5,11,10,+24.23,114.5,13,90.3
12,Tennessee,SEC,+22.87,110.3,53,87.4,2,66.1,306,19,+21.82,109.9,57,88.1
13,Texas Tech,B12,+22.77,111.5,37,88.7,5,66.9,279,12,+22.84,111.5,36,88.6
14,Kansas,B12,+22.39,113.5,20,91.1,14,68.2,220,17,+21.99,113.3,19,91.3
15,Creighton,BE,+22.14,115.2,11,93.1,35,70.3,117,14,+22.38,115.5,10,93.1
16,Colorado,P12,+21.62,114.4,14,92.8,33,67.7,243,18,+21.85,114.5,14,92.7
17,West Virginia,B12,+21.47,113.4,21,91.9,23,68.5,202,16,+22.10,112.9,24,90.8
18,Ohio St.,B10,+21.39,117.8,5,96.4,76,66.3,299,13,+22.76,118.3,5,95.6
19,Florida St.,ACC,+21.35,114.9,12,93.6,41,69.5,152,15,+22.31,115.3,11,93.0
20,Oregon,P12,+20.65,113.1,23,92.4,30,69.6,145,28,+18.44,111.7,35,93.3
21,USC,P12,+20.02,111.3,39,91.2,16,68.6,197,20,+20.36,111.9,31,91.5
22,Minnesota,B10,+19.88,112.6,29,92.7,32,71.3,66,30,+18.26,110.7,43,92.4
23,Indiana,B10,+19.71,110.9,43,91.2,15,66.7,286,21,+19.84,110.9,40,91.1
24,Loyola Chicago,MVC,+19.49,110.7,47,91.3,18,65.3,321,24,+19.21,110.5,50,91.3
25,Florida,SEC,+19.49,111.9,33,92.4,29,71.0,77,23,+19.54,113.0,21,93.5
26,Oklahoma,B12,+19.11,112.7,28,93.6,40,68.8,183,22,+19.76,113.1,20,93.3
27,UCLA,P12,+18.86,115.5,9,96.6,80,64.8,332,25,+18.77,115.6,9,96.8
28,Connecticut,BE,+18.68,110.7,48,92.1,28,64.6,339,26,+18.55,110.8,42,92.3
29,Duke,ACC,+18.43,112.4,30,94.0,47,69.2,165,32,+17.79,111.8,33,94.0
30,Arizona,P12,+18.35,114.1,16,95.8,65,69.7,136,27,+18.45,114.1,16,95.6
31,Purdue,B10,+18.11,110.2,54,92.1,27,67.0,276,29,+18.31,110.2,53,91.9
32,LSU,SEC,+18.07,117.6,6,99.5,127,70.7,95,40,+17.08,117.0,6,99.9
33,Saint Louis,A10,+18.02,111.1,40,93.1,36,68.5,201,33,+17.74,111.0,39,93.3
34,Oklahoma St.,B12,+17.87,110.3,52,92.5,31,71.2,70,38,+17.25,110.4,51,93.2
35,Virginia Tech,ACC,+17.71,111.1,41,93.4,38,66.8,281,43,+16.22,110.5,49,94.3
