Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+31.79,122.2,2,90.5,15,75.9,7,1,+32.11,123.7,1,91.5
2,Baylor,B12,+31.31,119.7,3,88.4,5,70.1,151,2,+31.80,119.3,4,87.5
3,Villanova,BE,+26.71,119.4,4,92.7,39,64.1,351,5,+26.75,119.7,3,93.0
4,Iowa,B10,+26.65,122.9,1,96.3,77,72.0,58,3,+27.42,123.5,2,96.0
5,Illinois,B10,+25.61,116.5,6,90.9,18,71.9,62,8,+24.67,116.0,10,91.4
6,Wisconsin,B10,+25.61,114.8,9,89.2,7,65.4,336,11,+23.88,113.9,11,90.0
7,Michigan,B10,+24.99,116.2,7,91.2,19,68.5,234,4,+27.11,117.4,6,90.3
8,Texas,B12,+24.92,112.7,14,87.8,3,69.4,194,7,+24.71,113.8,12,89.1
9,Tennessee,SEC,+23.68,110.5,37,86.8,2,67.3,293,6,+24.72,111.9,29,87.2
10,Creighton,BE,+23.50,115.3,8,91.8,28,71.2,87,10,+23.97,116.5,7,92.5
11,Houston,Amer,+23.43,112.3,16,88.9,6,66.4,315,9,+24.09,112.7,20,88.6
12,Kansas,B12,+23.29,113.3,11,90.0,11,69.4,193,13,+22.47,112.6,22,90.1
13,West Virginia,B12,+21.48,112.7,13,91.3,20,69.0,212,15,+21.29,113.0,15,91.7
14,Texas Tech,B12,+20.74,109.0,56,88.3,4,66.8,302,12,+23.03,112.1,27,89.0
15,Clemson,ACC,+20.65,107.4,72,86.8,1,66.8,301,19,+20.86,107.7,72,86.8
16,Duke,ACC,+20.56,112.3,17,91.8,26,70.0,152,26,+19.21,112.4,24,93.2
17,Oregon,P12,+20.33,112.1,21,91.7,25,70.4,137,20,+20.52,112.9,16,92.4
18,Virginia,ACC,+20.28,110.9,33,90.6,16,59.9,357,16,+21.23,111.8,33,90.6
19,Colorado,P12,+20.15,112.4,15,92.2,32,67.9,265,14,+22.02,112.9,17,90.8
20,USC,P12,+20.07,110.8,34,90.7,17,69.3,197,17,+21.20,111.6,35,90.4
21,Ohio St.,B10,+19.94,114.7,10,94.7,58,66.7,309,18,+21.18,116.2,8,95.0
22,Indiana,B10,+19.34,109.1,54,89.8,9,66.7,308,37,+17.82,109.6,56,91.8
23,Florida,SEC,+18.92,111.8,22,92.8,42,71.4,80,38,+17.49,111.8,32,94.3
24,Connecticut,BE,+18.80,111.1,31,92.3,33,65.7,329,23,+19.92,110.9,42,91.0
25,Alabama,SEC,+18.76,111.5,24,92.7,40,73.3,29,21,+20.25,112.6,21,92.3
26,Louisville,ACC,+18.63,110.3,41,91.7,21,66.5,314,27,+18.94,111.0,40,92.1
27,Saint Louis,A10,+18.30,110.8,35,92.5,36,68.9,214,32,+18.14,110.9,41,92.8
28,Minnesota,B10,+18.25,111.6,23,93.4,45,72.4,49,34,+18.01,111.9,30,93.9
29,Rutgers,B10,+18.12,110.3,42,92.1,31,69.6,180,39,+17.17,110.5,45,93.4
30,North Carolina,ACC,+18.08,108.3,61,90.2,13,71.2,88,35,+17.97,108.9,59,91.0
31,Florida St.,ACC,+18.03,110.5,38,92.5,35,70.7,115,25,+19.79,113.1,14,93.3
32,UCLA,P12,+18.03,113.1,12,95.1,60,65.2,341,24,+19.90,116.0,9,96.1
33,LSU,SEC,+18.01,117.2,5,99.2,123,69.5,184,22,+20.25,118.0,5,97.7
