,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,83.23,64.6,50.33,36.36,24.54,16.75,4.970149253731344
1,Illinois,EliteEight,16,100.0,90.09,62.93,41.65,26.9,16.06,9.39,9.649627263045792
2,Arizona,FinalFour,9,100.0,78.0,48.94,35.91,22.25,15.17,8.4,10.904761904761903
3,Duke,FinalFour,1,100.0,78.37,53.63,36.56,22.61,12.51,7.45,12.422818791946309
4,Houston,EliteEight,13,100.0,76.08,52.11,33.01,19.64,13.27,7.27,12.755158184319122
5,Purdue,SweetSixteen,3,100.0,71.24,45.25,30.23,19.19,10.49,5.23,18.12045889101338
6,Connecticut,FinalFour,8,100.0,72.26,49.55,33.14,19.0,10.41,5.16,18.37984496124031
7,Vanderbilt,SweetSixteen,2,100.0,77.96,48.72,28.05,15.6,9.74,4.57,20.88183807439825
8,Iowa St.,EliteEight,9,100.0,75.29,43.89,30.46,14.12,7.85,4.46,21.421524663677133
9,Florida,SweetSixteen,13,100.0,66.06,37.25,17.32,10.77,5.94,3.04,31.89473684210526
10,Kansas,SweetSixteen,4,100.0,67.79,42.82,22.53,8.24,3.8,1.98,49.505050505050505
11,Louisville,south,6,100.0,62.23,29.22,14.29,8.11,4.4,1.84,53.347826086956516
12,Nebraska,EliteEight,12,100.0,65.09,34.43,18.96,9.02,4.28,1.75,56.142857142857146
13,Tennessee,SweetSixteen,14,100.0,65.16,41.62,19.98,11.01,4.37,1.72,57.139534883720934
14,Gonzaga,SweetSixteen,8,100.0,66.83,37.94,17.23,8.55,3.91,1.71,57.4795321637427
15,Virginia,SweetSixteen,15,100.0,63.45,35.53,18.07,8.69,4.24,1.64,59.97560975609756
16,Michigan St.,SweetSixteen,9,100.0,59.11,34.59,17.6,7.66,2.97,1.5,65.66666666666667
17,Texas Tech,west,5,100.0,57.56,34.92,16.82,7.39,3.35,1.48,66.56756756756756
18,Iowa,east,7,100.0,57.19,31.1,17.73,7.68,3.01,1.45,67.96551724137932
19,Alabama,east,5,100.0,62.57,37.87,11.58,6.49,2.28,1.18,83.7457627118644
20,Indiana,midwest,9,100.0,56.04,27.89,14.7,7.43,2.8,0.99,100.01010101010101
21,N.C. State,east,8,100.0,56.21,23.08,13.67,6.19,2.01,0.93,106.5268817204301
22,Saint Louis,west,6,100.0,60.51,33.42,15.53,6.92,2.37,0.87,113.94252873563218
23,Clemson,south,7,100.0,64.64,29.01,13.2,5.96,2.53,0.83,119.48192771084338
24,Arkansas,east,6,100.0,64.27,36.36,14.72,4.6,1.9,0.82,120.95121951219514
25,North Carolina,midwest,5,100.0,52.7,28.19,14.64,7.1,2.17,0.77,128.87012987012986
26,St. John's,west,7,100.0,60.29,22.17,13.82,4.87,1.54,0.67,148.25373134328356
27,BYU,south,5,100.0,55.11,26.37,11.48,4.62,2.04,0.64,155.25
28,Utah St.,south,8,100.0,45.13,21.13,12.04,4.55,1.81,0.63,157.73015873015873
29,Saint Mary's,midwest,11,100.0,49.94,24.69,11.52,5.37,1.92,0.61,162.9344262295082
30,Villanova,south,9,100.0,54.87,23.37,11.2,4.16,2.08,0.56,177.57142857142856
31,Auburn,midwest,7,100.0,55.64,29.53,13.38,6.43,1.79,0.54,184.18518518518516
32,Georgia,midwest,10,100.0,44.36,25.2,10.85,4.23,1.45,0.45,221.2222222222222
33,Wisconsin,west,9,100.0,42.64,15.92,8.34,3.16,1.14,0.4,248.99999999999997
34,UCLA,west,10,100.0,39.71,13.99,6.95,3.48,1.12,0.37,269.27027027027026
35,Kentucky,midwest,6,100.0,50.06,17.96,8.88,3.19,1.13,0.34,293.1176470588235
36,Texas A&M,west,8,100.0,57.36,23.24,12.05,4.68,1.25,0.3,332.33333333333337
37,SMU,east,9,100.0,43.79,9.37,3.54,1.69,0.59,0.22,453.54545454545456
38,UCF,midwest,8,100.0,43.96,15.87,7.29,3.49,1.06,0.17,587.235294117647
39,Miami FL,east,11,100.0,35.73,14.42,4.44,1.37,0.39,0.15,665.6666666666666
40,Tulsa,south,12,100.0,44.89,22.33,7.02,2.33,0.63,0.14,713.2857142857142
41,Texas,east,10,100.0,42.81,19.65,7.15,1.59,0.57,0.11,908.0909090909091
42,New Mexico,south,11,100.0,37.77,12.32,3.87,1.63,0.51,0.11,908.0909090909091
