,away_team,home_team,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME
0,Montana St Bobcats,Purdue Boilermakers,2024-03-16 10:00:58-05:00,-27,-27,-27,Montana St.,Purdue
1,Longwood Lancers,Houston Cougars,2024-03-16 10:05:00-05:00,-22.5,-22.5,-22.5,Longwood,Houston
2,Stetson Hatters,Connecticut Huskies,2024-03-16 12:00:00-05:00,-26.5,-26.5,-26.5,Stetson,Connecticut
3,Western Kentucky Hilltoppers,Marquette Golden Eagles,2024-03-16 12:00:08-05:00,-14.5,-14.5,-14.5,Western Kentucky,Marquette
4,Colgate Raiders,Baylor Bears,2024-03-16 12:00:08-05:00,-13.5,-13.5,-13.5,Colgate,Baylor
5,Yale Bulldogs,Auburn Tigers,2024-03-16 12:00:30-05:00,-12.5,-12.5,-12.5,Yale,Auburn
6,Vermont Catamounts,Duke Blue Devils,2024-03-16 13:00:00-05:00,-11.5,-11.5,-11.5,Vermont,Duke
7,Charleston Cougars,Alabama Crimson Tide,2024-03-16 14:05:00-05:00,-10.5,-10.5,-10.5,College of Charleston,Alabama
8,UAB Blazers,San Diego St Aztecs,2024-03-16 14:30:00-05:00,-7.5,-7.5,-7.5,UAB,San Diego St.
9,James Madison Dukes,Wisconsin Badgers,2024-03-16 14:30:06-05:00,-4.5,-4.5,-4.5,James Madison,Wisconsin
10,Grand Canyon Antelopes,Saint Marys Gaels,2024-03-16 14:30:40-05:00,-5.5,-5.5,-5.5,Grand Canyon,Saint Mary's
11,New Mexico Lobos,Clemson Tigers,2024-03-16 16:35:00-05:00,2.5,2.5,2.5,New Mexico,Clemson
12,Colorado Buffaloes,Florida Gators,2024-03-16 17:00:25-05:00,-4,-4,-4,Colorado,Florida
13,Northwestern Wildcats,Florida Atlantic Owls,2024-03-16 17:05:00-05:00,-2.5,-2.5,-2.5,Northwestern,Florida Atlantic
14,Texas AM Aggies,Nebraska Cornhuskers,2024-03-16 17:30:18-05:00,-2.5,-2.5,-2.5,Texas A&M,Nebraska
15,texas christian horned frogs,Utah St Aggies,2024-03-16 18:30:24-05:00,3.5,3.5,3.5,TCU,Utah St.
