,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,90.27,72.64,58.21,40.21,25.29,16.38,5.1050061050061055
1,Arizona,FinalFour,9,100.0,83.82,62.75,43.57,29.73,18.46,10.69,8.354536950420954
2,Duke,FinalFour,1,100.0,83.35,53.23,39.42,27.35,17.27,10.51,8.514747859181732
3,Houston,EliteEight,9,100.0,81.83,59.16,41.37,22.68,13.04,7.39,12.531799729364005
4,Florida,FinalFour,8,100.0,79.84,55.43,37.54,23.32,12.75,6.8,13.705882352941178
5,Illinois,SweetSixteen,3,100.0,74.42,55.98,34.92,22.82,13.47,6.76,13.792899408284024
6,Purdue,EliteEight,16,100.0,79.84,52.97,34.82,19.6,10.73,6.2,15.129032258064516
7,Iowa St.,EliteEight,12,100.0,75.69,49.22,31.33,17.3,9.23,4.7,20.27659574468085
8,Connecticut,EliteEight,13,100.0,74.91,51.8,33.63,16.63,8.57,3.69,26.100271002710027
9,Vanderbilt,SweetSixteen,2,100.0,69.3,36.39,21.41,11.11,6.1,2.8,34.714285714285715
10,St. John's,midwest,5,100.0,67.36,43.45,22.79,11.09,4.98,2.0,49.0
11,Arkansas,SweetSixteen,15,100.0,65.62,40.3,20.57,10.95,4.96,1.8,54.55555555555556
12,Michigan St.,SweetSixteen,4,100.0,72.12,42.07,19.87,8.98,3.99,1.79,54.865921787709496
13,Alabama,SweetSixteen,9,100.0,68.4,41.72,18.13,9.28,3.95,1.71,57.4795321637427
14,Tennessee,west,6,100.0,55.61,34.13,16.06,7.89,3.71,1.63,60.34969325153375
15,Gonzaga,SweetSixteen,8,100.0,63.14,36.05,19.01,9.04,3.66,1.61,61.11180124223602
16,Nebraska,SweetSixteen,14,100.0,62.52,36.08,18.8,8.84,4.44,1.57,62.69426751592357
17,Louisville,south,6,100.0,61.01,35.62,18.63,7.72,3.46,1.31,75.33587786259541
18,Virginia,SweetSixteen,13,100.0,54.76,33.0,13.16,6.29,3.11,1.25,79.0
19,Texas Tech,west,5,100.0,61.32,33.27,12.66,6.7,2.55,1.22,80.9672131147541
20,Kansas,south,5,100.0,57.27,31.8,13.39,6.71,3.0,1.01,98.009900990099
21,Wisconsin,east,5,100.0,56.98,28.94,9.82,3.84,1.71,0.65,152.84615384615384
22,BYU,east,6,100.0,56.06,28.79,12.88,4.98,1.96,0.59,168.4915254237288
23,Ohio St.,west,8,100.0,53.64,21.52,11.92,5.38,1.76,0.57,174.4385964912281
24,Saint Mary's,midwest,7,100.0,49.31,25.8,11.48,3.83,1.48,0.52,191.30769230769232
25,Iowa,west,9,100.0,46.36,20.25,10.07,4.4,1.34,0.49,203.08163265306123
26,UCLA,west,7,100.0,45.84,20.29,10.18,3.31,0.98,0.49,203.08163265306123
27,Utah St.,south,9,100.0,51.91,18.05,9.26,4.71,1.7,0.47,211.76595744680853
28,Miami FL,south,7,100.0,55.01,26.57,10.49,3.97,1.35,0.44,226.27272727272728
29,North Carolina,midwest,6,100.0,59.41,22.13,8.68,3.73,1.35,0.37,269.27027027027026
30,Georgia,midwest,8,100.0,53.17,21.65,9.0,2.92,0.96,0.34,293.1176470588235
31,Kentucky,east,7,100.0,54.41,18.56,9.41,2.65,0.83,0.34,293.1176470588235
32,Villanova,south,8,100.0,48.09,15.73,7.22,3.37,1.19,0.31,321.5806451612903
33,Clemson,east,8,100.0,54.93,16.04,7.93,2.71,0.85,0.26,383.6153846153846
34,N.C. State,east,9,100.0,45.07,9.33,4.05,1.81,0.65,0.26,383.6153846153846
35,SMU,south,11,100.0,38.99,19.01,6.46,2.18,0.66,0.23,433.78260869565213
36,Texas,east,11,100.0,43.94,21.86,7.92,2.35,0.69,0.19,525.3157894736842
