,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,82.57,61.95,46.65,32.69,22.37,14.54,5.877579092159561
1,Arizona,FinalFour,9,100.0,84.45,65.08,48.49,31.83,21.1,12.26,7.156606851549755
2,Illinois,EliteEight,13,100.0,78.79,57.24,42.34,28.29,19.64,11.69,7.554319931565441
3,Duke,FinalFour,1,100.0,76.31,52.38,39.13,27.1,15.57,8.87,10.273957158962796
4,Florida,SweetSixteen,4,100.0,72.54,50.21,32.56,19.22,11.62,6.69,13.947683109118087
5,Purdue,EliteEight,16,100.0,81.87,54.18,34.03,20.86,10.68,5.42,17.45018450184502
6,Houston,EliteEight,9,100.0,73.61,46.72,28.72,17.42,9.7,5.17,18.342359767891683
7,Iowa St.,EliteEight,12,100.0,71.8,54.79,34.31,20.03,10.17,5.11,18.569471624266143
8,Connecticut,FinalFour,8,100.0,70.6,49.06,31.54,17.16,8.41,3.91,24.575447570332482
9,Vanderbilt,midwest,5,100.0,71.31,45.98,23.67,14.04,5.82,2.36,41.37288135593221
10,Nebraska,SweetSixteen,3,100.0,68.32,38.95,24.44,12.34,4.84,2.02,48.504950495049506
11,Texas Tech,SweetSixteen,9,100.0,67.29,38.82,21.99,11.27,4.44,2.0,49.0
12,Virginia,SweetSixteen,2,100.0,72.96,46.74,19.94,8.87,4.58,1.93,50.81347150259067
13,Tennessee,SweetSixteen,14,100.0,68.31,33.26,19.01,10.72,4.35,1.88,52.19148936170213
14,Gonzaga,SweetSixteen,8,100.0,65.41,37.0,18.47,9.31,3.61,1.44,68.44444444444444
15,Arkansas,east,5,100.0,65.55,39.45,14.26,5.82,3.06,1.34,73.62686567164178
16,Kansas,SweetSixteen,15,100.0,62.46,36.69,17.5,5.74,3.11,1.24,79.64516129032259
17,Louisville,south,5,100.0,61.53,35.71,13.21,5.64,2.73,1.12,88.28571428571428
18,Alabama,SweetSixteen,13,100.0,63.77,33.2,15.36,6.38,2.55,1.07,92.45794392523365
19,St. John's,west,6,100.0,53.37,30.04,13.64,6.04,2.41,1.04,95.15384615384615
20,Michigan St.,west,5,100.0,56.91,33.63,13.68,5.63,2.41,1.04,95.15384615384615
21,Iowa,midwest,8,100.0,55.87,28.28,12.72,5.51,2.09,0.72,137.88888888888889
22,Wisconsin,south,6,100.0,57.38,30.91,10.43,4.56,1.95,0.67,148.25373134328356
23,Utah St.,south,7,100.0,48.98,19.94,10.36,3.16,1.51,0.54,184.18518518518516
24,Indiana,south,10,100.0,51.02,17.09,9.2,4.12,1.74,0.5,199.0
25,Saint Louis,west,7,100.0,61.2,23.06,12.11,5.02,1.53,0.49,203.08163265306123
26,BYU,east,6,100.0,60.24,28.12,12.84,4.18,1.43,0.46,216.3913043478261
27,N.C. State,east,7,100.0,52.39,26.36,11.05,3.93,1.28,0.44,226.27272727272728
28,Texas,east,9,100.0,48.36,18.52,9.9,3.0,1.23,0.4,248.99999999999997
29,North Carolina,midwest,6,100.0,50.59,28.32,11.43,4.55,1.45,0.39,255.4102564102564
30,Ohio St.,midwest,11,100.0,49.41,24.82,11.0,4.9,1.46,0.38,262.15789473684214
31,Villanova,south,9,100.0,49.02,15.19,6.68,2.59,1.24,0.35,284.7142857142857
32,Saint Mary's,west,9,100.0,56.71,20.91,9.84,3.87,1.19,0.34,293.1176470588235
33,Auburn,west,11,100.0,46.63,24.91,12.15,3.62,1.0,0.32,311.5
34,Clemson,east,10,100.0,47.61,19.6,7.17,2.17,1.09,0.31,321.5806451612903
35,Texas A&M,west,8,100.0,43.29,22.01,8.84,3.67,0.9,0.29,343.82758620689657
36,SMU,south,8,100.0,50.98,16.62,7.5,2.51,1.05,0.28,356.1428571428571
37,Kentucky,midwest,7,100.0,52.9,15.58,6.39,2.96,0.75,0.18,554.5555555555555
38,Miami FL,midwest,9,100.0,44.13,18.39,7.23,2.74,0.61,0.13,768.2307692307693
39,UCF,midwest,10,100.0,47.1,18.27,7.27,2.11,0.43,0.13,768.2307692307693
40,Georgia,east,8,100.0,51.64,15.97,6.15,1.66,0.4,0.11,908.0909090909091
41,Missouri,east,11,100.0,39.76,15.07,4.87,1.34,0.24,0.09,1110.111111111111
42,UCLA,west,10,100.0,38.8,17.88,7.68,1.81,0.43,0.06,1665.6666666666667
43,South Florida,south,12,100.0,38.47,14.64,3.53,0.85,0.17,0.05,1999.0
44,Belmont,west,12,100.0,43.09,17.78,4.23,1.15,0.19,0.04,2499.0
45,High Point,east,13,100.0,36.23,13.24,3.08,0.62,0.12,0.04,2499.0
46,Navy,midwest,14,100.0,31.68,7.91,2.18,0.81,0.09,0.04,2499.0
47,Utah Valley,west,13,100.0,32.71,9.77,1.6,0.36,0.06,0.03,3332.3333333333335
48,Robert Morris,west,16,100.0,23.69,4.7,0.69,0.1,0.05,0.03,3332.3333333333335
49,Miami OH,south,11,100.0,42.62,16.48,4.43,0.48,0.13,0.02,4999.0
50,Yale,east,12,100.0,34.45,14.11,3.21,0.69,0.3,0.01,9999.0
51,Stephen F. Austin,midwest,12,100.0,28.69,10.43,2.48,0.73,0.16,0.01,9999.0
52,Southeast Missouri St.,east,16,100.0,17.43,3.56,1.39,0.46,0.09,0.01,9999.0
53,Bethune Cookman,midwest,16,100.0,29.4,4.27,0.96,0.23,0.14,0.0,0.0
54,Portland St.,south,15,100.0,21.21,5.73,2.37,0.47,0.1,0.0,0.0
