,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,90.26,73.13,55.7,40.18,26.11,16.34,5.119951040391677
1,Arizona,FinalFour,9,100.0,79.11,61.29,47.22,36.1,23.45,14.51,5.891798759476223
2,Duke,FinalFour,1,100.0,84.58,60.98,44.47,30.46,18.95,11.43,7.748906386701662
3,Illinois,SweetSixteen,3,100.0,71.48,54.86,40.0,26.56,16.28,8.93,10.19820828667413
4,Florida,FinalFour,8,100.0,76.44,49.09,34.93,21.38,12.41,6.58,14.19756838905775
5,Houston,EliteEight,9,100.0,77.02,52.25,36.24,18.85,10.25,6.34,14.772870662460567
6,Purdue,EliteEight,16,100.0,82.11,56.39,35.88,19.11,10.7,5.49,17.214936247723134
7,Iowa St.,EliteEight,12,100.0,73.79,52.59,30.41,17.98,9.72,4.66,20.459227467811157
8,Connecticut,EliteEight,13,100.0,67.77,49.89,29.95,13.77,6.87,2.86,33.96503496503497
9,Vanderbilt,SweetSixteen,2,100.0,69.31,41.23,23.67,10.57,4.93,2.1,46.61904761904762
10,St. John's,midwest,5,100.0,64.58,39.23,20.42,10.44,4.71,2.06,47.543689320388346
11,Tennessee,west,6,100.0,53.73,33.13,18.58,9.25,4.48,2.06,47.543689320388346
12,Alabama,SweetSixteen,9,100.0,71.63,36.86,18.27,10.26,4.54,2.0,49.0
13,Michigan St.,SweetSixteen,4,100.0,73.14,42.21,25.07,10.0,4.28,1.63,60.34969325153375
14,Texas Tech,west,5,100.0,69.15,40.83,16.49,8.71,3.46,1.36,72.52941176470588
15,Arkansas,SweetSixteen,15,100.0,62.47,36.27,14.91,7.58,3.17,1.23,80.30081300813008
16,Nebraska,SweetSixteen,14,100.0,61.76,35.61,18.51,7.84,3.53,1.21,81.64462809917356
17,Wisconsin,east,5,100.0,55.89,34.42,12.7,5.96,2.38,1.01,98.009900990099
18,Gonzaga,SweetSixteen,8,100.0,62.46,35.3,17.5,5.63,2.35,0.98,101.0408163265306
