,away_team_x,home_team_x,commence_time,DraftKings,BetMGM spreads,Caesars spreads,FanDuel,BetOnline.ag spreads,BetRivers spreads,teams,date,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Team,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team_y,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team_y,home_team_y,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas
0,Alabama Crimson Tide,Arizona Wildcats,2023-12-20 22:00:00-06:00,-7.5,-7.5,-8.0,-7.5,-7.5,-7.5,Alabama Crimson Tide vs Arizona Wildcats,12/20/2023,AlabamaArizona12-20,2023-12-20 00:00:00,SEC vs. P12,5 Alabama vs. 4 Arizona,"Arizona -2.1, 89-87 (57%)",97.21989617656696,0,N,Alabama,12/20/2023,123.02522962608852,98.6189883896063,0.9270981042900496,0.4325736498706964,86.81689096917844,Arizona,117.67276611215502,92.128615395937,0.9434438610515204,0.5674263501293035,88.88981582928893,79.79514599029434,Alabama,0,,,,,,,,,,,,,,,,,0.3504461853261523,0.4144206521088455,738874,,,,5,4,,,,Alabama,Arizona,-2.07292486011049,175.7067067984674,-0.2,3.5,3.2,3.3,71.2,101.4,20231220,23.10000000000001,124.4,101.3,72.6,29.60000000000001,120.4,90.8,75.5,,,,,,Alabama,24.406000000000006,123.025,98.619,73.0541,25.544399999999996,117.673,92.1286,75.4516,Alabama,72.67154506266935,30.936705977441488,27.384138770534594,127.08784132860585,99.70370255807123,75.63623750781608,38.01339897496478,29.522883471991623,116.38613500246893,86.86325153047726,85.75744877335279,92.59798921281825,178.35543798617104,-6.840540439465457,76.98455056179772,86.53323604935161,88.59975479694248,175.1329908462941,-2.0665187475908624,77.41641476910111,84.04588356116409,88.3464076081911,172.3922911693552,-4.300524047027011,77.19946969691036,-5.463169466166391,77.19946969691036,-0.07719946969690739,77.19946969691036,Alabama Crimson Tide,Arizona Wildcats,76.24747379730235,69.85733980273233,-6.3901339945700215
1,North Carolina Tar Heels,Oklahoma Sooners,2023-12-20 20:00:00-06:00,3.0,2.5,3.0,2.5,3.0,2.5,North Carolina Tar Heels vs Oklahoma Sooners,12/20/2023,North CarolinaOklahoma12-20,2023-12-20 00:00:00,ACC vs. B12,16 North Carolina vs. 22 Oklahoma,"North Carolina -0.8, 78-77 (53%)",87.40778302557857,0,N,North Carolina,12/20/2023,117.724155112984,97.7833808604832,0.8941906621002106,0.53018448648615,77.86628175657,Oklahoma,111.44157878434804,93.54313285513255,0.8821963406727096,0.46981551351385,77.0520590622555,73.66020393350011,North Carolina,0,,,,,,,,,,,,,,,,,0.5458283335201197,0.5157308894882962,738874,,,,16,22,,,,North Carolina,Oklahoma,0.814222694314509,154.9183408188255,-16.4,-12.6,-13.0,3.3,71.2,101.4,20231220,21.099999999999994,118.6,97.5,72.8,21.60000000000001,114.2,92.6,69.5,,,,,,North Carolina,19.940600000000003,117.724,97.7834,72.8209,17.898899999999998,111.442,93.5431,69.8736,North Carolina,72.37122355684023,13.301725543851832,15.566752066109656,114.13710148681066,98.570349420701,70.14680557392577,26.40091091754155,20.607114858130558,112.57608723449651,91.9689723763659,76.96511293575337,78.03132022471908,154.99643316047246,-1.066207288965714,71.06179775280897,77.6118402598492,76.80071165999396,154.41255191984317,0.8111285998552376,71.46430390786516,73.81150120654799,78.0276111494759,151.8391123560239,-4.216109942927915,71.30070432568525,-9.339811432367924,71.30070432568525,-11.622014805086685,71.30070432568525,North Carolina Tar Heels,Oklahoma Sooners,40.590361400171645,81.31343598710427,40.723074586932626
2,Baylor Bears,Duke Blue Devils,2023-12-20 18:00:00-06:00,-3.0,-3.5,-3.0,-2.5,-3.0,-3.5,Baylor Bears vs Duke Blue Devils,12/20/2023,BaylorDuke12-20,2023-12-20 00:00:00,B12 vs. ACC,21 Baylor vs. 18 Duke,"Duke -0.5, 79-78 (52%)",86.48053304728458,0,N,Baylor,12/20/2023,118.96316091557964,99.83492067714624,0.8824566236449471,0.4806517165636927,78.31771562876796,Duke,116.71544254964144,97.29132356434778,0.89025358947153,0.5193482834363072,78.8468237585976,70.49111461863,Baylor,0,,,,,,,,,,,,,,,,,0.5259493066010265,0.545206801301625,738874,,,,21,18,,,,Baylor,Duke,-0.5291081298296376,157.16453938736555,8.7,-6.5,0.1,-8.6,71.2,101.4,20231220,22.099999999999994,121.3,99.2,70.4,22.400000000000006,118.7,96.3,69.0,,,,,,Baylor,19.12809999999999,118.963,99.8349,70.3189,19.423699999999997,116.715,97.2913,69.2467,Baylor,69.85131041335512,25.456658454872432,22.192802747477316,117.60949887837602,95.4166961308987,68.25874295769658,11.199622738309786,15.075914996458149,117.12704009694244,102.05112510048424,78.5942708596503,79.22571956651818,157.8199904261685,-0.6314487068678858,68.2247191011236,78.06189961880371,78.58909055097779,156.6509901697815,-0.5271909321740793,68.3897720875,79.26383703489122,73.80681058366848,153.0706476185597,5.457026451222745,66.96576745454328,9.547333383864526,66.96576745454328,5.826021768545267,66.96576745454328,Baylor Bears,Duke Blue Devils,59.409638599828355,18.160385170911297,-41.24925342891706
3,Xavier Musketeers,St. John's Red Storm,2023-12-20 18:00:00-06:00,-6.0,,-5.5,-5.5,-6.0,-5.5,Xavier Musketeers vs St. John's Red Storm,12/20/2023,XavierSt. John's12-20,2023-12-20 00:00:00,BE at BE,47 Xavier at 46 St. John's,"St. John's -4.4, 79-75 (66%)",72.4265702736007,1,H,Xavier,12/20/2023,107.92302708627608,97.1789833179922,0.769578660756528,0.3409632174794001,75.01290003002701,St. John's,114.58796920888854,97.43390629042428,0.8658715178553711,0.6590367825205998,79.43704804356975,74.314352158986,Xavier,0,,,,,,,,,,,,,,,,,0.5083418429527095,0.7842524416110181,738874,,,,47,46,,,,Xavier,St. John's,-4.424148013542734,154.44994807359677,-11.1,-7.3,-3.4,7.7,71.2,101.4,20231220,14.599999999999994,110.8,96.2,71.7,12.0,112.8,100.8,71.2,,,,,,Xavier,13.4131,109.345,95.9319,71.9406,14.399799999999999,113.117,98.7172,71.3567,Xavier,71.9280832699148,17.579634950290792,15.393864204355715,108.69743674226892,93.30357253791318,71.20331692353204,14.245286314063755,14.45793660226021,111.52887874049418,97.07094213823396,76.77773978970886,78.8935107168,155.67125050650884,-2.115770927091134,71.7,74.61677105778804,79.3336980394489,153.95046909723695,-4.716926981660862,72.09892994410112,72.76845287399001,75.90008861983944,148.66854149382945,-3.1316357458494224,71.93143411193743,0.06387492540949324,71.93143411193743,-10.041772064894701,71.93143411193743,Xavier Musketeers,St Johns Red Storm,69.97944856925476,49.75731189301369,-20.222136676241064
4,Villanova Wildcats,Creighton Bluejays,2023-12-20 20:00:00-06:00,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,Villanova Wildcats vs Creighton Bluejays,12/20/2023,VillanovaCreighton12-20,2023-12-20 00:00:00,BE at BE,25 Villanova at 7 Creighton,"Creighton -6.5, 72-66 (75%)",68.40496623755863,1,H,Villanova,12/20/2023,112.690367801501,97.31773725492091,0.8437792518525653,0.2537779799377405,65.66343846549078,Creighton,121.18295702271934,95.2829267959366,0.9407651917234084,0.7462220200622595,72.1199278868425,63.70634785319502,Villanova,0,,,,,,,,,,,,,,,,,0.2959048838921757,0.6920955943341769,738874,,,,25,7,,,,Villanova,Creighton,-6.456489421351719,137.7833663523333,-16.1,-6.3,-16.4,-0.3,71.2,101.4,20231220,17.599999999999994,114.5,96.9,65.0,22.599999999999994,118.6,96.0,67.7,,,,,,Villanova,18.1062,114.175,96.0688,65.0448,23.090100000000007,119.628,96.5379,67.656,Villanova,64.88567164936468,7.736714803406955,12.01819417877382,110.40537523642074,98.3871810576469,67.74867650953942,24.70973077656249,23.778961596304153,120.76162989106302,96.9826682947589,65.13503131719965,72.02254320278091,137.15757451998056,-6.887511885581262,61.80477528089888,65.31661192218709,72.02645987646714,137.34307179865425,-6.70984795428005,61.80717680898876,63.38257050058268,74.38323544484028,137.76580594542295,-11.0006649442576,61.74042666681181,-12.488400461873127,61.74042666681181,-11.524591522480428,61.74042666681181,Villanova Wildcats,Creighton Bluejays,76.24747379730235,88.28532392546278,12.037850128160429
5,Northwestern Wildcats,Arizona St Sun Devils,2023-12-20 19:30:00-06:00,4.0,4.5,4.0,3.5,4.0,4.5,Northwestern Wildcats vs Arizona St Sun Devils,12/20/2023,Arizona St.Northwestern12-20,2023-12-20 00:00:00,P12 vs. B10,96 Arizona St. vs. 56 Northwestern,"Northwestern -3.1, 68-65 (63%)",63.73708114661539,0,N,Arizona St.,12/20/2023,102.90898763551024,95.667994880948,0.6982658292516577,0.3674331260148514,65.0086295230828,Northwestern,110.93085164469396,98.36718035251002,0.7993598294381604,0.6325668739851485,68.15323902818005,66.90036003750454,,0,,,,,,,,,,,,,,,,,0.6931583148744388,0.7954622932975045,738874,,,,96,56,,,,Arizona St.,Northwestern,-3.1446095050972502,133.16186855126284,4.4,1.4,1.2,-3.2,71.2,101.4,20231220,5.5,103.3,97.8,71.6,11.799999999999997,111.3,99.5,64.4,,,,,,Arizona St.,7.241,102.909,95.668,71.5121,12.5638,110.931,98.3672,64.6227,Arizona St.,71.3088733354316,3.7904723588997014,5.795048072583314,101.18449514828005,95.38944707569672,65.06553114019054,8.858598025282037,10.85298101743582,110.34783784108642,99.49485682365057,65.64540669946591,69.52083187288079,135.16623857234669,-3.8754251734148824,64.76179775280899,64.79632122778787,67.93073366961498,132.72705489740287,-3.1344124418271093,64.9059688858146,64.69805220128697,67.64578872703989,132.34384092832687,-2.947736525752916,65.16502413733747,-3.3026453138086254,65.16502413733747,2.867261062042857,65.16502413733747,Arizona State Sun Devils,Northwestern Wildcats,36.944134018176364,62.3443636701008,25.400229651924434
6,UC Irvine Anteaters,New Mexico Lobos,2023-12-20 20:00:00-06:00,-8.5,-8.5,-9.0,-8.5,-8.5,-8.5,UC Irvine Anteaters vs New Mexico Lobos,12/20/2023,UC IrvineNew Mexico12-20,2023-12-20 00:00:00,BW at MWC,75 UC Irvine at 32 New Mexico,"New Mexico -9.0, 81-72 (79%)",63.05085152083173,0,H,UC Irvine,12/20/2023,105.66532994035082,98.59881319287136,0.6891187310231242,0.2069058697428298,72.49603915049529,New Mexico,114.39846674365828,94.97640616570014,0.8947005112574943,0.7930941302571701,81.48129541958347,75.25355253985548,UC Irvine,0,,,,,,,,,,,,,,,,,0.4399483609212648,0.8456069543793061,738874,,,,75,32,,,,UC Irvine,New Mexico,-8.985256269088183,153.97733457007877,-16.0,-1.4,-4.0,12.0,71.2,101.4,20231220,11.900000000000006,108.2,96.3,69.2,16.299999999999997,112.7,96.4,74.5,,,,,,UC Irvine,9.723500000000001,107.057,97.3335,69.6571,16.702600000000004,112.93,96.2274,74.6273,UC Irvine,68.82944839685224,12.60900885443426,8.31467595065608,108.21308058673634,99.89840463608022,73.33406819876657,27.289377957691617,19.494299676599493,115.56414053136685,96.06984085476734,72.41066619788695,79.68389081819664,152.0945570160836,-7.273224620309691,72.40730337078654,72.1128767672342,81.37532738943237,153.48820415666657,-9.262450622198173,73.01013060154494,70.66148827761901,82.9888363301426,153.6503246077616,-12.32734805252359,70.89246436542481,-12.788253732615743,70.89246436542481,-13.407182860789149,70.89246436542481,UC Irvine Anteaters,New Mexico Lobos,79.08930434072549,88.837450874274,9.748146533548507
7,Louisiana Tech Bulldogs,Seattle Redhawks,2023-12-20 21:00:00-06:00,-1.0,-1.5,-1.5,-1.5,-1.5,-1.5,Louisiana Tech Bulldogs vs Seattle Redhawks,12/20/2023,Louisiana TechSeattle12-20,2023-12-20 00:00:00,CUSA at WAC,90 Louisiana Tech at 105 Seattle,"Seattle -2.4, 66-64 (60%)",61.473465594690936,0,H,Louisiana Tech,12/20/2023,103.0023463903085,97.66418683440048,0.6483954465518388,0.3950723601115191,63.51943603410528,Seattle,106.42260414390466,97.23728335011158,0.7384704019836495,0.6049276398884809,65.91677008878673,66.06746930803469,,0,,,,,,,,,,,,,,,,,0.7027181651190424,0.8681342403759326,738874,,,,90,105,,,,Louisiana Tech,Seattle,-2.397334054681451,129.43620612289203,-1.3,-7.4,4.3,5.6,71.2,101.4,20231220,8.5,105.6,97.1,66.8,4.299999999999997,105.2,100.9,68.4,,,,,,Louisiana Tech,7.9482,104.359,96.4108,66.6383,6.5390000000000015,105.057,98.518,68.4857,Louisiana Tech,66.45965770674835,14.400441428176553,11.118095090828314,103.73758364655637,92.61948855572803,68.87643067804835,12.838959758033239,10.302237111745018,104.93228124790062,94.63004413615559,65.55767302876733,66.46997191599102,132.02764494475835,-0.9122988872236988,64.17303370786517,63.183719047943406,65.831303020192,129.0150220681354,-2.64758397224859,64.09790199873595,60.51036669929275,63.3575226623507,123.86788936164345,-2.8471559630579506,64.29078661412463,-1.0414271307072767,64.29078661412463,-2.7250292814262735,64.29078661412463,Louisiana Tech Bulldogs,Seattle Redhawks,55.67984968164682,53.95037267196171,-1.7294770096851124
8,UConn Huskies,Seton Hall Pirates,2023-12-20 18:00:00-06:00,8.5,8.5,8.5,8.5,8.5,8.5,UConn Huskies vs Seton Hall Pirates,12/20/2023,ConnecticutSeton Hall12-20,2023-12-20 00:00:00,BE at BE,3 Connecticut at 93 Seton Hall,"Connecticut -8.3, 74-66 (80%)",61.29355931956865,1,H,Connecticut,12/20/2023,118.11123246870984,94.56421784525456,0.9280422564388644,0.7972787210220309,73.96280353715362,Seton Hall,111.08753542729843,100.1878255423593,0.7663161913060265,0.2027212789779691,65.65977329414434,65.1130719755154,,0,,,,,,,,,,,,,,,,,0.6705520448575072,0.4848939388616839,738874,,,,3,93,,,,Connecticut,Seton Hall,8.303030243009275,139.62257683129798,3.5,0.4,-1.2,-4.7,71.2,101.4,20231220,29.5,122.7,93.2,65.9,9.199999999999989,111.6,102.4,67.6,,,,,,Connecticut,26.3163,119.667,93.3507,66.5521,8.155000000000001,109.662,101.507,67.5838,Connecticut,66.63748448999819,26.25920401585563,25.61304178047976,121.45510918556786,95.8420674050881,67.81876626950893,3.95512217936676,6.010368188545285,109.27097933095793,103.26061114241264,75.3724289656809,65.98879210209438,141.36122106777526,9.383636863586517,62.567977528089884,73.57167576787938,65.57466390058148,139.14633966846088,7.9970118672979,63.17196370758426,76.32289593484897,67.40427620213123,143.7271721369802,8.918619732717744,63.47292114347209,12.111319667673897,63.47292114347209,0.4967390808688208,63.47292114347209,Connecticut Huskies,Seton Hall Pirates,20.910695659274502,12.436101512568175,-8.474594146706327
9,Santa Clara Broncos,San José St Spartans,2023-12-20 21:00:00-06:00,3.0,3.5,3.0,3.5,3.0,3.5,Santa Clara Broncos vs San José St Spartans,12/20/2023,Santa ClaraSan Jose St.12-20,2023-12-20 00:00:00,WCC at MWC,127 Santa Clara at 148 San Jose St.,"San Jose St. -2.1, 74-72 (58%)",59.12912756291684,0,H,Santa Clara,12/20/2023,105.46116795148612,104.19094458581158,0.5347817964634665,0.416123955829049,71.62689362853943,San Jose St.,106.24657102074208,101.92041800118352,0.6172891422623489,0.583876044170951,73.76786968924145,69.41979341372404,,0,,,,,,,,,,,,,,,,,0.8053777722640386,0.9135050852689336,738874,,,,127,148,,,,Santa Clara,San Jose St.,-2.140976060702016,145.39476331778087,9.7,15.8,-7.6,-17.2,71.2,101.4,20231220,3.5,107.1,103.6,71.3,-0.8000000000000114,104.1,104.9,67.0,,,,,,Santa Clara,3.995999999999995,106.85,102.854,71.2356,1.6199999999999903,104.883,103.263,67.3166,Santa Clara,70.98498695301662,-1.4000801745436935,1.4816670338430322,104.78564275594917,103.30397572210612,67.56931776988085,-4.663218200332662,-2.7439675283219143,99.61089005204518,102.35485758036707,72.27118451863318,73.37240909261796,145.64359361125113,-1.10122457398478,67.0941011235955,71.24828336993818,73.67217776410672,144.9204611340449,-2.423894394168542,67.3502583,69.27270748419534,70.29069846044241,139.56340594463774,-1.0179909762470771,67.36526882470822,0.36917797760050064,67.36526882470822,4.814730493439541,67.36526882470822,Santa Clara Broncos,San Jose St Spartans,36.944134018176364,48.597615572822136,11.653481554645772
