,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,88.74,71.89,58.21,42.4,31.08,21.53,3.644681839294008
1,Purdue,EliteEight,12,100.0,77.18,49.98,35.05,22.27,12.77,6.75,13.814814814814815
2,Illinois,SweetSixteen,2,100.0,69.69,45.84,31.87,19.59,11.59,6.06,15.501650165016502
3,Houston,EliteEight,9,100.0,72.49,40.36,28.59,14.74,9.37,5.65,16.699115044247787
4,Arizona,FinalFour,9,100.0,79.33,55.72,32.05,16.84,10.0,5.25,18.047619047619047
5,Duke,FinalFour,1,100.0,81.65,51.91,31.3,18.76,8.58,4.76,20.008403361344538
6,Gonzaga,EliteEight,16,100.0,73.28,45.77,29.72,16.13,8.33,4.72,20.186440677966104
7,Connecticut,EliteEight,13,100.0,74.85,50.16,25.31,14.42,8.04,4.26,22.474178403755868
8,Louisville,south,6,100.0,64.87,33.77,21.85,13.46,8.09,4.0,24.0
9,Florida,SweetSixteen,14,100.0,66.76,43.43,28.23,15.69,8.72,3.99,24.06265664160401
10,Virginia,SweetSixteen,3,100.0,62.47,39.21,23.03,14.35,7.86,3.84,25.041666666666668
11,Vanderbilt,SweetSixteen,15,100.0,63.68,42.93,25.7,13.09,7.11,3.48,27.735632183908045
12,Alabama,SweetSixteen,9,100.0,74.19,45.9,25.97,15.43,6.38,3.2,30.249999999999996
13,Iowa St.,SweetSixteen,8,100.0,62.41,42.79,21.98,11.09,5.07,2.49,39.16064257028113
14,Michigan St.,SweetSixteen,4,100.0,66.06,40.5,19.51,9.21,4.67,2.01,48.75124378109453
15,Kansas,south,5,100.0,60.46,31.94,17.67,7.46,4.13,1.78,55.17977528089887
16,Iowa,east,7,100.0,51.1,30.29,20.05,8.58,4.33,1.66,59.24096385542169
17,Nebraska,FinalFour,8,100.0,71.81,37.56,19.14,8.27,3.39,1.37,71.992700729927
18,Texas Tech,west,5,100.0,53.5,28.84,14.62,7.22,2.71,1.1,89.9090909090909
19,Arkansas,east,5,100.0,55.85,32.9,11.6,5.24,2.73,1.09,90.74311926605503
20,BYU,SweetSixteen,13,100.0,62.6,34.85,11.26,5.24,2.37,1.07,92.45794392523365
21,Tennessee,west,7,100.0,53.11,27.6,15.62,7.47,2.56,0.98,101.0408163265306
22,Auburn,west,9,100.0,58.71,23.48,11.95,6.42,2.49,0.95,104.26315789473685
23,St. John's,midwest,5,100.0,51.55,24.01,13.57,6.75,2.61,0.84,118.04761904761905
24,North Carolina,west,6,100.0,50.62,21.54,11.41,5.45,1.49,0.69,143.92753623188406
25,Georgia,midwest,6,100.0,59.35,29.33,12.73,5.9,2.34,0.65,152.84615384615384
26,Utah St.,south,9,100.0,53.49,24.43,9.47,3.99,1.67,0.65,152.84615384615384
27,Clemson,east,6,100.0,58.06,29.78,12.01,3.54,1.75,0.62,160.29032258064515
28,Saint Louis,midwest,8,100.0,51.59,29.01,11.95,6.0,1.92,0.52,191.30769230769232
29,Villanova,south,7,100.0,52.02,22.86,7.63,2.96,1.36,0.44,226.27272727272728
30,Saint Mary's,midwest,10,100.0,45.26,20.07,8.31,3.51,1.31,0.43,231.5581395348837
31,Miami FL,east,9,100.0,46.73,15.12,9.06,3.55,1.3,0.37,269.27027027027026
32,N.C. State,east,10,100.0,48.9,21.26,10.03,2.74,0.86,0.33,302.030303030303
33,Kentucky,midwest,7,100.0,54.74,22.93,9.79,4.68,1.49,0.32,311.5
34,Wisconsin,midwest,9,100.0,48.41,26.4,12.61,5.34,1.21,0.29,343.82758620689657
35,SMU,south,8,100.0,46.51,16.1,7.75,2.41,0.96,0.26,383.6153846153846
36,Seton Hall,east,11,100.0,41.94,17.43,5.01,1.13,0.6,0.21,475.19047619047626
37,UCLA,west,10,100.0,46.89,20.26,9.11,3.55,0.81,0.2,498.99999999999994
38,Ohio St.,south,11,100.0,35.13,13.74,5.55,2.22,0.95,0.19,525.3157894736842
39,Utah Valley,midwest,13,100.0,33.24,15.81,6.58,2.37,0.43,0.15,665.6666666666666
40,Texas A&M,west,8,100.0,41.29,19.04,7.84,2.27,0.52,0.14,713.2857142857142
41,UCF,east,8,100.0,53.27,10.96,4.41,1.92,0.58,0.12,832.3333333333334
42,New Mexico,west,11,100.0,49.38,22.93,7.85,2.72,0.57,0.12,832.3333333333334
43,Virginia Tech,midwest,11,100.0,40.65,17.51,6.24,2.16,0.44,0.09,1110.111111111111
44,Yale,midwest,12,100.0,48.45,16.75,5.82,1.31,0.42,0.09,1110.111111111111
45,USC,south,10,100.0,47.98,14.99,4.62,1.4,0.37,0.09,1110.111111111111
46,High Point,east,13,100.0,37.4,15.0,1.93,0.61,0.29,0.06,1665.6666666666667
47,Tulsa,south,12,100.0,39.54,14.46,4.86,0.86,0.29,0.03,3332.3333333333335
48,Stephen F. Austin,south,13,100.0,36.32,10.67,2.28,0.48,0.24,0.03,3332.3333333333335
49,Belmont,west,12,100.0,46.5,16.23,5.07,1.59,0.19,0.03,3332.3333333333335
50,Liberty,east,12,100.0,44.15,17.25,2.87,0.78,0.19,0.02,4999.0
51,Troy,west,13,100.0,25.81,9.03,2.46,0.96,0.11,0.01,9999.0
52,Merrimack,east,16,100.0,11.26,2.03,0.66,0.05,0.02,0.01,9999.0
53,Bethune Cookman,west,16,100.0,18.35,5.57,0.79,0.07,0.01,0.01,9999.0
54,Hawaii,midwest,14,100.0,37.53,13.95,3.83,0.84,0.14,0.0,0.0
55,St. Thomas,south,14,100.0,30.31,6.65,2.52,0.71,0.11,0.0,0.0
56,Oakland,west,14,100.0,37.59,12.74,2.68,0.46,0.02,0.0,0.0
57,Mercer,west,15,100.0,26.72,6.37,1.63,0.41,0.02,0.0,0.0
58,Howard,south,16,100.0,20.67,3.75,0.22,0.02,0.02,0.0,0.0
59,Tennessee Martin,midwest,15,100.0,22.82,7.02,1.02,0.11,0.01,0.0,0.0
60,Austin Peay,south,15,100.0,25.15,11.99,0.65,0.09,0.01,0.0,0.0
61,Vermont,midwest,16,100.0,28.19,7.03,2.1,0.45,0.0,0.0,0.0
62,UNC Wilmington,east,14,100.0,33.94,12.29,2.85,0.15,0.0,0.0,0.0
63,Montana St.,east,15,100.0,27.51,8.09,1.95,0.12,0.0,0.0,0.0
