,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,85.74,67.2,50.06,36.96,25.97,16.94,4.903187721369539
1,Duke,FinalFour,1,100.0,81.5,53.67,38.66,23.82,14.25,8.33,11.004801920768308
2,Arizona,FinalFour,9,100.0,76.79,56.95,38.91,24.33,14.1,8.07,11.391573729863692
3,Houston,SweetSixteen,3,100.0,83.58,57.7,36.66,23.37,13.01,7.36,12.58695652173913
4,Illinois,EliteEight,12,100.0,74.26,49.81,31.24,19.66,12.18,7.23,12.831258644536652
5,Iowa St.,EliteEight,13,100.0,76.16,54.41,34.62,19.96,11.54,5.73,16.45200698080279
6,Purdue,SweetSixteen,8,100.0,74.61,50.91,34.39,20.65,10.14,5.23,18.12045889101338
7,Gonzaga,EliteEight,16,100.0,74.83,46.91,27.39,15.39,7.16,3.49,27.653295128939828
8,Florida,SweetSixteen,14,100.0,67.86,44.96,27.79,13.07,5.98,3.17,30.545741324921135
9,Connecticut,FinalFour,8,100.0,67.82,36.0,22.13,11.64,6.62,3.16,30.645569620253163
10,Vanderbilt,SweetSixteen,2,100.0,74.13,38.47,18.12,10.47,5.96,2.96,32.78378378378379
11,Kansas,SweetSixteen,15,100.0,64.23,42.35,21.42,11.82,6.29,2.82,34.460992907801426
12,Michigan St.,SweetSixteen,4,100.0,73.1,41.24,27.23,12.69,6.32,2.71,35.90036900369004
13,Louisville,south,6,100.0,65.07,36.82,20.1,10.46,5.5,2.54,38.370078740157474
14,Alabama,east,5,100.0,55.05,30.33,14.09,8.38,3.94,2.1,46.61904761904762
15,Tennessee,west,5,100.0,67.02,40.11,20.81,11.12,4.78,1.99,49.25125628140704
16,Nebraska,EliteEight,9,100.0,69.36,39.39,22.05,8.82,3.78,1.74,56.4712643678161
17,Virginia,SweetSixteen,13,100.0,57.15,36.67,15.28,8.37,4.01,1.54,63.93506493506493
18,Saint Louis,east,7,100.0,60.12,34.03,17.44,6.54,3.21,1.31,75.33587786259541
19,Arkansas,east,6,100.0,48.7,27.98,14.84,5.55,2.72,1.05,94.23809523809524
20,St. John's,west,6,100.0,56.35,25.05,10.96,5.35,2.57,1.03,96.08737864077669
21,Texas Tech,SweetSixteen,9,100.0,66.77,34.68,16.23,5.85,2.49,0.99,100.01010101010101
22,Iowa,midwest,8,100.0,51.25,26.7,13.21,6.03,2.2,0.94,105.38297872340426
23,North Carolina,midwest,5,100.0,62.53,28.76,12.6,6.24,2.53,0.88,112.63636363636364
24,Indiana,midwest,9,100.0,48.75,29.97,13.79,5.31,2.06,0.81,122.45679012345678
25,BYU,south,5,100.0,56.1,26.4,10.84,4.12,1.75,0.66,150.5151515151515
26,N.C. State,south,7,100.0,55.9,24.5,11.7,4.67,1.7,0.56,177.57142857142856
27,Texas A&M,west,7,100.0,54.56,26.81,12.06,5.3,1.49,0.53,187.67924528301884
28,Auburn,midwest,7,100.0,48.3,21.79,6.78,3.08,1.28,0.51,195.078431372549
29,Utah St.,south,8,100.0,52.79,20.11,9.0,4.05,1.7,0.46,216.3913043478261
30,Clemson,east,8,100.0,53.37,13.9,7.48,3.66,1.45,0.43,231.5581395348837
31,SMU,south,9,100.0,47.21,17.0,9.06,2.83,0.93,0.35,284.7142857142857
32,Kentucky,midwest,6,100.0,47.66,20.28,8.63,3.29,1.05,0.25,399.0
33,UCLA,west,10,100.0,45.44,20.03,7.96,3.21,1.01,0.24,415.6666666666667
34,UCF,west,8,100.0,48.08,16.9,7.1,2.23,0.59,0.24,415.6666666666667
35,Saint Mary's,midwest,11,100.0,52.34,18.27,5.72,2.27,0.6,0.21,475.19047619047626
36,Georgia,midwest,10,100.0,51.7,23.01,9.53,3.19,0.7,0.18,554.5555555555555
37,Wisconsin,west,9,100.0,51.92,22.87,7.87,3.15,0.79,0.17,587.235294117647
38,Texas,east,10,100.0,39.88,17.01,7.07,1.99,0.77,0.17,587.235294117647
39,Villanova,east,9,100.0,46.63,14.17,6.0,2.43,0.63,0.17,587.235294117647
40,Miami FL,east,11,100.0,51.3,22.84,8.18,2.41,0.89,0.16,624.0
41,Tulsa,south,12,100.0,43.9,20.7,7.19,2.69,0.7,0.12,832.3333333333334
42,USC,south,10,100.0,44.1,13.5,6.04,1.95,0.64,0.1,999.0
43,Yale,midwest,12,100.0,37.47,12.52,4.01,0.89,0.27,0.08,1249.0
44,Stephen F. Austin,midwest,13,100.0,32.14,13.76,5.66,1.57,0.36,0.05,1999.0
45,Belmont,west,12,100.0,32.98,13.91,4.47,0.98,0.26,0.05,1999.0
46,Liberty,east,12,100.0,44.95,17.91,3.22,1.21,0.25,0.05,1999.0
47,California,south,11,100.0,34.93,19.11,5.75,1.03,0.11,0.04,2499.0
48,High Point,west,13,100.0,33.23,11.3,3.14,0.93,0.13,0.02,4999.0
49,North Dakota St.,south,14,100.0,25.87,5.6,1.24,0.31,0.02,0.02,4999.0
50,UNC Wilmington,east,13,100.0,42.85,15.09,2.95,0.59,0.14,0.01,9999.0
51,Hawaii,midwest,14,100.0,16.42,3.75,0.99,0.13,0.1,0.01,9999.0
52,Troy,west,14,100.0,25.39,10.35,2.1,0.5,0.07,0.01,9999.0
53,Cal Baptist,south,13,100.0,35.77,10.55,1.77,0.35,0.06,0.01,9999.0
54,Tennessee Martin,midwest,15,100.0,25.74,5.39,0.45,0.12,0.04,0.01,9999.0
55,Mercer,west,15,100.0,25.17,6.25,1.38,0.41,0.03,0.01,9999.0
56,Virginia Tech,west,11,100.0,43.65,13.69,3.76,0.85,0.14,0.0,0.0
57,Portland St.,east,14,100.0,26.9,7.94,0.83,0.03,0.02,0.0,0.0
58,Wright St.,south,15,100.0,23.84,7.59,2.43,0.49,0.01,0.0,0.0
59,Merrimack,south,16,100.0,23.21,5.94,1.81,0.47,0.01,0.0,0.0
60,Bethune Cookman,west,16,100.0,18.5,6.56,1.72,0.26,0.0,0.0,0.0
61,Austin Peay,east,15,100.0,30.64,9.57,2.36,0.21,0.0,0.0,0.0
62,Vermont,east,16,100.0,14.26,4.73,0.92,0.16,0.0,0.0,0.0
63,Navy,midwest,16,100.0,32.18,7.33,0.81,0.14,0.0,0.0,0.0
