,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,9,100.0,80.85,57.6,40.63,28.68,19.43,13.32,6.5075075075075075
1,Duke,FinalFour,1,100.0,78.97,54.95,40.16,27.82,18.64,10.2,8.803921568627452
2,Purdue,FinalFour,8,100.0,75.03,51.43,32.48,18.55,10.09,6.13,15.313213703099512
3,Houston,EliteEight,12,100.0,74.04,50.01,33.08,20.51,10.8,5.9,15.949152542372879
4,Iowa St.,FinalFour,16,100.0,67.85,45.5,30.85,20.7,11.38,5.39,17.55287569573284
5,Louisville,EliteEight,13,100.0,76.78,46.22,26.87,13.29,7.87,4.51,21.172949002217294
6,Illinois,SweetSixteen,15,100.0,71.97,45.95,23.0,13.62,7.57,4.43,21.57336343115124
7,BYU,SweetSixteen,4,100.0,75.48,45.05,27.96,15.78,8.21,4.3,22.255813953488374
8,Michigan St.,SweetSixteen,8,100.0,65.66,38.13,23.78,13.36,8.1,3.88,24.77319587628866
9,Gonzaga,EliteEight,16,100.0,71.76,46.6,26.7,13.97,8.06,3.66,26.3224043715847
10,Alabama,SweetSixteen,9,100.0,62.92,41.2,20.28,12.27,7.07,3.57,27.01120448179272
11,Arizona,EliteEight,9,100.0,65.12,37.68,23.13,12.99,7.45,3.49,27.653295128939828
12,Connecticut,SweetSixteen,2,100.0,73.19,44.15,23.86,10.81,5.52,3.25,29.76923076923077
13,Vanderbilt,SweetSixteen,14,100.0,64.54,41.34,25.04,12.2,6.45,3.22,30.05590062111801
14,Florida,south,6,100.0,61.16,32.9,17.97,8.79,4.83,2.46,39.650406504065046
15,Tennessee,SweetSixteen,3,100.0,64.63,33.18,17.89,9.62,4.59,2.34,41.73504273504274
16,St. John's,south,8,100.0,59.94,23.83,13.56,7.34,3.76,2.25,43.44444444444444
17,Iowa,SweetSixteen,13,100.0,64.31,34.79,16.73,9.0,3.9,1.65,59.60606060606061
18,Indiana,east,5,100.0,58.34,30.09,14.75,7.88,3.54,1.35,73.07407407407408
19,Kentucky,midwest,11,100.0,55.47,34.31,15.59,8.34,3.01,1.21,81.64462809917356
20,Kansas,midwest,5,100.0,64.7,30.01,12.39,6.11,2.36,1.17,84.47008547008548
21,Georgia,east,8,100.0,61.1,26.68,13.92,7.18,2.79,1.08,91.5925925925926
22,Auburn,west,6,100.0,55.38,29.88,14.87,6.26,2.62,0.89,111.35955056179775
23,Ohio St.,midwest,6,100.0,44.53,24.88,11.38,5.31,2.0,0.88,112.63636363636364
24,UCLA,midwest,10,100.0,54.71,25.21,11.45,5.25,1.9,0.75,132.33333333333334
25,North Carolina,west,5,100.0,51.9,25.88,10.66,4.02,1.49,0.72,137.88888888888889
26,USC,south,5,100.0,50.03,25.51,10.21,4.24,1.65,0.69,143.92753623188406
27,Missouri,east,10,100.0,54.47,30.98,14.9,6.52,2.49,0.67,148.25373134328356
28,Clemson,south,7,100.0,54.08,26.26,13.19,4.43,1.41,0.58,171.41379310344828
29,Nebraska,east,6,100.0,52.14,24.5,12.62,5.23,1.71,0.55,180.8181818181818
30,Virginia,west,8,100.0,53.42,22.19,9.93,4.43,1.7,0.54,184.18518518518516
31,Wisconsin,midwest,8,100.0,43.3,17.39,9.4,3.22,1.2,0.54,184.18518518518516
32,Texas,west,9,100.0,46.58,18.83,9.14,4.41,1.82,0.52,191.30769230769232
33,Oklahoma St.,west,7,100.0,50.59,22.23,9.24,3.37,1.5,0.51,195.078431372549
34,Saint Mary's,midwest,7,100.0,45.29,18.81,7.67,3.41,1.08,0.51,195.078431372549
