,Date,TypeofGame,Tm,Conference,Opp,HomeAway,Result_x,Tm_AdjO,Tm_AdjD,Tm_O_PPP,Tm_O_EFG,Tm_O_TO,Tm_O_OR,Tm_O_FTR,Tm_D_PPP,Tm_D_EFG,Tm_D_TO,Tm_D_OR,Tm_D_FTR,G-Score,Conference2,  ,Year,Tempo,muid,Tm_coach,Opp_coach,Lead,AvgLead,gamestats, ,EMRating,Away,Home,Date_zero,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,WinorLose,Score,tm_pts,opp_pts,tm_ptdiff,is_home,is_neutral,tm_hca,Team,Date_y,H/A/N,Opponent,Result_y,Diff,ATS,ATSVegas,OverUnder,OverUnderVegas,Year_Date,GameID,Tm_y,opp_code,tm_code,ATSvalue,pace,tm_offensive_rating,tm_defensive_rating,tm_net_eff,tm_mod_AdjO,tm_mod_AdjD,tm_mod_net_eff,tm_margin_net_eff,season,season_tm,season_opp,Reg_dif,Over_dif
20,2023-11-25,0,Alabama A&M,SWAC,Cleveland St.,A,"L, 86-59",86.9,117.1,83.6,37.3,28.4,41.9,56.4,121.9,64.0,24.1,41.7,52.0,3.1,Horz,1,2024,70.5,Alabama A&MCleveland St.11-25,Otis Hughley Jr.,Daniyal Robinson,-13.0386,0.596319,"['11/25/2023', 200, 'Alabama A&M', 'Cleveland St.', 20, 55, 1, 14, 18, 31, 18, 14, 32, 14, 10, 1, 20, 20, 59, 28, 50, 8, 19, 22, 26, 10, 25, 35, 16, 14, 6, 17, 21, 86, 70.5375, '', 'Cleveland St.', 'Alabama A&M']",1.0,-30.19999999999999,Alabama A&M,Cleveland St.,11/25/2023,20231125,-17.5,94.2,111.7,70.7,-0.9000000000000057,104.0,104.9,68.3,L,86-59,59,86,-27,1,0,1,Alabama A&M,11/25,Away,Cleveland St,L by 27,-11.0,-11.0,16.0,0.0,145.0,11/25/2023,11/25/2023Alabama AM Bulldogs,Alabama AM Bulldogs,52,4,-11.0,70.5,86.9,117.1,-30.19999999999999,86.9,117.1,-30.19999999999999,-41.19999999999999,2024,2024_4,2024_52,-3.4,-4.4
21,2023-11-25,0,Cleveland St.,Horz,Alabama A&M,H,"W, 86-59",110.6,96.0,121.9,64.0,24.1,41.7,52.0,83.6,37.3,28.4,41.9,56.4,83.6,SWAC,2,2024,70.5,Alabama A&MCleveland St.11-25,Daniyal Robinson,Otis Hughley Jr.,13.0386,0.0999176,"['11/25/2023', 200, 'Alabama A&M', 'Cleveland St.', 20, 55, 1, 14, 18, 31, 18, 14, 32, 14, 10, 1, 20, 20, 59, 28, 50, 8, 19, 22, 26, 10, 25, 35, 16, 14, 6, 17, 21, 86, 70.5375, '', 'Cleveland St.', 'Alabama A&M']",1.0,14.599999999999994,Alabama A&M,Cleveland St.,11/25/2023,20231125,-0.9000000000000057,104.0,104.9,68.3,-17.5,94.2,111.7,70.7,W,86-59,86,59,27,1,0,1,Cleveland St.,11/25,Home,Alab A&M,W by 27,11.0,11.0,-16.0,0.0,145.0,11/25/2023,11/25/2023Cleveland St Vikings,Cleveland St Vikings,4,52,11.0,70.5,110.6,96.0,14.599999999999994,110.6,96.0,14.599999999999994,25.599999999999994,2024,2024_52,2024_4,-3.4,-4.4
32,2023-11-25,0,Alabama St.,SWAC,Merrimack,N,"W, 66-60",84.7,89.9,86.4,34.9,15.7,25.0,41.3,78.6,36.6,23.6,21.4,42.9,33.5,NEC,1,2024,67.9,Alabama St.Merrimack11-25,Tony Madlock,Joe Gallo,-1.93444,0.264692,"['11/25/2023', 225, 'Alabama St.', 'Merrimack', 20, 63, 4, 20, 22, 26, 11, 33, 44, 11, 7, 2, 12, 21, 66, 18, 56, 5, 29, 19, 24, 9, 33, 42, 11, 9, 0, 18, 20, 60, 76.375, '', 'Alabama St.', 'Merrimack']",1.0,-5.200000000000003,Alabama St.,Merrimack,11/25/2023,20231125,-16.0,95.2,111.2,70.4,-9.099999999999994,95.9,105.0,68.6,W,66-60,66,60,6,1,1,0,Alabama St.,11/25,Neutral,Merrimack,W by 6,13.5,13.5,7.5,-12.5,138.5,11/25/2023,11/25/2023Alabama St Hornets,Alabama St Hornets,168,5,13.5,67.9,84.7,89.9,-5.200000000000003,84.7,89.9,-5.200000000000003,8.299999999999997,2024,2024_5,2024_168,-0.9,1.1
33,2023-11-25,0,Merrimack,NEC,Alabama St.,N,"L, 66-60",76.5,89.8,78.6,36.6,23.6,21.4,42.9,86.4,34.9,15.7,25.0,41.3,13.7,SWAC,2,2024,67.9,Alabama St.Merrimack11-25,Joe Gallo,Tony Madlock,1.93444,0.181254,"['11/25/2023', 225, 'Alabama St.', 'Merrimack', 20, 63, 4, 20, 22, 26, 11, 33, 44, 11, 7, 2, 12, 21, 66, 18, 56, 5, 29, 19, 24, 9, 33, 42, 11, 9, 0, 18, 20, 60, 76.375, '', 'Alabama St.', 'Merrimack']",2.0,-13.299999999999997,Alabama St.,Merrimack,11/25/2023,20231125,-9.099999999999994,95.9,105.0,68.6,-16.0,95.2,111.2,70.4,L,66-60,60,66,-6,1,1,0,Merrimack,11/25,Neutral,Alabama St,L by 6,-13.5,-13.5,-7.5,-12.5,138.5,11/25/2023,11/25/2023Merrimack Warriors,Merrimack Warriors,5,168,-13.5,67.9,76.5,89.8,-13.299999999999997,76.5,89.8,-13.299999999999997,-26.799999999999997,2024,2024_168,2024_5,0.1,1.1
42,2023-11-25,0,Alabama,SEC,Oregon,N,"W, 99-91",135.2,107.1,127.4,57.0,20.6,48.5,43.8,117.1,57.2,16.7,31.4,21.7,93.6,P12,1,2024,77.7,AlabamaOregon11-25,Nate Oats,Dana Altman,5.35006,0.839753,"['11/25/2023', 200, 'Alabama', 'Oregon', 32, 64, 9, 24, 26, 28, 16, 24, 40, 15, 8, 6, 16, 16, 99, 36, 69, 7, 20, 12, 15, 11, 17, 28, 20, 9, 5, 13, 24, 91, 77.7125, '', 'Alabama', 'Oregon']",1.0,28.099999999999994,Alabama,Oregon,11/25/2023,20231125,24.0,120.5,96.5,72.0,14.399999999999991,111.8,97.4,70.5,W,99-91,99,91,8,1,1,0,Alabama,11/25,Neutral,Oregon,W by 8,-0.5,-0.5,-8.5,30.0,160.0,11/25/2023,11/25/2023Alabama Crimson Tide,Alabama Crimson Tide,225,3,-0.5,77.7,135.2,107.1,28.099999999999994,135.2,107.1,28.099999999999994,27.599999999999994,2024,2024_3,2024_225,8.5,7.8
43,2023-11-25,0,Oregon,P12,Alabama,N,"L, 99-91",126.5,112.8,117.1,57.2,16.7,31.4,21.7,127.4,57.0,20.6,48.5,43.8,78.8,SEC,2,2024,77.7,AlabamaOregon11-25,Dana Altman,Nate Oats,-5.35006,0.911364,"['11/25/2023', 200, 'Alabama', 'Oregon', 32, 64, 9, 24, 26, 28, 16, 24, 40, 15, 8, 6, 16, 16, 99, 36, 69, 7, 20, 12, 15, 11, 17, 28, 20, 9, 5, 13, 24, 91, 77.7125, '', 'Alabama', 'Oregon']",0.0,13.700000000000003,Alabama,Oregon,11/25/2023,20231125,14.399999999999991,111.8,97.4,70.5,24.0,120.5,96.5,72.0,L,99-91,91,99,-8,1,1,0,Oregon,11/25,Neutral,Alabama,L by 8,0.5,0.5,8.5,30.0,160.0,11/25/2023,11/25/2023Oregon Ducks,Oregon Ducks,3,225,0.5,77.7,126.5,112.8,13.700000000000003,126.5,112.8,13.700000000000003,14.200000000000003,2024,2024_225,2024_3,8.5,7.8
100,2023-11-25,0,Arkansas St.,SB,UT Rio Grande Valley,N,"W, 75-58",115.0,86.9,112.5,50.8,21.0,43.2,33.9,87.0,32.5,10.5,27.7,45.0,96.2,WAC,1,2024,66.7,Arkansas St.UT Rio Grande Valley11-25,Brian Hodgson,Matt Figger,23.0471,0.146236,"['11/25/2023', 200, 'Arkansas St.', 'UT Rio Grande Valley', 24, 59, 12, 29, 15, 20, 16, 34, 50, 16, 4, 5, 14, 19, 75, 19, 60, 1, 9, 19, 27, 13, 21, 34, 7, 9, 6, 7, 15, 58, 66.6625, '', 'Arkansas St.', 'UT Rio Grande Valley']",3.0,28.099999999999994,Arkansas St.,UT Rio Grande Valley,11/25/2023,20231125,-3.0,104.1,107.1,70.9,-11.200000000000003,96.1,107.3,74.3,W,75-58,75,58,17,1,1,0,Arkansas St.,11/25,Neutral,TX-Pan Am,W by 17,11.0,11.0,-6.0,-25.0,158.0,11/25/2023,11/25/2023Arkansas St Red Wolves,Arkansas St Red Wolves,327,14,11.0,66.7,115.0,86.9,28.099999999999994,115.0,86.9,28.099999999999994,39.099999999999994,2024,2024_14,2024_327,5.4,8.1
101,2023-11-25,0,UT Rio Grande Valley,WAC,Arkansas St.,N,"L, 75-58",76.3,118.3,87.0,32.5,10.5,27.7,45.0,112.5,50.8,21.0,43.2,33.9,0.6,SB,2,2024,66.7,Arkansas St.UT Rio Grande Valley11-25,Matt Figger,Brian Hodgson,-23.0471,0.487849,"['11/25/2023', 200, 'Arkansas St.', 'UT Rio Grande Valley', 24, 59, 12, 29, 15, 20, 16, 34, 50, 16, 4, 5, 14, 19, 75, 19, 60, 1, 9, 19, 27, 13, 21, 34, 7, 9, 6, 7, 15, 58, 66.6625, '', 'Arkansas St.', 'UT Rio Grande Valley']",2.0,-42.0,Arkansas St.,UT Rio Grande Valley,11/25/2023,20231125,-11.200000000000003,96.1,107.3,74.3,-3.0,104.1,107.1,70.9,L,75-58,58,75,-17,1,1,0,UT Rio Grande Valley,11/25,Neutral,Arkansas St,L by 17,-11.0,-11.0,6.0,-25.0,158.0,11/25/2023,11/25/2023Texas Rio Grande Valley Vaqueros,Texas Rio Grande Valley Vaqueros,14,327,-11.0,66.7,76.3,118.3,-42.0,76.3,118.3,-42.0,-53.0,2024,2024_327,2024_14,5.0,8.1
112,2023-11-25,0,Army,Pat,Binghamton,A,"L, 75-68",91.1,108.7,95.8,48.3,19.7,29.5,38.3,105.6,53.1,18.3,25.8,75.0,11.6,AE,1,2024,71.0,ArmyBinghamton11-25,Kevin Kuwik,Levell Sanders,-9.2,0.453121,"['11/25/2023', 200, 'Army', 'Binghamton', 24, 60, 10, 31, 10, 23, 13, 23, 36, 12, 5, 3, 14, 27, 68, 23, 48, 5, 16, 24, 36, 8, 31, 39, 13, 8, 4, 13, 22, 75, 71.01249999999999, '', 'Binghamton', 'Army']",0.0,-17.60000000000001,Army,Binghamton,11/25/2023,20231125,-15.5,90.0,105.5,63.1,-6.799999999999997,99.9,106.7,68.7,L,75-68,68,75,-7,1,0,1,Army,11/25,Away,Binghamton,L by 7,2.0,2.0,9.0,11.5,131.5,11/25/2023,11/25/2023Army Black Knights,Army Black Knights,24,15,2.0,71.0,91.1,108.7,-17.60000000000001,91.1,108.7,-17.60000000000001,-15.600000000000009,2024,2024_15,2024_24,-8.2,-4.4
113,2023-11-25,0,Binghamton,AE,Army,H,"W, 75-68",103.3,103.9,105.6,53.1,18.3,25.8,75.0,95.8,48.3,19.7,29.5,38.3,48.4,Pat,2,2024,71.0,ArmyBinghamton11-25,Levell Sanders,Kevin Kuwik,9.2,0.129403,"['11/25/2023', 200, 'Army', 'Binghamton', 24, 60, 10, 31, 10, 23, 13, 23, 36, 12, 5, 3, 14, 27, 68, 23, 48, 5, 16, 24, 36, 8, 31, 39, 13, 8, 4, 13, 22, 75, 71.01249999999999, '', 'Binghamton', 'Army']",3.0,-0.6000000000000085,Army,Binghamton,11/25/2023,20231125,-6.799999999999997,99.9,106.7,68.7,-15.5,90.0,105.5,63.1,W,75-68,75,68,7,1,0,1,Binghamton,11/25,Home,Army,W by 7,-2.0,-2.0,-9.0,11.5,131.5,11/25/2023,11/25/2023Binghamton Bearcats,Binghamton Bearcats,15,24,-2.0,71.0,103.3,103.9,-0.6000000000000085,103.3,103.9,-0.6000000000000085,-2.6000000000000085,2024,2024_24,2024_15,-8.2,-4.4
