,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,79.74,61.19,44.26,32.64,23.29,15.76,5.345177664974619
1,Arizona,FinalFour,9,100.0,78.3,57.07,43.35,27.83,17.68,10.73,8.319664492078285
2,Houston,SweetSixteen,3,100.0,76.16,53.46,37.52,26.44,14.4,8.43,10.862396204033214
3,Illinois,EliteEight,13,100.0,80.28,52.04,32.78,18.66,11.79,6.71,13.90312965722802
4,Purdue,SweetSixteen,8,100.0,71.74,48.13,30.83,19.93,10.64,5.51,17.148820326678766
5,Duke,FinalFour,1,100.0,71.23,48.48,33.07,17.58,8.9,4.67,20.41327623126338
6,Michigan St.,SweetSixteen,2,100.0,69.54,41.23,23.17,12.49,7.33,3.66,26.3224043715847
7,Nebraska,FinalFour,8,100.0,74.98,47.85,28.97,14.97,7.57,3.59,26.855153203342617
8,Iowa St.,EliteEight,12,100.0,71.95,43.96,21.15,12.95,6.87,3.53,27.328611898016998
9,Vanderbilt,SweetSixteen,13,100.0,69.57,47.31,20.11,12.08,6.61,3.46,27.901734104046245
10,Connecticut,EliteEight,9,100.0,73.71,48.09,29.89,12.93,7.25,3.24,29.864197530864196
11,Virginia,SweetSixteen,4,100.0,74.37,46.32,27.04,11.7,6.44,3.08,31.467532467532468
12,Alabama,midwest,5,100.0,64.89,43.65,25.42,12.72,6.47,2.99,32.44481605351171
13,Gonzaga,EliteEight,16,100.0,72.14,44.64,23.35,13.05,5.59,2.73,35.63003663003663
14,Florida,east,5,100.0,69.0,33.08,15.47,9.3,5.0,2.32,42.10344827586208
15,Texas Tech,SweetSixteen,9,100.0,61.38,34.26,18.97,8.91,4.39,2.01,48.75124378109453
16,Louisville,south,6,100.0,66.66,36.73,19.69,9.22,3.88,1.95,50.282051282051285
17,Kansas,SweetSixteen,15,100.0,65.01,31.07,14.48,7.66,3.91,1.89,51.91005291005291
18,Tennessee,midwest,6,100.0,56.85,28.15,17.08,8.57,3.56,1.55,63.516129032258064
19,Saint Louis,west,7,100.0,60.02,32.16,18.59,9.87,4.14,1.51,65.2251655629139
20,Iowa,east,8,100.0,51.28,20.02,11.01,5.29,2.63,1.11,89.09009009009009
21,BYU,SweetSixteen,14,100.0,64.27,32.09,16.31,6.01,2.08,0.92,107.69565217391303
