,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Duke,FinalFour,1,100.0,91.01,70.39,51.57,36.72,23.98,16.23,5.161429451632778
1,Michigan,FinalFour,16,100.0,82.76,63.82,50.45,34.41,22.52,15.15,5.6006600660066
2,Illinois,EliteEight,13,100.0,86.12,62.27,48.64,32.43,22.45,11.66,7.5763293310463125
3,Arizona,FinalFour,9,100.0,82.71,58.91,41.86,26.29,17.9,10.15,8.852216748768472
4,Florida,EliteEight,16,100.0,88.25,59.09,41.68,22.04,13.02,8.03,11.453300124533001
5,Houston,EliteEight,9,100.0,82.19,56.19,41.86,23.27,11.6,6.44,14.527950310559005
6,Purdue,EliteEight,12,100.0,77.79,51.94,36.19,23.69,12.72,5.81,16.21170395869191
7,Connecticut,FinalFour,8,100.0,72.23,51.02,35.14,19.78,8.61,3.59,26.855153203342617
8,Iowa St.,SweetSixteen,3,100.0,69.59,46.35,26.12,14.44,6.36,2.57,37.91050583657588
9,Texas Tech,SweetSixteen,9,100.0,71.05,42.94,19.57,9.85,4.37,1.92,51.083333333333336
10,Alabama,SweetSixteen,14,100.0,66.07,37.9,22.21,11.04,4.57,1.56,63.1025641025641
11,Louisville,south,6,100.0,61.46,33.19,14.69,7.53,3.81,1.39,70.94244604316548
12,Gonzaga,SweetSixteen,8,100.0,68.56,37.59,16.44,6.74,2.82,1.34,73.62686567164178
13,Michigan St.,SweetSixteen,2,100.0,66.59,37.26,15.38,6.53,3.37,1.25,79.0
14,Arkansas,south,5,100.0,61.57,35.25,16.46,7.44,3.19,1.08,91.5925925925926
15,Kansas,SweetSixteen,15,100.0,65.2,37.11,16.44,6.99,3.48,1.06,93.33962264150942
16,Virginia,SweetSixteen,4,100.0,68.27,34.52,15.24,6.4,2.66,1.0,99.0
17,Vanderbilt,east,5,100.0,57.17,33.27,13.44,7.26,2.38,0.98,101.0408163265306
18,Nebraska,SweetSixteen,13,100.0,61.7,33.53,13.04,6.6,2.36,0.9,110.1111111111111
19,Wisconsin,east,6,100.0,63.24,39.83,18.3,7.32,2.2,0.86,115.27906976744187
20,Tennessee,west,5,100.0,57.05,30.04,9.99,4.88,2.04,0.77,128.87012987012986
21,St. John's,west,6,100.0,54.76,31.14,13.0,4.8,1.74,0.69,143.92753623188406
22,Iowa,midwest,8,100.0,58.97,26.77,14.09,6.62,2.04,0.59,168.4915254237288
23,Ohio St.,west,10,100.0,46.31,18.85,9.47,2.93,1.24,0.45,221.2222222222222
24,North Carolina,midwest,5,100.0,58.89,33.45,15.17,5.75,1.79,0.44,226.27272727272728
25,Georgia,east,7,100.0,54.22,22.87,10.81,4.05,1.27,0.44,226.27272727272728
26,N.C. State,east,9,100.0,54.04,17.43,8.06,3.36,1.02,0.4,248.99999999999997
27,Kentucky,midwest,6,100.0,52.5,24.1,10.81,4.31,1.56,0.32,311.5
28,Texas,midwest,10,100.0,53.8,21.96,8.65,3.69,1.25,0.31,321.5806451612903
29,BYU,midwest,7,100.0,46.2,20.03,9.34,4.26,1.35,0.28,356.1428571428571
30,Utah St.,south,10,100.0,47.35,17.51,7.24,2.47,1.14,0.28,356.1428571428571
31,Saint Mary's,west,7,100.0,53.69,16.92,9.61,2.92,1.01,0.27,369.3703703703704
32,Texas A&M,west,9,100.0,54.05,13.05,7.08,2.87,0.91,0.26,383.6153846153846
33,Cincinnati,west,11,100.0,45.24,23.56,7.63,2.07,0.68,0.23,433.78260869565213
34,Villanova,south,9,100.0,49.07,17.7,6.72,2.29,0.91,0.22,453.54545454545456
35,UCLA,west,8,100.0,45.95,14.32,6.7,2.74,0.7,0.22,453.54545454545456
36,Saint Louis,east,8,100.0,45.96,13.93,5.75,1.75,0.44,0.16,624.0
37,Clemson,south,8,100.0,50.93,18.75,8.74,2.67,0.76,0.15,665.6666666666666
38,Miami FL,south,7,100.0,52.65,14.73,5.4,1.55,0.69,0.11,908.0909090909091
39,VCU,east,11,100.0,36.76,19.38,7.46,2.4,0.65,0.11,908.0909090909091
40,UCF,south,11,100.0,38.54,15.98,4.85,1.32,0.48,0.1,999.0
41,Missouri,midwest,11,100.0,47.5,19.92,5.84,2.49,0.56,0.09,1110.111111111111
42,South Florida,south,12,100.0,38.43,16.41,5.85,1.55,0.48,0.06,1665.6666666666667
43,TCU,midwest,9,100.0,41.03,14.86,5.6,1.02,0.14,0.03,3332.3333333333335
44,Utah Valley,midwest,13,100.0,33.93,15.15,3.02,0.72,0.13,0.02,4999.0
45,Hawaii,east,13,100.0,38.3,15.52,3.71,0.57,0.11,0.02,4999.0
46,Central Arkansas,south,15,100.0,13.88,5.49,1.39,0.24,0.01,0.01,9999.0
47,Miami OH,east,10,100.0,45.78,15.07,4.39,1.04,0.12,0.0,0.0
48,High Point,west,12,100.0,42.95,16.53,3.26,0.93,0.09,0.0,0.0
49,McNeese St.,midwest,12,100.0,41.11,13.5,3.54,1.07,0.07,0.0,0.0
50,UNC Wilmington,south,13,100.0,34.8,11.23,2.55,0.35,0.07,0.0,0.0
51,Yale,east,12,100.0,42.83,17.68,4.37,1.2,0.05,0.0,0.0
52,East Tennessee St.,midwest,15,100.0,22.21,6.07,1.52,0.35,0.04,0.0,0.0
53,Tennessee St.,midwest,16,100.0,27.77,7.35,1.23,0.22,0.04,0.0,0.0
54,North Dakota St.,south,14,100.0,33.41,13.57,2.41,0.29,0.03,0.0,0.0
55,Northern Colorado,east,15,100.0,17.81,5.87,1.26,0.26,0.02,0.0,0.0
56,Bradley,midwest,14,100.0,30.41,9.63,1.53,0.55,0.0,0.0,0.0
57,Robert Morris,west,15,100.0,11.75,5.14,0.93,0.19,0.0,0.0,0.0
58,Troy,west,14,100.0,31.44,7.71,1.24,0.13,0.0,0.0,0.0
59,Liberty,west,13,100.0,28.95,10.49,1.44,0.1,0.0,0.0,0.0
60,UMBC,west,16,100.0,8.99,2.24,0.39,0.09,0.0,0.0,0.0
61,Merrimack,east,16,100.0,17.24,4.82,1.18,0.08,0.0,0.0,0.0
62,Bethune Cookman,south,16,100.0,17.29,4.64,1.38,0.06,0.0,0.0,0.0
63,Navy,east,14,100.0,31.73,6.27,0.68,0.03,0.0,0.0,0.0
