,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,84.83,64.76,49.2,32.25,21.15,13.78,6.256894049346879
1,Duke,FinalFour,1,100.0,84.03,61.54,46.57,32.12,19.32,11.94,7.375209380234506
2,Arizona,FinalFour,9,100.0,84.92,59.39,44.39,30.73,19.54,10.96,8.124087591240874
3,Florida,FinalFour,8,100.0,80.69,65.5,47.36,29.04,17.05,9.34,9.70663811563169
4,Houston,EliteEight,9,100.0,83.19,58.59,39.47,24.39,14.05,8.01,11.484394506866417
5,Purdue,EliteEight,16,100.0,67.95,47.55,33.15,18.28,10.35,6.49,14.408320493066256
6,Iowa St.,EliteEight,12,100.0,75.09,51.89,31.95,19.92,11.13,5.31,17.832391713747647
7,Illinois,SweetSixteen,3,100.0,71.03,47.39,29.78,16.45,9.67,4.96,19.161290322580648
8,Connecticut,EliteEight,13,100.0,74.27,52.7,28.27,14.13,7.25,3.17,30.545741324921135
9,Vanderbilt,SweetSixteen,2,100.0,72.42,40.57,26.16,13.26,6.81,2.85,34.08771929824562
10,Louisville,south,6,100.0,58.04,33.0,19.38,9.75,4.46,1.83,53.6448087431694
11,Michigan St.,SweetSixteen,4,100.0,70.75,39.3,22.05,9.91,4.0,1.68,58.52380952380952
12,Texas Tech,west,5,100.0,61.58,35.71,16.51,8.33,3.76,1.68,58.52380952380952
13,Gonzaga,SweetSixteen,8,100.0,63.27,37.23,16.22,5.86,3.01,1.54,63.93506493506493
14,Alabama,SweetSixteen,9,100.0,64.93,35.42,15.13,8.52,3.5,1.46,67.4931506849315
15,Tennessee,west,6,100.0,54.2,30.83,15.82,6.88,2.69,1.43,68.93006993006993
16,Arkansas,SweetSixteen,15,100.0,66.56,37.52,17.07,7.77,3.37,1.41,69.92198581560284
17,Nebraska,SweetSixteen,14,100.0,62.83,37.13,15.96,8.29,3.32,1.16,85.20689655172414
18,St. John's,midwest,5,100.0,61.03,37.95,16.7,7.3,3.42,1.12,88.28571428571428
19,Wisconsin,east,5,100.0,62.05,37.2,14.31,6.13,2.98,1.1,89.9090909090909
20,Virginia,SweetSixteen,13,100.0,64.84,35.47,14.08,6.8,2.85,1.06,93.33962264150942
21,Kansas,south,5,100.0,62.1,31.54,12.21,6.65,2.62,0.86,115.27906976744187
22,Utah St.,south,9,100.0,48.79,19.64,9.56,4.16,1.76,0.68,146.05882352941174
23,Kentucky,east,7,100.0,53.0,21.9,10.0,4.06,1.68,0.56,177.57142857142856
24,UCLA,west,7,100.0,47.28,22.64,13.24,4.55,1.58,0.54,184.18518518518516
25,Miami FL,south,7,100.0,52.89,22.22,10.11,3.46,1.52,0.48,207.33333333333334
26,BYU,east,6,100.0,54.66,31.74,12.26,4.97,1.72,0.47,211.76595744680853
27,North Carolina,midwest,6,100.0,44.75,19.35,9.78,3.74,1.53,0.47,211.76595744680853
28,Iowa,west,9,100.0,45.55,13.41,6.56,2.86,1.02,0.34,293.1176470588235
29,Clemson,east,8,100.0,52.41,14.47,8.29,3.04,0.96,0.32,311.5
30,Ohio St.,west,8,100.0,54.45,19.99,7.82,3.22,0.98,0.31,321.5806451612903
31,Texas A&M,west,10,100.0,52.72,22.63,9.34,3.94,0.87,0.27,369.3703703703704
32,SMU,south,11,100.0,41.96,20.34,9.56,3.32,1.01,0.25,399.0
33,TCU,midwest,9,100.0,50.1,15.01,7.37,3.04,1.0,0.24,415.6666666666667
34,N.C. State,east,9,100.0,47.59,16.48,7.41,2.53,0.86,0.24,415.6666666666667
35,Georgia,midwest,8,100.0,49.9,14.92,7.72,2.6,0.89,0.23,433.78260869565213
36,Saint Louis,east,10,100.0,47.0,13.94,5.8,2.03,0.83,0.23,433.78260869565213
