,Date,TypeofGame,Tm,Conference,Opp,HomeAway,Result_x,Tm_AdjO,Tm_AdjD,Tm_O_PPP,Tm_O_EFG,Tm_O_TO,Tm_O_OR,Tm_O_FTR,Tm_D_PPP,Tm_D_EFG,Tm_D_TO,Tm_D_OR,Tm_D_FTR,G-Score,Conference2,  ,Year,Tempo,muid,Tm_coach,Opp_coach,Lead,AvgLead,gamestats, ,EMRating,AWAY,HOME,Date_zero,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,WinorLose,Score,tm_pts,opp_pts,tm_ptdiff,is_home,is_neutral,tm_hca,Team,Date_y,H/A/N,Opponent,Result_y,Diff,ATS,ATSVegas,OverUnder,OverUnderVegas,Year_Date,GameID,Tm_y,opp_code,tm_code,ATSvalue,pace,tm_offensive_rating,tm_defensive_rating,tm_net_eff,tm_mod_AdjO,tm_mod_AdjD,tm_mod_net_eff,tm_margin_net_eff,season,season_tm,season_opp,Reg_dif,Over_dif
1022,2023-11-23,0,North Carolina St.,ACC,Vanderbilt,N,"W, 84-78",107.6,91.5,104.2,48.6,14.9,26.2,30.0,96.8,50.9,23.6,25.7,53.6,86.6,SEC,1,2024,80.6,North Carolina St.Vanderbilt11-23,Kevin Keatts,Jerry Stackhouse,6.21899,0.664434,"['11/23/2023', 200, 'North Carolina St.', 'Vanderbilt', 30, 70, 8, 19, 16, 21, 11, 26, 37, 17, 12, 3, 12, 22, 84, 25, 56, 7, 22, 21, 30, 9, 31, 40, 11, 9, 3, 19, 17, 78, 80.6125, '', 'North Carolina St.', 'Vanderbilt']",3.0,16.099999999999994,North Carolina St.,Vanderbilt,11/23/2023,20231123,13.700000000000003,110.3,96.6,69.1,2.200000000000003,106.9,104.7,66.3,W,84-78,84,78,6,1,1,0,North Carolina St.,11/23,Neutral,Vanderbilt,W by 6,-1.5,-1.5,-7.5,21.5,140.5,11/23/2023,11/23/2023NC State Wolfpack,NC State Wolfpack,337,204,-1.5,80.6,107.6,91.5,16.099999999999994,107.6,91.5,16.099999999999994,14.599999999999994,2024,2024_204,2024_337,4.5,6.2
1023,2023-11-23,0,Vanderbilt,SEC,North Carolina St.,N,"L, 84-78",100.6,98.2,96.8,50.9,23.6,25.7,53.6,104.2,48.6,14.9,26.2,30.0,56.7,ACC,2,2024,80.6,North Carolina St.Vanderbilt11-23,Jerry Stackhouse,Kevin Keatts,-6.21899,0.80952,"['11/23/2023', 200, 'North Carolina St.', 'Vanderbilt', 30, 70, 8, 19, 16, 21, 11, 26, 37, 17, 12, 3, 12, 22, 84, 25, 56, 7, 22, 21, 30, 9, 31, 40, 11, 9, 3, 19, 17, 78, 80.6125, '', 'North Carolina St.', 'Vanderbilt']",3.0,2.3999999999999915,North Carolina St.,Vanderbilt,11/23/2023,20231123,2.200000000000003,106.9,104.7,66.3,13.700000000000003,110.3,96.6,69.1,L,84-78,78,84,-6,1,1,0,Vanderbilt,11/23,Neutral,NC State,L by 6,1.5,1.5,7.5,21.5,140.5,11/23/2023,11/23/2023Vanderbilt Commodores,Vanderbilt Commodores,204,337,1.5,80.6,100.6,98.2,2.3999999999999915,100.6,98.2,2.3999999999999915,3.8999999999999915,2024,2024_337,2024_204,2.4,6.2
1026,2023-11-23,0,North Carolina,ACC,Villanova,N,"L, 83-81",117.3,97.6,107.3,50.0,17.2,32.5,35.4,109.9,42.5,11.9,26.8,60.0,89.2,BE,1,2024,67.1,North CarolinaVillanova11-23,Hubert Davis,Kyle Neptune,1.11078,0.897436,"['11/23/2023', 225, 'North Carolina', 'Villanova', 28, 65, 9, 24, 16, 23, 13, 30, 43, 13, 3, 4, 13, 30, 81, 23, 60, 5, 22, 32, 36, 11, 27, 38, 5, 4, 1, 9, 22, 83, 75.51249999999999, '', 'Villanova', 'North Carolina']",2.0,19.700000000000003,North Carolina,Villanova,11/23/2023,20231123,21.5,114.6,93.1,72.4,20.19999999999999,115.6,95.4,66.1,L,83-81,81,83,-2,1,1,0,North Carolina,11/23,Neutral,Villanova,L by 2,-4.5,-4.5,-2.5,19.0,145.0,11/23/2023,11/23/2023North Carolina Tar Heels,North Carolina Tar Heels,339,201,-4.5,67.1,117.3,97.6,19.700000000000003,117.3,97.6,19.700000000000003,15.200000000000003,2024,2024_201,2024_339,-8.7,-5.5
1027,2023-11-23,0,Villanova,BE,North Carolina,N,"W, 83-81",118.5,97.9,109.9,42.5,11.9,26.8,60.0,107.3,50.0,17.2,32.5,35.4,90.0,ACC,2,2024,67.1,North CarolinaVillanova11-23,Kyle Neptune,Hubert Davis,-1.11078,0.894875,"['11/23/2023', 225, 'North Carolina', 'Villanova', 28, 65, 9, 24, 16, 23, 13, 30, 43, 13, 3, 4, 13, 30, 81, 23, 60, 5, 22, 32, 36, 11, 27, 38, 5, 4, 1, 9, 22, 83, 75.51249999999999, '', 'Villanova', 'North Carolina']",0.0,20.599999999999994,North Carolina,Villanova,11/23/2023,20231123,20.19999999999999,115.6,95.4,66.1,21.5,114.6,93.1,72.4,W,83-81,83,81,2,1,1,0,Villanova,11/23,Neutral,N Carolina,W by 2,4.5,4.5,2.5,19.0,145.0,11/23/2023,11/23/2023Villanova Wildcats,Villanova Wildcats,201,339,4.5,67.1,118.5,97.9,20.599999999999994,118.5,97.9,20.599999999999994,25.099999999999994,2024,2024_339,2024_201,-8.7,-5.5
1076,2023-11-23,0,Northern Iowa,MVC,Texas Tech,N,"L, 72-70",120.3,103.3,106.0,55.9,19.7,27.6,37.3,109.0,45.9,12.1,28.9,31.1,85.2,B12,1,2024,66.0,Northern IowaTexas Tech11-23,Ben Jacobson,Grant McCasland,5.92792,0.811742,"['11/23/2023', 200, 'Northern Iowa', 'Texas Tech', 24, 51, 9, 21, 13, 19, 8, 27, 35, 14, 2, 2, 13, 19, 70, 24, 61, 8, 26, 16, 19, 11, 21, 32, 10, 7, 5, 8, 17, 72, 66.025, '', 'Texas Tech', 'Northern Iowa']",2.0,17.0,Northern Iowa,Texas Tech,11/23/2023,20231123,2.700000000000003,107.4,104.7,68.7,13.099999999999994,104.8,91.7,69.3,L,72-70,70,72,-2,1,1,0,Northern Iowa,11/23,Neutral,Texas Tech,L by 2,5.0,5.0,7.0,7.5,134.5,11/23/2023,11/23/2023Northern Iowa Panthers,Northern Iowa Panthers,302,213,5.0,66.0,120.3,103.3,17.0,120.3,103.3,17.0,22.0,2024,2024_213,2024_302,0.7,2.2
1077,2023-11-23,0,Texas Tech,B12,Northern Iowa,N,"W, 72-70",105.9,105.5,109.0,45.9,12.1,28.9,31.1,106.0,55.9,19.7,27.6,37.3,51.0,MVC,2,2024,66.0,Northern IowaTexas Tech11-23,Grant McCasland,Ben Jacobson,-5.92792,0.580485,"['11/23/2023', 200, 'Northern Iowa', 'Texas Tech', 24, 51, 9, 21, 13, 19, 8, 27, 35, 14, 2, 2, 13, 19, 70, 24, 61, 8, 26, 16, 19, 11, 21, 32, 10, 7, 5, 8, 17, 72, 66.025, '', 'Texas Tech', 'Northern Iowa']",2.0,0.4000000000000057,Northern Iowa,Texas Tech,11/23/2023,20231123,13.099999999999994,104.8,91.7,69.3,2.700000000000003,107.4,104.7,68.7,W,72-70,72,70,2,1,1,0,Texas Tech,11/23,Neutral,N Iowa,W by 2,-5.0,-5.0,-7.0,7.5,134.5,11/23/2023,11/23/2023Texas Tech Red Raiders,Texas Tech Red Raiders,213,302,-5.0,66.0,105.9,105.5,0.4000000000000057,105.9,105.5,0.4000000000000057,-4.599999999999994,2024,2024_302,2024_213,0.7,2.2
1120,2023-11-23,0,Penn St.,B10,Texas A&M,N,"L, 89-77",126.2,117.6,118.1,58.5,13.8,25.0,41.5,136.5,64.0,15.3,48.0,36.8,69.3,SEC,1,2024,65.2,Penn St.Texas A&M11-23,Mike Rhoades,Buzz Williams,-4.18355,0.889448,"['11/23/2023', 200, 'Penn St.', 'Texas A&M', 28, 53, 6, 19, 15, 22, 7, 13, 20, 9, 5, 1, 9, 19, 77, 34, 57, 5, 14, 16, 21, 12, 21, 33, 12, 3, 1, 10, 17, 89, 65.2125, '', 'Texas A&M', 'Penn St.']",1.0,8.600000000000009,Penn St.,Texas A&M,11/23/2023,20231123,9.700000000000003,104.3,94.6,72.0,20.900000000000006,114.7,93.8,65.2,L,89-77,77,89,-12,1,1,0,Penn St.,11/23,Neutral,Texas A&M,L by 12,-4.0,-4.0,8.0,30.0,136.0,11/23/2023,11/23/2023Penn St Nittany Lions,Penn St Nittany Lions,297,229,-4.0,65.2,126.2,117.6,8.600000000000009,126.2,117.6,8.600000000000009,4.6000000000000085,2024,2024_229,2024_297,17.6,10.4
1121,2023-11-23,0,Texas A&M,SEC,Penn St.,N,"W, 89-77",139.9,119.8,136.5,64.0,15.3,48.0,36.8,118.1,58.5,13.8,25.0,41.5,85.6,B10,2,2024,65.2,Penn St.Texas A&M11-23,Buzz Williams,Mike Rhoades,4.18355,0.624597,"['11/23/2023', 200, 'Penn St.', 'Texas A&M', 28, 53, 6, 19, 15, 22, 7, 13, 20, 9, 5, 1, 9, 19, 77, 34, 57, 5, 14, 16, 21, 12, 21, 33, 12, 3, 1, 10, 17, 89, 65.2125, '', 'Texas A&M', 'Penn St.']",1.0,20.10000000000001,Penn St.,Texas A&M,11/23/2023,20231123,20.900000000000006,114.7,93.8,65.2,9.700000000000003,104.3,94.6,72.0,W,89-77,89,77,12,1,1,0,Texas A&M,11/23,Neutral,Penn St,W by 12,4.0,4.0,-8.0,30.0,136.0,11/23/2023,11/23/2023Texas AM Aggies,Texas AM Aggies,229,297,4.0,65.2,139.9,119.8,20.10000000000001,139.9,119.8,20.10000000000001,24.10000000000001,2024,2024_297,2024_229,16.6,10.4
1260,2023-11-23,0,Seton Hall,BE,USC,N,"L, 71-63",94.6,91.4,87.8,37.3,18.1,35.4,16.9,98.9,55.6,26.5,21.4,60.0,59.6,P12,1,2024,71.8,Seton HallUSC11-23,Shaheen Holloway,Andy Enfield,-7.68973,0.900061,"['11/23/2023', 200, 'Seton Hall', 'USC', 25, 71, 3, 16, 10, 12, 17, 22, 39, 9, 10, 3, 13, 21, 63, 20, 45, 10, 23, 21, 27, 6, 31, 37, 11, 9, 13, 19, 13, 71, 71.7625, '', 'USC', 'Seton Hall']",0.0,3.1999999999999886,Seton Hall,USC,11/23/2023,20231123,13.5,110.0,96.5,69.2,16.900000000000006,110.9,94.0,69.9,L,71-63,63,71,-8,1,1,0,Seton Hall,11/23,Neutral,USC,L by 8,-4.0,-4.0,4.0,-4.0,138.0,11/23/2023,11/23/2023Seton Hall Pirates,Seton Hall Pirates,324,264,-4.0,71.8,94.6,91.4,3.1999999999999886,94.6,91.4,3.1999999999999886,-0.8000000000000114,2024,2024_264,2024_324,-4.0,-7.8
1261,2023-11-23,0,USC,P12,Seton Hall,N,"W, 71-63",109.4,83.5,98.9,55.6,26.5,21.4,60.0,87.8,37.3,18.1,35.4,16.9,95.8,BE,2,2024,71.8,Seton HallUSC11-23,Andy Enfield,Shaheen Holloway,7.68973,0.786801,"['11/23/2023', 200, 'Seton Hall', 'USC', 25, 71, 3, 16, 10, 12, 17, 22, 39, 9, 10, 3, 13, 21, 63, 20, 45, 10, 23, 21, 27, 6, 31, 37, 11, 9, 13, 19, 13, 71, 71.7625, '', 'USC', 'Seton Hall']",2.0,25.900000000000006,Seton Hall,USC,11/23/2023,20231123,16.900000000000006,110.9,94.0,69.9,13.5,110.0,96.5,69.2,W,71-63,71,63,8,1,1,0,USC,11/23,Neutral,Seton Hall,W by 8,4.0,4.0,-4.0,-4.0,138.0,11/23/2023,11/23/2023Southern California Trojans,Southern California Trojans,264,324,4.0,71.8,109.4,83.5,25.900000000000006,109.4,83.5,25.900000000000006,29.900000000000006,2024,2024_324,2024_264,-4.0,-7.8
