,Date,TypeofGame,Tm,Conference,Opp,HomeAway,Result_x,Tm_AdjO,Tm_AdjD,Tm_O_PPP,Tm_O_EFG,Tm_O_TO,Tm_O_OR,Tm_O_FTR,Tm_D_PPP,Tm_D_EFG,Tm_D_TO,Tm_D_OR,Tm_D_FTR,G-Score,Conference2,  ,Year,Tempo,muid,Tm_coach,Opp_coach,Lead,AvgLead,gamestats, ,EMRating,AWAY,HOME,Date_zero,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,WinorLose,Score,tm_pts,opp_pts,tm_ptdiff,is_home,is_neutral,tm_hca,Team,Date_y,H/A/N,Opponent,Result_y,Diff,ATS,ATSVegas,OverUnder,OverUnderVegas,Year_Date,GameID,Tm_y,opp_code,tm_code,ATSvalue,pace,tm_offensive_rating,tm_defensive_rating,tm_net_eff,tm_mod_AdjO,tm_mod_AdjD,tm_mod_net_eff,tm_margin_net_eff,season,season_tm,season_opp,Reg_dif,Over_dif
194,2023-11-23,0,Arizona St.,P12,BYU,N,"L, 77-49",85.2,100.9,72.5,35.1,14.8,19.5,31.6,113.9,51.5,20.7,42.9,18.2,12.6,B12,2,2024,67.6,BYUArizona St.11-23,Bobby Hurley,Mark Pope,-10.3793,0.891821,"['11/23/2023', 200, 'BYU', 'Arizona St.', 27, 66, 14, 33, 9, 12, 18, 33, 51, 18, 6, 0, 14, 16, 77, 19, 57, 2, 20, 9, 18, 8, 24, 32, 7, 6, 0, 10, 17, 49, 67.625, '', 'BYU', 'Arizona St.']",1.0,-15.700000000000003,BYU,Arizona St.,11/23/2023,20231123,6.799999999999997,102.5,95.7,69.5,21.5,113.8,92.3,68.6,L,77-49,49,77,-28,1,1,0,Arizona St.,11/23,Neutral,BYU,L by 28,-17.0,-17.0,11.0,-18.0,144.0,11/23/2023,11/23/2023Arizona State Sun Devils,Arizona State Sun Devils,18,11,-17.0,67.6,85.2,100.9,-15.700000000000003,85.2,100.9,-15.700000000000003,-32.7,2024,2024_11,2024_18,29.3,29.4
195,2023-11-23,0,BYU,B12,Arizona St.,N,"W, 77-49",118.5,77.8,113.9,51.5,20.7,42.9,18.2,72.5,35.1,14.8,19.5,31.6,99.2,P12,1,2024,67.6,BYUArizona St.11-23,Mark Pope,Bobby Hurley,10.3793,0.687912,"['11/23/2023', 200, 'BYU', 'Arizona St.', 27, 66, 14, 33, 9, 12, 18, 33, 51, 18, 6, 0, 14, 16, 77, 19, 57, 2, 20, 9, 18, 8, 24, 32, 7, 6, 0, 10, 17, 49, 67.625, '', 'BYU', 'Arizona St.']",2.0,40.7,BYU,Arizona St.,11/23/2023,20231123,21.5,113.8,92.3,68.6,6.799999999999997,102.5,95.7,69.5,W,77-49,77,49,28,1,1,0,BYU,11/23,Neutral,Arizona St,W by 28,17.0,17.0,-11.0,-18.0,144.0,11/23/2023,11/23/2023Brigham Young Cougars,Brigham Young Cougars,11,18,17.0,67.6,118.5,77.8,40.7,118.5,77.8,40.7,57.7,2024,2024_18,2024_11,26.5,29.4
300,2023-11-23,0,Colorado St.,MWC,Creighton,N,"W, 69-48",109.2,66.5,103.3,51.6,12.0,21.9,7.9,71.9,32.8,13.5,20.0,21.3,99.7,BE,1,2024,66.8,Colorado St.Creighton11-23,Niko Medved,Greg McDermott,7.63899,0.921894,"['11/23/2023', 200, 'Colorado St.', 'Creighton', 30, 63, 5, 19, 4, 5, 7, 36, 43, 14, 5, 3, 8, 16, 69, 17, 61, 6, 29, 8, 13, 9, 25, 34, 10, 2, 3, 9, 7, 48, 66.775, '', 'Colorado St.', 'Creighton']",1.0,42.7,Colorado St.,Creighton,11/23/2023,20231123,14.399999999999991,114.6,100.2,71.2,25.80000000000001,119.4,93.6,68.0,W,69-48,69,48,21,1,1,0,Colorado St.,11/23,Neutral,Creighton,W by 21,30.0,30.0,9.0,-37.5,154.5,11/23/2023,11/23/2023Colorado St Rams,Colorado St Rams,62,57,30.0,66.8,109.2,66.5,42.7,109.2,66.5,42.7,72.7,2024,2024_57,2024_62,12.6,17.9
301,2023-11-23,0,Creighton,BE,Colorado St.,N,"L, 69-48",79.4,91.1,71.9,32.8,13.5,20.0,21.3,103.3,51.6,12.0,21.9,7.9,17.0,MWC,2,2024,66.8,Colorado St.Creighton11-23,Greg McDermott,Niko Medved,-7.63899,0.837937,"['11/23/2023', 200, 'Colorado St.', 'Creighton', 30, 63, 5, 19, 4, 5, 7, 36, 43, 14, 5, 3, 8, 16, 69, 17, 61, 6, 29, 8, 13, 9, 25, 34, 10, 2, 3, 9, 7, 48, 66.775, '', 'Colorado St.', 'Creighton']",1.0,-11.699999999999989,Colorado St.,Creighton,11/23/2023,20231123,25.80000000000001,119.4,93.6,68.0,14.399999999999991,114.6,100.2,71.2,L,69-48,48,69,-21,1,1,0,Creighton,11/23,Neutral,Colorado St,L by 21,-30.0,-30.0,-9.0,-37.5,154.5,11/23/2023,11/23/2023Creighton Bluejays,Creighton Bluejays,57,62,-30.0,66.8,79.4,91.1,-11.699999999999989,79.4,91.1,-11.699999999999989,-41.69999999999999,2024,2024_62,2024_57,12.6,17.9
656,2023-11-23,0,Iowa St.,B12,VCU,N,"W, 68-64",111.9,104.2,107.3,42.4,11.0,41.5,50.8,100.9,56.8,25.2,19.2,40.9,69.5,A10,1,2024,63.4,Iowa St.VCU11-23,T.J. Otzelberger,Ryan Odom,-5.68167,0.722561,"['11/23/2023', 200, 'Iowa St.', 'VCU', 24, 59, 2, 13, 18, 30, 17, 21, 38, 11, 7, 1, 7, 14, 68, 20, 44, 10, 23, 14, 18, 5, 24, 29, 11, 3, 5, 16, 22, 64, 63.4, '', 'Iowa St.', 'VCU']",2.0,7.700000000000003,Iowa St.,VCU,11/23/2023,20231123,22.0,110.2,88.2,69.6,6.700000000000003,103.2,96.5,67.4,W,68-64,68,64,4,1,1,0,Iowa St.,11/23,Neutral,VCU,W by 4,-7.5,-7.5,-11.5,1.5,130.5,11/23/2023,11/23/2023Iowa State Cyclones,Iowa State Cyclones,334,127,-7.5,63.4,111.9,104.2,7.700000000000003,111.9,104.2,7.700000000000003,0.20000000000000284,2024,2024_127,2024_334,15.9,12.6
657,2023-11-23,0,VCU,A10,Iowa St.,N,"L, 68-64",117.8,98.3,100.9,56.8,25.2,19.2,40.9,107.3,42.4,11.0,41.5,50.8,88.9,B12,2,2024,63.4,Iowa St.VCU11-23,Ryan Odom,T.J. Otzelberger,5.68167,0.875184,"['11/23/2023', 200, 'Iowa St.', 'VCU', 24, 59, 2, 13, 18, 30, 17, 21, 38, 11, 7, 1, 7, 14, 68, 20, 44, 10, 23, 14, 18, 5, 24, 29, 11, 3, 5, 16, 22, 64, 63.4, '', 'Iowa St.', 'VCU']",0.0,19.5,Iowa St.,VCU,11/23/2023,20231123,6.700000000000003,103.2,96.5,67.4,22.0,110.2,88.2,69.6,L,68-64,64,68,-4,1,1,0,VCU,11/23,Neutral,Iowa St,L by 4,7.5,7.5,11.5,1.5,130.5,11/23/2023,11/23/2023VCU Rams,VCU Rams,127,334,7.5,63.4,117.8,98.3,19.5,117.8,98.3,19.5,27.0,2024,2024_334,2024_127,15.9,12.6
660,2023-11-23,0,Iowa,B10,Oklahoma,N,"L, 79-67",100.0,107.3,94.6,38.8,19.8,40.9,26.9,111.5,51.6,11.3,25.7,23.4,30.8,B12,1,2024,70.8,IowaOklahoma11-23,Fran McCaffery,Porter Moser,-10.8873,0.831292,"['11/23/2023', 200, 'Iowa', 'Oklahoma', 24, 67, 4, 23, 15, 18, 18, 26, 44, 10, 4, 4, 14, 15, 67, 31, 64, 4, 20, 13, 15, 9, 26, 35, 15, 8, 4, 8, 15, 79, 70.8375, '', 'Oklahoma', 'Iowa']",1.0,-7.299999999999997,Iowa,Oklahoma,11/23/2023,20231123,16.299999999999997,116.1,99.8,74.6,17.599999999999994,111.3,93.7,69.7,L,79-67,67,79,-12,1,1,0,Iowa,11/23,Neutral,Oklahoma,L by 12,-10.5,-10.5,1.5,-11.5,157.5,11/23/2023,11/23/2023Iowa Hawkeyes,Iowa Hawkeyes,221,126,-10.5,70.8,100.0,107.3,-7.299999999999997,100.0,107.3,-7.299999999999997,-17.799999999999997,2024,2024_126,2024_221,-10.4,-12.7
661,2023-11-23,0,Oklahoma,B12,Iowa,N,"W, 79-67",116.7,83.1,111.5,51.6,11.3,25.7,23.4,94.6,38.8,19.8,40.9,26.9,98.0,B10,2,2024,70.8,IowaOklahoma11-23,Porter Moser,Fran McCaffery,10.8873,0.818586,"['11/23/2023', 200, 'Iowa', 'Oklahoma', 24, 67, 4, 23, 15, 18, 18, 26, 44, 10, 4, 4, 14, 15, 67, 31, 64, 4, 20, 13, 15, 9, 26, 35, 15, 8, 4, 8, 15, 79, 70.8375, '', 'Oklahoma', 'Iowa']",5.0,33.60000000000001,Iowa,Oklahoma,11/23/2023,20231123,17.599999999999994,111.3,93.7,69.7,16.299999999999997,116.1,99.8,74.6,W,79-67,79,67,12,1,1,0,Oklahoma,11/23,Neutral,Iowa,W by 12,10.5,10.5,-1.5,-11.5,157.5,11/23/2023,11/23/2023Oklahoma Sooners,Oklahoma Sooners,126,221,10.5,70.8,116.7,83.1,33.60000000000001,116.7,83.1,33.60000000000001,44.10000000000001,2024,2024_221,2024_126,-10.8,-12.7
890,2023-11-23,0,Michigan,B10,Stanford,N,"W, 83-78",122.6,105.4,120.7,66.7,18.9,24.0,29.6,113.5,59.7,18.9,25.8,6.5,85.1,P12,1,2024,68.8,MichiganStanford11-23,Juwan Howard,Jerod Haase,0.244659,0.800292,"['11/23/2023', 200, 'Michigan', 'Stanford', 32, 54, 8, 18, 11, 16, 6, 23, 29, 14, 9, 4, 13, 10, 83, 31, 62, 12, 27, 4, 4, 8, 19, 27, 20, 9, 3, 13, 17, 78, 68.75, '', 'Michigan', 'Stanford']",4.0,17.19999999999999,Michigan,Stanford,11/23/2023,20231123,15.799999999999997,113.8,98.0,69.1,11.0,110.7,99.7,70.3,W,83-78,83,78,5,1,1,0,Michigan,11/23,Neutral,Stanford,W by 5,2.5,2.5,-2.5,11.0,150.0,11/23/2023,11/23/2023Michigan Wolverines,Michigan Wolverines,283,171,2.5,68.8,122.6,105.4,17.19999999999999,122.6,105.4,17.19999999999999,19.69999999999999,2024,2024_171,2024_283,1.3,3.8
891,2023-11-23,0,Stanford,P12,Michigan,N,"L, 83-78",121.4,108.8,113.5,59.7,18.9,25.8,6.5,120.7,66.7,18.9,24.0,29.6,77.9,B10,2,2024,68.8,MichiganStanford11-23,Jerod Haase,Juwan Howard,-0.244659,0.833538,"['11/23/2023', 200, 'Michigan', 'Stanford', 32, 54, 8, 18, 11, 16, 6, 23, 29, 14, 9, 4, 13, 10, 83, 31, 62, 12, 27, 4, 4, 8, 19, 27, 20, 9, 3, 13, 17, 78, 68.75, '', 'Michigan', 'Stanford']",1.0,12.600000000000009,Michigan,Stanford,11/23/2023,20231123,11.0,110.7,99.7,70.3,15.799999999999997,113.8,98.0,69.1,L,83-78,78,83,-5,1,1,0,Stanford,11/23,Neutral,Michigan,L by 5,-2.5,-2.5,2.5,11.0,150.0,11/23/2023,11/23/2023Stanford Cardinal,Stanford Cardinal,171,283,-2.5,68.8,121.4,108.8,12.600000000000009,121.4,108.8,12.600000000000009,10.100000000000009,2024,2024_283,2024_171,1.3,3.8
