,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,87.98,76.3,64.66,49.97,38.05,26.29,2.8037276531000384
1,Duke,FinalFour,1,100.0,67.72,51.69,37.93,23.75,11.36,6.85,13.598540145985403
2,Vanderbilt,EliteEight,13,100.0,75.98,50.89,33.28,21.02,11.41,5.62,16.793594306049823
3,Alabama,SweetSixteen,3,100.0,77.42,54.81,31.96,18.67,10.8,5.39,17.55287569573284
4,Arizona,FinalFour,9,100.0,77.61,54.93,34.16,20.41,11.31,5.25,18.047619047619047
5,Connecticut,EliteEight,9,100.0,73.39,49.85,30.4,13.99,8.8,5.05,18.801980198019802
6,Iowa St.,FinalFour,8,100.0,74.65,49.95,32.71,20.09,11.16,4.96,19.161290322580648
7,Gonzaga,EliteEight,16,100.0,66.15,44.78,26.98,15.65,7.15,4.08,23.50980392156863
8,Houston,SweetSixteen,15,100.0,70.7,47.29,29.77,16.29,8.46,4.02,23.87562189054727
9,Purdue,EliteEight,12,100.0,66.45,37.88,24.05,12.73,7.71,3.49,27.653295128939828
10,Michigan St.,SweetSixteen,8,100.0,71.0,44.42,26.82,14.55,5.86,3.41,28.325513196480937
11,Illinois,SweetSixteen,14,100.0,71.85,41.87,26.27,12.95,6.91,3.27,29.581039755351682
12,Louisville,SweetSixteen,2,100.0,74.86,45.62,26.05,12.81,6.51,2.61,37.31417624521073
13,St. John's,midwest,10,100.0,62.57,34.84,20.01,11.52,6.32,2.55,38.21568627450981
14,Kansas,east,5,100.0,60.29,36.79,12.69,7.13,3.4,1.74,56.4712643678161
15,BYU,SweetSixteen,4,100.0,66.9,39.56,19.23,6.34,3.47,1.65,59.60606060606061
16,Tennessee,west,7,100.0,61.03,30.76,14.41,7.49,3.01,1.42,69.42253521126761
17,Virginia,midwest,5,100.0,57.34,29.2,14.83,7.1,3.43,1.28,77.125
18,North Carolina,SweetSixteen,9,100.0,63.32,38.74,17.67,8.76,3.27,1.19,83.03361344537815
19,Florida,south,11,100.0,52.59,28.04,13.5,5.92,2.93,1.07,92.45794392523365
20,Saint Mary's,east,6,100.0,66.17,33.55,16.11,5.65,2.34,0.88,112.63636363636364
21,Arkansas,south,5,100.0,58.95,26.97,13.61,6.34,2.31,0.84,118.04761904761905
22,Auburn,west,6,100.0,53.36,30.38,14.65,5.42,1.83,0.71,139.84507042253523
23,N.C. State,south,10,100.0,51.42,22.83,9.17,4.26,1.58,0.68,146.05882352941174
24,Texas Tech,west,5,100.0,52.97,28.23,12.2,6.39,1.65,0.67,148.25373134328356
25,Nebraska,SweetSixteen,13,100.0,61.31,29.56,8.0,4.03,1.84,0.57,174.4385964912281
26,Georgia,midwest,7,100.0,37.43,18.92,9.95,5.26,1.93,0.56,177.57142857142856
27,Miami FL,midwest,8,100.0,53.88,24.27,11.76,4.16,1.75,0.46,216.3913043478261
28,UCLA,east,10,100.0,46.53,25.38,12.95,2.76,1.26,0.46,216.3913043478261
29,Oklahoma St.,west,8,100.0,55.8,23.88,14.28,5.74,1.35,0.44,226.27272727272728
30,Clemson,east,7,100.0,53.47,17.64,8.02,2.79,1.06,0.32,311.5
31,Boise St.,west,10,100.0,38.97,13.65,5.43,2.88,0.92,0.28,356.1428571428571
32,Saint Louis,east,11,100.0,33.83,16.74,8.12,2.26,0.76,0.23,433.78260869565213
33,USC,south,6,100.0,47.41,18.91,6.63,2.68,0.88,0.21,475.19047619047626
34,SMU,south,7,100.0,48.58,19.46,7.86,2.99,0.8,0.2,498.99999999999994
35,Utah St.,south,8,100.0,50.46,19.95,9.23,2.69,0.78,0.16,624.0
