,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,80.22,68.57,52.85,38.98,30.07,22.37,3.4702726866338844
1,Arizona,FinalFour,9,100.0,79.54,57.12,41.39,27.47,17.93,8.85,10.299435028248588
2,Vanderbilt,SweetSixteen,2,100.0,80.19,60.23,38.55,21.17,12.98,6.97,13.347202295552368
3,Illinois,SweetSixteen,8,100.0,72.69,49.29,34.27,22.36,11.08,6.5,14.384615384615385
4,Purdue,EliteEight,9,100.0,69.8,48.41,30.25,16.49,10.19,6.27,14.948963317384372
5,Connecticut,FinalFour,8,100.0,83.12,55.98,34.27,21.28,11.87,5.87,16.03577512776831
6,Houston,SweetSixteen,4,100.0,72.76,50.07,31.52,15.09,9.23,5.61,16.825311942959
7,Alabama,SweetSixteen,15,100.0,69.33,48.95,26.47,14.43,8.8,4.12,23.271844660194173
8,Gonzaga,EliteEight,16,100.0,71.15,46.13,27.56,16.9,6.67,3.61,26.70083102493075
9,Virginia,SweetSixteen,14,100.0,64.23,46.69,26.31,16.04,7.91,3.36,28.761904761904763
10,Florida,east,5,100.0,69.18,40.87,17.06,9.02,5.17,2.58,37.75968992248062
11,Iowa St.,EliteEight,13,100.0,67.96,35.33,19.68,10.32,5.32,2.26,43.24778761061947
12,Michigan St.,SweetSixteen,9,100.0,70.5,41.68,25.02,12.78,5.27,2.23,43.84304932735426
13,Nebraska,EliteEight,12,100.0,69.27,40.01,23.29,12.84,5.78,2.02,48.504950495049506
14,Duke,FinalFour,1,100.0,79.39,48.95,27.25,11.55,3.66,1.7,57.8235294117647
15,BYU,SweetSixteen,3,100.0,62.6,41.36,21.46,9.89,4.28,1.51,65.2251655629139
16,Kansas,SweetSixteen,13,100.0,67.42,37.47,15.33,7.64,3.44,1.48,66.56756756756756
17,Iowa,midwest,10,100.0,51.61,29.17,17.01,8.24,3.64,1.26,78.36507936507937
18,Louisville,south,7,100.0,52.54,30.1,12.92,6.27,3.19,1.2,82.33333333333333
19,St. John's,west,7,100.0,53.6,26.16,10.81,5.95,2.29,0.95,104.26315789473685
20,Tennessee,west,6,100.0,53.08,26.35,11.46,6.15,2.11,0.95,104.26315789473685
21,Texas Tech,west,5,100.0,57.9,34.5,18.26,7.51,2.16,0.83,119.48192771084338
22,Clemson,midwest,5,100.0,58.31,27.84,14.07,7.14,2.78,0.72,137.88888888888889
23,North Carolina,midwest,6,100.0,56.03,28.49,12.87,5.53,2.09,0.64,155.25
24,Arkansas,south,5,100.0,47.94,19.1,8.39,3.72,1.75,0.58,171.41379310344828
25,Saint Louis,midwest,7,100.0,48.39,24.76,14.16,6.05,2.1,0.53,187.67924528301884
26,N.C. State,south,10,100.0,47.46,24.97,11.21,4.46,1.66,0.53,187.67924528301884
27,Utah St.,east,6,100.0,59.24,27.58,11.73,3.71,1.28,0.5,199.0
28,Saint Mary's,west,8,100.0,55.72,25.81,13.35,4.78,1.2,0.47,211.76595744680853
29,Miami FL,east,7,100.0,54.05,21.63,9.65,2.82,1.42,0.42,237.0952380952381
30,SMU,south,8,100.0,56.69,23.96,9.3,2.93,1.21,0.39,255.4102564102564
31,Georgia,midwest,9,100.0,50.03,19.33,9.83,4.02,1.29,0.35,284.7142857142857
32,Kentucky,midwest,8,100.0,49.97,20.35,7.7,3.72,1.36,0.3,332.33333333333337
33,Villanova,south,6,100.0,53.1,18.89,8.86,3.03,1.33,0.28,356.1428571428571
34,Auburn,west,11,100.0,46.92,16.99,6.24,2.91,0.93,0.28,356.1428571428571
35,Texas A&M,west,10,100.0,46.4,19.72,6.83,3.58,0.84,0.28,356.1428571428571
36,Wisconsin,east,9,100.0,53.29,12.92,4.92,1.69,0.53,0.18,554.5555555555555
37,Texas,east,10,100.0,45.95,18.42,6.92,1.02,0.6,0.16,624.0
38,Baylor,east,11,100.0,40.76,13.92,5.48,1.14,0.46,0.16,624.0
39,Missouri,midwest,11,100.0,43.97,16.12,5.1,1.29,0.58,0.1,999.0
40,USC,south,9,100.0,43.31,14.57,5.78,1.45,0.42,0.09,1110.111111111111
41,Seton Hall,west,9,100.0,44.28,18.68,6.0,1.98,0.29,0.08,1249.0
42,UCF,east,8,100.0,46.71,13.37,3.82,0.79,0.28,0.08,1249.0
43,Belmont,west,12,100.0,42.1,13.42,5.04,2.3,0.31,0.07,1427.5714285714284
44,Tulsa,south,12,100.0,52.06,19.3,5.36,1.96,0.51,0.06,1665.6666666666667
45,Hofstra,west,13,100.0,29.5,10.4,3.75,0.82,0.29,0.05,1999.0
46,High Point,midwest,14,100.0,37.4,14.03,4.76,1.53,0.24,0.05,1999.0
47,Liberty,midwest,12,100.0,41.69,12.45,3.09,1.0,0.18,0.03,3332.3333333333335
48,Stanford,south,11,100.0,46.9,13.64,5.73,1.38,0.39,0.02,4999.0
49,Utah Valley,midwest,13,100.0,35.77,13.02,3.48,1.21,0.17,0.02,4999.0
50,Hawaii,east,13,100.0,32.58,9.49,2.4,0.41,0.05,0.02,4999.0
51,Marist,west,15,100.0,28.85,7.99,1.48,0.17,0.02,0.02,4999.0
52,St. Thomas,south,14,100.0,19.81,7.24,1.31,0.51,0.13,0.01,9999.0
53,Wright St.,east,15,100.0,30.2,11.54,2.99,0.42,0.1,0.01,9999.0
54,Troy,west,14,100.0,27.31,7.37,1.35,0.16,0.02,0.01,9999.0
55,Portland St.,east,16,100.0,19.78,5.14,1.43,0.33,0.01,0.01,9999.0
56,LIU,south,16,100.0,20.46,4.35,0.77,0.14,0.05,0.0,0.0
57,Austin Peay,south,15,100.0,32.04,9.6,1.74,0.44,0.04,0.0,0.0
58,Furman,east,14,100.0,27.24,8.43,1.46,0.15,0.03,0.0,0.0
59,Yale,south,13,100.0,30.67,12.65,2.54,0.32,0.01,0.0,0.0
60,Tennessee Martin,midwest,15,100.0,30.73,6.06,1.35,0.12,0.01,0.0,0.0
61,McNeese St.,east,12,100.0,30.82,12.17,2.19,0.3,0.0,0.0,0.0
62,Grambling St.,west,16,100.0,20.61,6.56,1.33,0.1,0.0,0.0,0.0
63,Howard,midwest,16,100.0,16.88,4.34,1.25,0.1,0.0,0.0,0.0
