muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Tm_TeamID,Opp_TeamID,TeamID,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,Team_Opp,TeamID_Opp,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,TeamID_y,Team_Standardized_Tm,Tm_y,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Team_Standardized_Opp,WAB_Tm_AdjOE,WAB_Tm_AdjDE,WAB_Tm_AdjT,WAB_Opp_AdjOE,WAB_Opp_AdjDE,WAB_Opp_AdjT,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team,home_team,date,teams,commence_time,DraftKings,BetMGM spreads,FanDuel,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
MercerElon11-29,2025-11-29,SC at CAA,225 Mercer at 212 Elon,"Elon -4.8, 81-76 (67%)",43.002840612490616,0,H,Mercer,11/29/2025,104.68665201400744,112.80351118044436,0.2975959302359783,0.3299768920688788,76.06959833328972,Elon,110.69059999716715,112.1485541158434,0.4624501741103112,0.6700231079311212,80.90204375244461,69.72647645436473,,0,,,,,,,,,,,,,,,,,0.8858254471259088,0.9662788683904654,739584,,,,225,212,,,,Mercer,Elon,-4.832445419154894,156.97164208573435,-12.0,-14.7,3.9,15.9,71.2,101.4,20251129,-2.5,108.7,111.2,71.1,-2.5999999999999943,111.7,114.3,68.9,,,,,,454,222,454,-5.289999999999992,106.066,111.356,71.1827,Elon,222,-4.356000000000009,109.27,113.626,68.0441,Mercer,69.29000720800208,3.3381228670254335,1.2822277182602582,112.56241247995746,111.2801847616972,454,Mercer,Mercer,68.14905005751395,8.224676397336498,3.4618860539627305,119.22601992126752,115.7641338673048,Elon,116.5,100.9,72.3,119.22601992126752,115.7641338673048,68.14905005751395,81.95972232523009,86.65721836121124,168.61694068644132,-4.697496035981146,68.80323033707865,78.6058234690111,83.93391059233458,162.53973406134568,-5.328087123323485,68.02756681278089,82.85786021072059,89.22308978463525,172.08094999535584,-6.365229573914661,66.32090125988253,-5.205151314687555,66.32090125988253,-9.999334924755004,66.32090125988253,Mercer,Elon,11/29/2025,Mercer vs Elon,2025-11-29 15:00:00-06:00,-2.5,-2.5,-1.5,55.67984968164682,68.9957081123047,13.315858430657876,-3.705151314687555,-18.405151314687554,Elon,Elon,1
DartmouthSaint Peter's11-29,2025-11-29,Ivy at MAAC,259 Dartmouth at 305 Saint Peter's,"Saint Peter's -1.6, 74-72 (56%)",44.857027081295264,0,H,Dartmouth,11/29/2025,101.0395295127502,111.16459753272832,0.2500676289712842,0.439224498082571,72.27654034451231,Saint Peter's,102.1452946529456,110.0188871881415,0.2986066606629436,0.560775501917429,73.82843432090124,69.96975909688723,,0,,,,,,,,,,,,,,,,,0.9400403233306426,0.973268236178246,739584,,,,259,305,,,,Dartmouth,Saint Peter's,-1.551893976388925,146.10497466541355,-5.5,-6.9,-12.8,-7.2,71.2,101.4,20251129,-11.400000000000006,101.6,113.0,73.0,-11.200000000000003,99.8,111.0,67.2,,,,,,176,715,176,-7.367999999999995,102.37,109.738,73.2528,Saint Peter's,715,-10.634,100.834,111.468,66.3519,Dartmouth,73.34910295772146,-26.21868123637202,-16.39792382772643,100.16236346789394,116.56028729562038,176,Dartmouth,Dartmouth,67.29536683531654,-12.857496190770286,-10.982841659449226,100.88652984738337,111.8693715068326,Saint Peter's,116.5,100.9,72.3,100.88652984738337,111.8693715068326,67.29536683531654,74.49801500572566,78.78781914067413,153.2858341463998,-4.289804134948469,68.89887640449437,74.68551613880966,76.59485370697112,151.2803698457808,-1.9093375681614617,68.26492219550562,74.47861894540979,82.66501071231127,157.14362965772108,-8.18639176690148,69.32661222726499,-10.824739427920903,69.32661222726499,-5.629320912853913,69.32661222726499,Dartmouth,Saint Peter's,11/29/2025,Dartmouth vs Saint Peter's,2025-11-29 13:00:00-06:00,-2.5,-3.5,-3.5,63.055865981823636,84.8712605383443,21.815394556520666,-7.324739427920903,-14.224739427920904,Saint Peter's,Saint Peter's,1
Stephen F. AustinUT Arlington11-29,2025-11-29,Slnd at WAC,143 Stephen F. Austin at 186 UT Arlington,"UT Arlington -1.1, 70-69 (55%)",54.72250759467168,0,H,Stephen F. Austin,11/29/2025,104.76533220343556,106.5572906993542,0.4513943738450754,0.4532577566879572,68.85320856292365,UT Arlington,105.445307855716,105.51430011860316,0.4981195279081175,0.5467422433120428,69.98511732148711,67.02963459977747,,0,,,,,,,,,,,,,,,,,0.8705500309547249,0.936528799685984,739584,,,,143,186,,,,Stephen F. Austin,UT Arlington,-1.1319087585634549,138.83832588441078,9.1,8.2,5.4,-3.7,71.2,101.4,20251129,1.1000000000000085,106.9,105.8,68.3,-1.5999999999999943,104.0,105.6,69.6,,,,,,800,843,800,0.9549999999999983,106.145,105.19,67.1812,UT Arlington,843,-2.8119999999999976,104.092,106.904,69.3085,Stephen F. Austin,67.47953891527192,16.54736609142936,9.875422089755258,113.49318088854966,103.61775879879443,800,Stephen F. Austin,Stephen F. Austin,68.12836753674766,0.3553046108908673,-1.2434765912566093,99.77435447799233,101.01783106924896,UT Arlington,116.5,100.9,72.3,99.77435447799233,101.01783106924896,68.12836753674766,72.26157912794561,74.49153295065166,146.75311207859727,-2.229953822706051,66.76516853932583,71.14815373733757,72.60792511895038,143.75607885628796,-1.4597713816128106,65.39646348595505,70.97473475955138,67.6879204422924,138.6626552018438,3.2868143172589868,64.56841051165605,8.494248231436345,64.56841051165605,4.052442580532571,64.56841051165605,Stephen F. Austin,UT Arlington,11/29/2025,Stephen F. Austin vs UT Arlington,2025-11-29 14:00:00-06:00,-1.5,-1.5,-1.5,55.67984968164682,20.92644693029946,-34.753402751347366,9.994248231436345,18.194248231436344,UT Arlington,Stephen F. Austin,0
Boston UniversityNorthern Kentucky11-29,2025-11-29,Pat at Horz,261 Boston University at 253 Northern Kentucky,"Northern Kentucky -4.2, 74-70 (66%)",36.13628184530118,0,H,Boston University,11/29/2025,107.46437143127112,118.34207710045249,0.2480890234767691,0.3378673895048257,69.57357736402255,Northern Kentucky,104.6138965610674,108.65644221928882,0.3926902287975365,0.6621326104951744,73.76543662742968,64.12035777761929,,0,,,,,,,,,,,,,,,,,0.9116803450152572,0.9735420892755772,739584,,,,261,253,,,,Boston University,Northern Kentucky,-4.191859263407125,143.33901399145225,-6.8,-6.2,-2.9,3.9,71.2,101.4,20251129,-6.700000000000003,109.7,116.4,64.6,-3.700000000000003,105.7,109.4,70.0,,,,,,77,591,77,-7.942999999999998,108.88,116.823,64.4617,Northern Kentucky,591,-6.816999999999993,103.271,110.088,69.0973,Boston University,64.13426914769036,-6.234780716696396,-7.321993472193212,111.55942476185146,118.88141823404466,77,Boston University,Boston University,69.2465406625343,3.9885300179830288,0.5365380608213902,108.12005958633596,107.58352152551457,Northern Kentucky,116.5,100.9,72.3,108.12005958633596,107.58352152551457,69.2465406625343,73.07862861368947,79.2348950447191,152.31352365840857,-6.156266431029621,63.51123595505617,71.89303325955386,76.52926293917878,148.42229619873262,-4.636229679624918,62.557997519803365,71.77548499076846,81.29548897098944,153.0709739617579,-9.520003980220977,62.3746668033351,-8.103631398074796,62.3746668033351,-5.996700466472646,62.3746668033351,Boston University,Northern Kentucky,11/29/2025,Boston University vs Northern Kentucky,2025-11-29 12:00:00-06:00,-5.5,-5.5,-5.5,69.97944856925476,77.98759773423308,8.00814916497832,-2.6036313980747963,-8.803631398074796,Northern Kentucky,Northern Kentucky,1
Little RockSouthern Illinois11-29,2025-11-29,OVC at MVC,220 Little Rock at 140 Southern Illinois,"Southern Illinois -7.8, 77-70 (77%)",39.21601806719154,0,H,Little Rock,11/29/2025,103.74554383323176,111.26996843521964,0.3089123295315517,0.2280956477622326,69.68459246906403,Southern Illinois,109.5720952195248,105.6987020157366,0.6020194024420364,0.7719043522377674,77.47749841730682,68.38632163107322,,0,,,,,,,,,,,,,,,,,0.8152396320396663,0.9644893025319023,739584,,,,220,140,,,,Little Rock,Southern Illinois,-7.79290594824279,147.16209088637083,-5.4,-4.0,-10.0,-4.6,71.2,101.4,20251129,-8.0,102.4,110.4,67.2,2.799999999999997,108.7,105.9,71.2,,,,,,394,770,394,-4.730000000000004,105.112,109.842,66.9401,Southern Illinois,770,1.0750000000000028,108.166,107.091,70.9659,Little Rock,65.06541860488707,-24.005045762097005,-14.843168126233003,98.2663634139243,113.10953154015732,394,Little Rock,Little Rock,70.45559343494533,4.55683615240359,1.9952510398930186,109.24290499617837,107.24765395628535,Southern Illinois,116.5,100.9,72.3,109.24290499617837,107.24765395628535,70.45559343494533,69.8684429136284,81.7722307584,151.6406736720284,-11.9037878447716,67.2,72.00741601806578,80.38096851375954,152.38838453182532,-8.373552495693758,66.72000621615169,65.05703581333402,80.67075302767907,145.72778884101308,-15.613717214345044,64.38514999860185,-20.017090088026194,64.38514999860185,-5.147979053288211,64.38514999860185,Little Rock,Southern Illinois,11/29/2025,Little Rock vs Southern Illinois,2025-11-29 18:00:00-06:00,-13.5,-13.5,-13.5,90.0728603156669,97.17001570879712,7.0971553931302225,-6.517090088026194,-10.517090088026194,Little Rock,Southern Illinois,0
DrakeGeorgia Tech11-29,2025-11-29,MVC vs. ACC,148 Drake vs. 101 Georgia Tech,"Georgia Tech -4.0, 69-65 (67%)",53.7175902846413,0,N,Drake,11/29/2025,103.70294928429392,103.32196646658426,0.510580014850101,0.3327889157498637,64.91972733463986,Georgia Tech,104.31132634391864,97.82817343552388,0.6765418215522607,0.6672110842501363,68.96770355393787,68.86415458983163,,0,,,,,,,,,,,,,,,,,0.8114256094364272,0.896125608868839,739584,,,,148,101,,,,Drake,Georgia Tech,-4.0479762192980075,133.88743088857774,7.4,4.1,-2.3,-9.7,71.2,101.4,20251129,1.7999999999999972,106.3,104.5,67.7,5.299999999999997,103.6,98.3,71.4,,,,,,196,276,196,0.3810000000000002,103.703,103.322,67.2056,Georgia Tech,276,6.482800000000012,104.311,97.8282,71.1795,Drake,67.1407719439384,-0.43394972931776077,-1.9188087519447938,100.39887091634812,102.3176796682929,196,Drake,Drake,70.86104079347659,-1.12314542507952,2.4817797926573886,98.02727385460206,95.54549406194465,Georgia Tech,116.5,100.9,72.3,98.02727385460206,95.54549406194465,70.86104079347659,69.96095258543316,72.48447166079384,142.445424246227,-2.5235190753606815,67.89016853932586,67.21989504279729,71.4110403588587,138.630935401656,-4.191145316061409,67.18625007303372,63.21424389296917,66.09574715334914,129.30999104631832,-2.881503260379965,66.82113735428268,0.460528402504778,66.82113735428268,4.944764164216927,66.82113735428268,Drake,Georgia Tech,11/29/2025,Drake vs Georgia Tech,2025-11-29 15:00:00-06:00,-3.5,-3.5,-3.5,63.055865981823636,48.25080606245676,-14.805059919366876,3.960528402504778,8.060528402504778,Drake,Drake,1
DePaulLSU11-29,2025-11-29,BE vs. SEC,91 DePaul vs. 50 LSU,"LSU -4.5, 80-76 (66%)",66.57216172759698,0,N,DePaul,11/29/2025,111.89226453319904,103.62254628341935,0.7074409894248204,0.3407264212717442,75.78185528006132,LSU,117.50245463838056,102.74819264462396,0.823907166999874,0.6592735787282558,80.25871049272239,70.93532525578614,DePaul,0,,,,,,,,,,,,,,,,,0.6579513539103697,0.7882212539102159,739584,,,,91,50,,,,DePaul,LSU,-4.476855212661064,156.0405657727837,6.7,3.8,7.6,0.9,71.2,101.4,20251129,7.199999999999989,110.1,102.9,69.4,17.900000000000006,118.4,100.5,71.0,,,,,,183,407,183,8.268999999999991,111.892,103.623,69.6169,LSU,407,14.75399999999999,117.502,102.748,70.7807,DePaul,68.87808201467017,2.238432100118393,5.190734883991165,107.83528060947039,102.6445457254792,183,DePaul,DePaul,70.30429881873407,23.15184414321012,17.919120969223783,120.37051604649295,102.45139507726923,LSU,116.5,100.9,72.3,120.37051604649295,102.45139507726923,70.30429881873407,75.51848194102784,83.15089874343462,158.66938068446245,-7.63241680240678,69.20505617977528,78.46644897915874,83.10229266288599,161.56874164204473,-4.635843683727245,69.20692294705056,74.10094168221403,82.87069424581698,156.971635928031,-8.76975256360295,68.01159073062702,-14.223544206557207,68.01159073062702,4.556776578952011,68.01159073062702,DePaul,LSU,11/29/2025,DePaul vs LSU,2025-11-29 18:00:00-06:00,-5.5,-5.5,-4.5,66.58824291023754,91.22311902260618,24.634876112368644,-9.723544206557207,-5.9235442065572075,LSU,LSU,1
LehighTexas St.11-29,2025-11-29,Pat vs. SB,300 Lehigh vs. 180 Texas St.,"Texas St. -5.0, 71-66 (70%)",36.8887520859836,0,N,Lehigh,11/29/2025,100.86000579559008,111.09204977527418,0.2476481522767236,0.2996619172747772,65.68851708106982,Texas St.,102.65634964385453,105.02459352584609,0.4348016449001818,0.7003380827252228,70.72097782413415,66.73459749110701,,0,,,,,,,,,,,,,,,,,0.9212542232085408,0.9647165283632544,739584,,,,300,180,,,,Lehigh,Texas St.,-5.032460743064334,136.40949490520399,-5.6,-1.8,-1.1,4.6,71.2,101.4,20251129,-10.899999999999991,99.9,110.8,69.8,-4.299999999999997,101.2,105.5,66.7,,,,,,385,853,385,-10.232,100.86,111.092,69.416,Texas St.,853,-2.3689999999999998,102.656,105.025,66.7818,Lehigh,68.59096351122464,-9.21868148616268,-9.075177750129114,99.66543797162454,108.74061572175364,385,Lehigh,Lehigh,66.47884596912823,-2.3844282152698453,-0.021458858986049822,100.00205507488394,100.02351393387002,Texas St.,116.5,100.9,72.3,100.00205507488394,100.02351393387002,66.47884596912823,67.96436377651088,72.30753905103826,140.27190282754913,-4.343175274527383,65.38848314606741,68.01605055942834,73.22626447491028,141.24231503433862,-5.210213915481944,65.10850321348315,62.96208682853324,68.68045116771697,131.6425379962502,-5.718364339183729,64.04281036708986,-4.376847862284528,64.04281036708986,-3.6504401909241153,64.04281036708986,Lehigh,Texas St.,11/29/2025,Lehigh vs Texas St.,2025-11-29 13:00:00-06:00,-6.5,-5.5,-5.5,69.97944856925476,66.16032492680432,-3.8191236424504353,1.123152137715472,-0.676847862284528,Lehigh,Lehigh,1
Norfolk St.Arizona11-29,2025-11-29,MEAC at B12,277 Norfolk St. at 11 Arizona,"Arizona -29.2, 87-57 (98%)",38.77994084608006,0,H,Norfolk St.,11/29/2025,98.17540397653066,108.88209476786848,0.2331939046631877,0.0158054079778967,57.39641646429211,Arizona,122.5246672888784,94.87534463978594,0.9498415330735596,0.9841945920221032,86.55011898525171,68.37628806630748,Norfolk St.,0,,,,,,,,,,,,,,,,,0.2606102879321447,0.9755630681011064,739584,,,,277,11,,,,Norfolk St.,Arizona,-29.153702520959605,143.94653544954383,-2.4,-1.9,0.4,2.7,71.2,101.4,20251129,-6.099999999999994,100.2,106.3,65.9,27.400000000000006,122.5,95.1,71.6,,,,,,557,32,557,-8.016499999999994,99.4685,107.485,66.2949,Arizona,32,24.826999999999998,120.952,96.125,71.646,Norfolk St.,63.83507940840284,5.118794423661623,-0.5820253608938788,98.70885345909007,99.29087881998396,557,Norfolk St.,Norfolk St.,70.61895024530942,28.10954446409371,27.573291914043594,120.98823813447723,93.41494622043359,Arizona,116.5,100.9,72.3,120.98823813447723,93.41494622043359,70.61895024530942,60.54559571419071,87.50356589182582,148.04916160601653,-26.957970177635104,66.27022471910112,61.154704415780145,87.94090786063484,149.09561227641498,-26.786203444854692,66.71017423314606,55.97434460960399,77.12428110262057,133.09862571222456,-21.149936493016583,63.314133379878875,-16.623725167516696,63.314133379878875,-3.256499136260686,63.314133379878875,Norfolk St.,Arizona,11/29/2025,Norfolk St. vs Arizona,2025-11-29 15:00:00-06:00,-36.5,-36.5,-35.5,99.96388246991121,94.33134148367155,-5.632540986239661,18.876274832483304,16.976274832483305,Norfolk St.,Norfolk St.,1
Ball St.Lafayette11-29,2025-11-29,MAC at Pat,267 Ball St. at 310 Lafayette,"Lafayette -1.1, 72-71 (54%)",42.76347014540027,0,H,Ball St.,11/29/2025,102.78703348511291,113.36449681262788,0.2448234747199994,0.4556183798984544,70.50725414634718,Lafayette,102.0851796501597,110.86118025436006,0.2792028537336811,0.5443816201015456,71.60704197216884,66.58671002671565,,0,,,,,,,,,,,,,,,,,0.9451493020722096,0.9739912592812368,739584,,,,267,310,,,,Ball St.,Lafayette,-1.0997878258216645,142.11429611851602,-0.3,0.3,-2.3,-2.0,71.2,101.4,20251129,-11.100000000000009,102.6,113.7,67.2,-17.299999999999997,98.5,115.8,69.2,,,,,,54,379,54,-7.768999999999991,104.141,111.91,67.2114,Lafayette,379,-11.545999999999992,100.775,112.321,68.8195,Ball St.,66.25831234789027,-20.768510651398778,-14.19764982769255,98.49016359614288,112.68781342383544,54,Ball St.,Ball St.,67.88350436841345,-24.868338877933738,-16.099849581170538,101.2654451975007,117.36529477867127,Lafayette,116.5,100.9,72.3,101.2654451975007,117.36529477867127,67.88350436841345,74.39901211347373,74.1702980240899,148.56931013756363,0.22871408938382842,65.31235955056181,72.85729465844435,74.29064323947719,147.14793789792154,-1.4333485810328455,64.96425480758427,70.01209247584882,73.0972121077365,143.1093045835853,-3.085119631887679,63.17200050156899,1.2247434451761876,63.17200050156899,-1.9203024712466998,63.17200050156899,Ball St.,Lafayette,11/29/2025,Ball St. vs Lafayette,2025-11-29 15:30:00-06:00,2.5,2.5,2.5,40.590361400171645,45.35717845687655,4.766817056704902,-1.2752565548238124,-0.9752565548238123,Lafayette,Lafayette,1
