,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,85.28,64.38,54.54,44.34,33.73,25.63,2.901677721420211
1,Duke,FinalFour,1,100.0,70.77,51.92,39.88,25.42,12.57,7.66,12.054830287206267
2,Connecticut,EliteEight,9,100.0,79.1,57.78,40.38,18.52,11.56,7.26,12.774104683195592
3,Louisville,SweetSixteen,2,100.0,73.28,50.69,31.6,20.06,11.99,5.95,15.80672268907563
4,Vanderbilt,EliteEight,13,100.0,75.96,42.91,25.4,16.16,10.01,4.5,21.22222222222222
5,Arizona,FinalFour,9,100.0,79.7,49.86,32.36,17.26,10.51,4.41,21.675736961451246
6,Gonzaga,SweetSixteen,8,100.0,71.15,51.44,35.24,18.79,8.2,4.35,21.98850574712644
7,Michigan St.,EliteEight,16,100.0,73.37,48.18,29.23,17.76,7.92,4.27,22.419203747072604
8,Indiana,south,7,100.0,59.4,33.19,18.77,11.41,6.6,3.34,28.940119760479043
9,Iowa St.,EliteEight,12,100.0,71.9,45.0,29.12,16.17,8.66,3.29,29.3951367781155
10,Alabama,SweetSixteen,14,100.0,63.68,42.9,25.51,14.64,7.28,3.15,30.746031746031743
11,Purdue,FinalFour,8,100.0,72.84,43.97,23.98,14.01,7.29,3.08,31.467532467532468
12,Tennessee,SweetSixteen,3,100.0,73.01,48.41,25.41,13.94,7.12,2.82,34.460992907801426
13,Houston,SweetSixteen,13,100.0,61.32,42.16,14.1,7.51,4.01,2.17,45.08294930875576
14,Santa Clara,south,9,100.0,60.44,29.58,21.06,10.12,5.06,1.94,50.54639175257732
15,Illinois,east,8,100.0,56.1,20.34,11.34,5.75,3.45,1.72,57.139534883720934
16,Florida,midwest,9,100.0,57.79,33.18,19.48,10.57,4.44,1.58,62.291139240506325
17,Georgia,midwest,10,100.0,63.78,32.69,16.06,8.16,3.88,1.44,68.44444444444444
18,Kansas,south,5,100.0,59.24,37.51,15.85,6.74,3.46,1.24,79.64516129032259
19,North Carolina,SweetSixteen,9,100.0,53.33,28.61,14.42,6.72,2.14,0.96,103.16666666666667
20,BYU,SweetSixteen,4,100.0,71.22,43.46,19.54,6.31,2.38,0.94,105.38297872340426
21,Miami FL,midwest,11,100.0,56.13,25.24,12.61,6.06,2.89,0.86,115.27906976744187
22,Virginia,west,5,100.0,57.99,30.96,12.93,5.79,1.54,0.83,119.48192771084338
23,Auburn,west,6,100.0,50.84,20.56,9.63,4.88,1.74,0.7,141.85714285714286
24,Butler,midwest,5,100.0,71.83,35.2,15.76,6.58,2.17,0.62,160.29032258064515
25,Clemson,east,7,100.0,52.88,18.04,10.85,3.47,1.38,0.48,207.33333333333334
26,LSU,east,9,100.0,43.9,12.59,7.44,3.26,1.5,0.47,211.76595744680853
27,Texas Tech,west,8,100.0,51.66,23.54,10.49,4.89,1.13,0.44,226.27272727272728
28,Iowa,east,6,100.0,49.39,26.44,8.65,2.85,1.08,0.42,237.0952380952381
29,TCU,south,11,100.0,60.05,25.24,9.7,4.19,1.54,0.41,242.90243902439028
30,Saint Louis,west,10,100.0,55.03,25.97,10.39,4.12,1.25,0.38,262.15789473684214
31,USC,SweetSixteen,15,100.0,53.32,23.79,8.07,2.6,1.04,0.32,311.5
32,Saint Mary's,south,8,100.0,39.56,17.43,8.92,2.53,0.9,0.2,498.99999999999994
33,Tulsa,south,10,100.0,40.6,16.64,6.15,2.77,0.68,0.2,498.99999999999994
34,Utah St.,east,5,100.0,56.53,22.48,4.97,2.34,0.66,0.2,498.99999999999994
35,Oklahoma St.,west,7,100.0,44.97,18.1,5.61,1.91,0.46,0.19,525.3157894736842
36,George Mason,east,11,100.0,50.61,21.4,10.33,1.6,0.55,0.16,624.0
37,Seton Hall,west,9,100.0,48.34,18.85,8.32,2.61,0.56,0.15,665.6666666666666
38,Nebraska,midwest,6,100.0,43.87,17.56,6.3,1.88,0.59,0.14,713.2857142857142
39,Yale,midwest,7,100.0,36.22,17.03,7.31,2.78,0.84,0.13,768.2307692307693
40,Missouri,south,12,100.0,40.76,21.78,6.61,1.85,0.6,0.13,768.2307692307693
41,Colorado,midwest,8,100.0,42.21,16.8,6.81,2.48,0.75,0.12,832.3333333333334
42,UCF,east,10,100.0,47.12,15.85,5.99,1.16,0.34,0.11,908.0909090909091
43,UC San Diego,west,13,100.0,46.67,22.26,6.91,2.28,0.42,0.1,999.0
44,SMU,south,6,100.0,39.95,14.4,4.99,1.84,0.42,0.1,999.0
45,Belmont,east,13,100.0,38.68,21.83,4.16,1.58,0.33,0.08,1249.0
46,William & Mary,west,12,100.0,42.01,18.17,4.74,1.28,0.28,0.08,1249.0
47,Akron,east,12,100.0,43.47,13.53,2.49,0.75,0.21,0.08,1249.0
48,Baylor,west,11,100.0,49.16,14.47,5.78,2.32,0.4,0.06,1665.6666666666667
49,High Point,south,13,100.0,46.68,16.92,6.64,1.86,0.6,0.05,1999.0
50,Cal Baptist,midwest,13,100.0,36.32,16.34,5.5,1.35,0.21,0.04,2499.0
51,Austin Peay,midwest,14,100.0,26.99,8.79,1.61,0.58,0.19,0.03,3332.3333333333335
52,Siena,west,15,100.0,26.63,7.75,1.5,0.67,0.08,0.02,4999.0
53,Robert Morris,midwest,15,100.0,28.1,5.28,1.58,0.22,0.08,0.0,0.0
54,St. Thomas,south,14,100.0,26.72,9.67,1.92,0.28,0.06,0.0,0.0
55,Southern,midwest,16,100.0,27.16,6.05,1.72,0.23,0.05,0.0,0.0
56,East Tennessee St.,east,15,100.0,20.9,8.33,2.58,0.14,0.05,0.0,0.0
57,Norfolk St.,west,16,100.0,29.23,5.69,2.31,0.39,0.04,0.0,0.0
58,SIU Edwardsville,east,16,100.0,14.72,2.69,0.96,0.25,0.04,0.0,0.0
59,McNeese St.,midwest,12,100.0,28.17,5.56,1.24,0.35,0.03,0.0,0.0
60,Northern Colorado,south,15,100.0,24.04,7.26,1.47,0.22,0.03,0.0,0.0
61,LIU,south,16,100.0,20.3,3.13,0.49,0.11,0.03,0.0,0.0
62,New Mexico St.,west,14,100.0,28.85,13.53,2.62,0.17,0.0,0.0,0.0
63,South Alabama,east,14,100.0,28.78,8.7,1.68,0.17,0.0,0.0,0.0
